"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"sdP11","solo",1,"e","grab",453.1752,638265684883135530,638265684887667282,"Regular Red CubeClone6 was picked up"
"sdP11","solo",1,"e","grab",163.1016,638265684934184631,638265684935815647,"Regular Blue CubeClone13 was picked up"
"sdP11","solo",1,"e","grab",263.802,638265685026691357,638265685029329377,"Regular Red CubeClone23 was picked up"
"sdP11","solo",1,"e","grab",336.6269,638265685070185357,638265685073551626,"Regular Blue CubeClone31 was picked up"
"sdP11","solo",1,"e","grab",272.8793,638265685131690739,638265685134419532,"Regular Blue CubeClone43 was picked up"
"sdP11","solo",1,"e","grab",391.0464,638265685156375735,638265685160286199,"Regular Red CubeClone44 was picked up"
"sdP11","solo",1,"e","grab",130.1598,638265685220723084,638265685222024682,"Regular Neutral CubeClone54 was picked up"
"sdP11","solo",1,"e","grab",974.7789,638265685227160387,638265685236908176,"Regular Blue CubeClone55 was picked up"
"sdP11","solo",1,"e","grab",8.9757,638265685298937974,638265685299027731,"Regular Neutral CubeClone66 was picked up"
"sdP11","solo",1,"e","grab",348.5182,638265685330331048,638265685333816230,"Regular Neutral CubeClone71 was picked up"
"sdP11","solo",1,"e","grab",498.5208,638265685433741898,638265685438727106,"Regular Blue CubeClone82 was picked up"
"sdP11","solo",1,"e","grab",63.8303,638265685588888860,638265685589527163,"Regular Blue CubeClone105 was picked up"
"sdP11","solo",1,"e","grab",305.728,638265685702815111,638265685705872391,"Regular Neutral CubeClone122 was picked up"
"sdP11","solo",1,"e","grab",393.7861,638265685824775915,638265685828713776,"Regular Red CubeClone136 was picked up"
"sdP11","solo",1,"e","grab",526.6652,638265685869968949,638265685875235601,"Regular Blue CubeClone142 was picked up"
"sdP11","solo",1,"e","grab",402.6822,638265685907664155,638265685911690977,"Regular Red CubeClone151 was picked up"
"sdP11","solo",1,"e","grab",492.4216,638265685960697494,638265685965621710,"Regular Neutral CubeClone158 was picked up"
"sdP11","solo",1,"e","grab",279.2564,638265686076778038,638265686079570602,"Regular Neutral CubeClone174 was picked up"
"sdP11","solo",1,"e","grab",590.4044,638265686136489678,638265686142393722,"Regular Blue CubeClone183 was picked up"
"sdP11","solo",1,"e","grab",251.1314,638265686189168658,638265686191679972,"Regular Blue CubeClone188 was picked up"
"sdP11","solo",1,"e","grab",548.7167,638265686209830447,638265686215317614,"Regular Red CubeClone190 was picked up"
"sdP11","solo",1,"e","grab",243.908,638265686307858941,638265686310298021,"Regular Red CubeClone203 was picked up"
"sdP11","solo",1,"e","grab",206.2575,638265686327277349,638265686329339924,"Regular Red CubeClone205 was picked up"
"sdP11","solo",1,"e","grab",365.4407,638265686342908722,638265686346563129,"Regular Red CubeClone211 was picked up"
"sdP11","solo",1,"e","grab",604.103,638265686430713565,638265686436754595,"Regular Red CubeClone218 was picked up"
"sdP11","solo",1,"e","grab",316.1108,638265686467024676,638265686470185784,"Regular Red CubeClone228 was picked up"
"sdP11","solo",1,"e","grab",427.2773,638265686517255242,638265686521528015,"Regular Red CubeClone232 was picked up"
"sdP11","solo",1,"e","grab",364.0508,638265686549183493,638265686552824001,"Regular Blue CubeClone237 was picked up"
"sdP11","solo",1,"e","grab",402.5482,638265686587133850,638265686591159332,"Regular Blue CubeClone242 was picked up"
"sdP11","solo",1,"e","grab",435.3735,638265686611217462,638265686615571197,"Regular Neutral CubeClone248 was picked up"
"sdP11","solo",1,"e","grab",227.9112,638265686664178012,638265686666457124,"Regular Blue CubeClone255 was picked up"
"sdP11","solo",1,"e","grab",804.1679,638265686708713971,638265686716755650,"Regular Red CubeClone260 was picked up"
"sdP11","solo",1,"e","grab",299.1126,638265686771804916,638265686774796042,"Regular Gold CubeClone139 was picked up"
"sdP11","solo",1,"e","grab",1569.6967,638265686885920635,638265686901617602,"Regular Blue CubeClone284 was picked up"
"sdP11","solo",1,"e","grab",426.9055,638265686994766881,638265686999035936,"Regular Blue CubeClone302 was picked up"
"sdP11","solo",1,"e","grab",263.9611,638265687080182914,638265687082822525,"Regular Neutral CubeClone312 was picked up"
"sdP11","solo",1,"e","grab",180.5454,638265687111244494,638265687113049948,"Regular Blue CubeClone316 was picked up"
"sdP11","solo",1,"e","grab",474.9607,638265687142445360,638265687147194967,"Regular Neutral CubeClone322 was picked up"
"sdP11","solo",1,"e","grab",383.3144,638265687210328818,638265687214161962,"Regular Blue CubeClone331 was picked up"
"sdP11","solo",1,"e","grab",437.2184,638265687259871676,638265687264243860,"Regular Gold CubeClone285 was picked up"
"sdP11","solo",1,"e","grab",187.9467,638265687333486734,638265687335366201,"Regular Red CubeClone347 was picked up"
"sdP11","solo",1,"e","grab",166.3303,638265687372354707,638265687374018010,"Regular Neutral CubeClone354 was picked up"
"sdP11","solo",1,"e","grab",470.8735,638265687405545768,638265687410254503,"Regular Blue CubeClone359 was picked up"
"sdP11","solo",1,"e","grab",464.4966,638265687425560569,638265687430205535,"Regular Neutral CubeClone360 was picked up"
"sdP11","solo",1,"e","grab",267.4246,638265687468505819,638265687471180065,"Regular Gold CubeClone343 was picked up"
"sdP11","solo",1,"e","grab",435.8581,638265687683903876,638265687688262457,"Regular Neutral CubeClone395 was picked up"
"sdP11","solo",1,"e","grab",188.913,638265687738621414,638265687740510544,"Regular Gold CubeClone394 was picked up"
"sdP11","solo",1,"e","place",1278.5761,638265684896438704,638265684909224465,"Regular Red CubeClone6was dropped in DropzonePlaceHolderClone1"
"sdP11","solo",1,"e","place",1284.9496,638265684944373519,638265684957223015,"Regular Blue CubeClone13was dropped in DropzonePlaceHolderClone1"
"sdP11","solo",1,"e","place",835.028,638265684994069730,638265685002420010,"Regular Red CubeClone17was dropped in DropzonePlaceHolderClone1"
"sdP11","solo",1,"e","place",927.5774,638265685048593769,638265685057869543,"Regular Red CubeClone23was dropped in DropzonePlaceHolderClone3"
"sdP11","solo",1,"e","place",906.0342,638265685080930985,638265685089991327,"Regular Blue CubeClone31was dropped in DropzonePlaceHolderClone2"
"sdP11","solo",1,"e","place",838.693,638265685109976382,638265685118363312,"Regular Blue CubeClone37was dropped in DropzonePlaceHolderClone4"
