xHandRot,yHandRot,zHandRot
355.5361,281.2527,355.9219
355.8828,283.1398,355.873
356.2142,285.1093,355.8474
357.2346,290.8438,355.7522
357.19,291.0955,355.754
357.4794,293.2489,355.7368
357.7392,295.5052,355.7242
357.9804,297.9261,355.6963
358.2397,300.4257,355.6876
359.0999,307.8456,355.7749
359.1988,308.1387,355.7973
359.6521,310.845,355.8907
0.8968107,318.8791,356.3323
0.9332262,318.9978,356.4595
1.216437,321.5681,356.8199
1.373658,323.8493,357.1122
1.455778,325.8209,357.3161
1.813931,332.0112,357.8114
1.804127,331.4608,357.634
1.98433,333.0009,357.7198
2.088183,334.4754,357.8485
2.123517,335.764,357.9604
2.112043,336.8752,358.0222
2.085213,337.8856,358.0378
2.089012,338.8294,358.0504
2.19478,341.9636,358.113
2.220612,341.6012,358.0729
2.257427,342.2741,358.0778
2.292408,342.8824,358.0835
2.308939,343.3302,358.0656
2.359855,343.8148,358.0578
2.426179,344.2871,358.0449
2.649108,345.8187,358.0644
2.678594,345.5906,358.0903
2.761292,345.8529,358.0829
2.824891,346.1123,358.0509
2.881423,346.3598,358.0084
2.935611,346.5801,357.9799
3.103825,347.319,357.9579
3.063726,347.187,358.0026
3.04517,347.0999,358.0161
3.074706,347.2426,358.0305
3.084939,347.2574,358.0201
3.131539,347.4235,358.0088
3.10634,347.3297,358.0099
3.127031,347.3323,358.0291
3.134339,347.3086,358.0489
3.158021,347.3314,358.0554
3.167005,347.3066,358.0582
3.208428,347.265,357.9883
3.215446,347.2362,357.9501
3.252088,347.1856,357.8961
3.290536,347.1497,357.8777
3.340887,347.1349,357.8864
3.438372,347.0798,357.9201
3.447793,347.0973,357.9609
3.473479,347.0822,358.0026
3.536237,346.8825,358.0727
3.529209,346.8711,358.0594
3.581578,346.4244,358.0923
3.544557,346.5512,358.1127
3.497646,346.3387,358.1891
3.499473,346.311,358.1924
3.496982,346.2278,358.2041
3.486156,346.0021,358.2645
3.481493,346.0262,358.2831
3.480912,346.045,358.3064
3.477133,345.9988,358.3438
3.46977,345.9948,358.4233
3.469976,345.9626,358.4846
3.498066,345.8435,358.6406
3.519141,345.8567,358.6356
3.555312,345.8308,358.6585
3.58987,345.8147,358.6946
3.64152,345.7927,358.7261
3.685498,345.7644,358.7674
3.746235,345.7255,358.8126
3.808728,345.6758,358.8484
3.96839,345.5364,358.9305
3.96839,345.5364,358.9305
3.96839,345.5364,358.9305
3.946142,345.5376,358.9036
3.987828,345.496,358.9115
4.112949,345.3461,358.9506
4.107589,345.3135,358.9455
4.141643,345.2292,358.9511
4.235872,344.9898,358.9623
4.216002,344.9708,358.9468
4.22284,344.8872,358.9389
4.242995,344.8219,358.9488
4.263772,344.7461,358.9714
4.285046,344.6559,359.0138
4.38241,344.3741,359.1252
4.380621,344.3171,359.1408
4.420123,344.1744,359.1645
4.492251,343.7687,359.2242
4.500023,343.7418,359.1939
4.532283,343.5837,359.2047
4.567959,343.396,359.2084
4.617738,343.1935,359.2061
4.664049,342.9712,359.1938
4.724234,342.7327,359.1667
4.892609,342.0715,359.1113
4.912547,342.0422,359.1167
4.963644,341.7948,359.127
4.995858,341.5441,359.1511
5.00632,341.282,359.194
4.990562,341.0121,359.2204
4.986303,340.2366,359.2561
4.935497,340.2421,359.2293
4.87072,339.9948,359.2275
4.812073,339.7556,359.2028
4.765062,339.4979,359.1933
4.733017,339.2143,359.2036
4.713185,338.9203,359.2063
4.646993,338.0186,359.185
4.648565,337.9876,359.1543
4.628194,337.6885,359.1065
4.556936,336.775,358.9748
4.561082,336.7393,358.9625
4.513538,336.3792,358.9323
4.454824,335.9592,358.9141
4.388284,335.5193,358.8867
4.229132,334.2249,358.7975
4.24578,334.1465,358.7826
4.246367,333.6387,358.7308
4.235233,333.1332,358.687
4.207953,332.5851,358.6397
4.175968,331.9995,358.5876
4.144804,331.3712,358.5304
4.11234,330.7235,358.4949
4.074477,330.0752,358.485
3.950408,328.1055,358.4968
3.911952,327.976,358.5603
3.818826,327.098,358.5902
3.731193,326.212,358.558
3.659148,325.351,358.499
3.456688,322.8592,358.3522
3.456078,322.8267,358.31
3.356673,321.9606,358.248
3.288759,321.1074,358.2196
3.047074,318.6131,358.1198
3.055474,318.6542,358.1262
2.873187,316.3783,358.0686
