"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","input_string"
"P9","comp",2,"e","place",1999.0014,638249421077844591,638249421097834605,"Network Blue CubeClone51was placed in dropzone"
"P9","comp",2,"e","place",151.0001,638249421099294584,638249421100804585,"Network Blue CubeClone53was placed in dropzone"
"P9","comp",2,"e","place",1998.9993,638249421104164588,638249421124154581,"Network Blue CubeClone54was placed in dropzone"
"P9","comp",2,"e","place",1998.0435,638249421144054996,638249421164035431,"Network Neutral CubeClone62was placed in dropzone"
"P9","comp",2,"e","place",1304.0007,638249421163965433,638249421177005440,"Network Blue CubeClone63was placed in dropzone"
"P9","comp",2,"e","place",122.0005,638249421203575444,638249421204795449,"Network Red CubeClone64was placed in dropzone"
"P9","comp",2,"e","place",376.0003,638249421275769878,638249421279529881,"Network Red CubeClone77was placed in dropzone"
"P9","comp",2,"e","place",24.0013,638249421328329874,638249421328569887,"Network Neutral CubeClone85was placed in dropzone"
"P9","comp",2,"e","place",1728.0011,638249421328329874,638249421345609885,"Network Red CubeClone87was placed in dropzone"
"P9","comp",2,"e","place",1350.0012,638249421343869878,638249421357369890,"Network Red CubeClone91was placed in dropzone"
"P9","comp",2,"e","place",1997.0017,638249421405029878,638249421424999895,"Network Blue CubeClone94was placed in dropzone"
"P9","comp",2,"e","place",494.7241,638249421470473168,638249421475420409,"Network Neutral CubeClone107was placed in dropzone"
"P9","comp",2,"e","place",1918.0013,638249421512590394,638249421531770407,"Network Neutral CubeClone114was placed in dropzone"
"P9","comp",2,"e","place",1628.0006,638249421581305860,638249421597585866,"Network Blue CubeClone123was placed in dropzone"
"P9","comp",2,"e","place",41.0128,638249421727369432,638249421727779560,"Network Blue CubeClone140was placed in dropzone"
"P9","comp",2,"e","place",1182.7492,638249421727369432,638249421739196924,"Network Red CubeClone142was placed in dropzone"
"P9","comp",2,"e","place",99.0008,638249421876176914,638249421877166922,"Network Blue CubeClone160was placed in dropzone"
"P9","comp",2,"e","place",274.0003,638249422050642231,638249422053382234,"Network Neutral CubeClone188was placed in dropzone"
"P9","comp",2,"e","place",1380.002,638249422050642231,638249422064442251,"Network Neutral CubeClone190was placed in dropzone"
"P9","comp",2,"e","place",115.9995,638249422104642247,638249422105802242,"Network Blue CubeClone189was placed in dropzone"
"P9","comp",2,"e","place",89.9782,638249422180277716,638249422181177498,"Network Blue CubeClone204was placed in dropzone"
"P9","comp",2,"e","place",118.0148,638249422230246829,638249422231426977,"Network Red CubeClone209was placed in dropzone"
"P9","comp",2,"e","place",222.001,638249422286935653,638249422289155663,"Network Red CubeClone218was placed in dropzone"
"P9","comp",2,"e","place",1790.0023,638249422286935653,638249422304835676,"Network Red CubeClone219was placed in dropzone"
"P9","comp",2,"e","place",1995,638249422464475660,638249422484425660,"Network Neutral CubeClone248was placed in dropzone"
"P9","comp",2,"e","place",39.0021,638249422599195661,638249422599585682,"Network Red CubeClone258was placed in dropzone"
"P9","comp",2,"e","place",281.0012,638249422599195661,638249422602005673,"Network Neutral CubeClone264was placed in dropzone"
"P9","comp",2,"e","place",1699.004,638249422605225655,638249422622215695,"Network Neutral CubeClone268was placed in dropzone"
"P9","comp",2,"e","place",109.0026,638249422653275650,638249422654365676,"Network Neutral CubeClone269was placed in dropzone"
"P9","comp",2,"e","place",563.0004,638249422680905661,638249422686535665,"Network Red CubeClone273was placed in dropzone"
"P9","comp",2,"e","place",1790.6051,638249422729902041,638249422747808092,"Network Red CubeClone283was placed in dropzone"
"P9","comp",2,"e","place",1464.0009,638249422786297745,638249422800937754,"Network Red CubeClone291was placed in dropzone"
"P9","comp",2,"e","place",186.9991,638249422831067757,638249422832937748,"Network Red CubeClone294was placed in dropzone"
"P9","comp",2,"e","place",1987.0019,638249422837727738,638249422857597757,"Network Blue CubeClone298was placed in dropzone"
"P9","comp",2,"e","place",1091.4069,638249422856317741,638249422867231810,"Network Neutral CubeClone299was placed in dropzone"
"P9","comp",2,"e","place",13.0006,638249422925031799,638249422925161805,"Network Red CubeClone305was placed in dropzone"
"P9","comp",2,"e","place",1758.0018,638249422925031799,638249422942611817,"Network Blue CubeClone310was placed in dropzone"
"P9","comp",2,"e","place",1733,638249422967661808,638249422984991808,"Network Red CubeClone315was placed in dropzone"
"P9","comp",2,"e","place",175.0004,638249423081197184,638249423082947188,"Network Red CubeClone327was placed in dropzone"
"P9","comp",2,"e","place",1383.001,638249423089507184,638249423103337194,"Network Blue CubeClone333was placed in dropzone"
"P9","comp",2,"e","place",1529.0006,638249423089507184,638249423104797190,"Network Neutral CubeClone335was placed in dropzone"
"P9","comp",2,"e","place",1838.0005,638249423487972820,638249423506352825,"Network Neutral CubeClone389was placed in dropzone"
"P9","comp",2,"e","place",88.977,638249423508493060,638249423509382830,"Network Neutral CubeClone391was placed in dropzone"
"P9","solo",1,"e","grab",906.0078,638249388619480766,638249388628540844,"Regular Red CubeClone32 was picked up"
"P9","solo",1,"e","grab",254.0022,638249388688206620,638249388690746642,"Regular Blue CubeClone39 was picked up"
"P9","solo",1,"e","grab",481.8938,638249388735531291,638249388740350229,"Regular Neutral CubeClone48 was picked up"
"P9","solo",1,"e","grab",308.9925,638249388791388114,638249388794478039,"Regular Neutral CubeClone58 was picked up"
"P9","solo",1,"e","grab",275.7859,638249388822569254,638249388825327113,"Regular Blue CubeClone60 was picked up"
"P9","solo",1,"e","grab",377.0122,638249388934925120,638249388938695242,"Regular Blue CubeClone74 was picked up"
"P9","solo",1,"e","grab",173.9738,638249388973759077,638249388975498815,"Regular Red CubeClone79 was picked up"
"P9","solo",1,"e","grab",272.0126,638249388995538978,638249388998259104,"Regular Red CubeClone82 was picked up"
"P9","solo",1,"e","grab",355.6593,638249389018885325,638249389022441918,"Regular Red CubeClone87 was picked up"
"P9","solo",1,"e","grab",152.0141,638249389041929663,638249389043449804,"Regular Blue CubeClone88 was picked up"
"P9","solo",1,"e","grab",241.5218,638249389079005478,638249389081420696,"Regular Red CubeClone93 was picked up"
"P9","solo",1,"e","grab",107.9746,638249389088471478,638249389089551224,"Regular Blue CubeClone96 was picked up"
"P9","solo",1,"e","grab",140.0007,638249389107439834,638249389108839841,"Regular Red CubeClone98 was picked up"
"P9","solo",1,"e","grab",154.5302,638249389122654508,638249389124199810,"Regular Neutral CubeClone103 was picked up"
"P9","solo",1,"e","grab",109.9626,638249389150012964,638249389151112590,"Regular Neutral CubeClone105 was picked up"
"P9","solo",1,"e","grab",106.7668,638249389178214407,638249389179282075,"Regular Neutral CubeClone111 was picked up"
"P9","solo",1,"e","grab",1489.693,638249389194692171,638249389209589101,"Regular Blue CubeClone112 was picked up"
"P9","solo",1,"e","grab",212.5934,638249389266194919,638249389268320853,"Regular Blue CubeClone122 was picked up"
"P9","solo",1,"e","grab",174.6883,638249389308173948,638249389309920831,"Regular Red CubeClone127 was picked up"
"P9","solo",1,"e","grab",465.9776,638249389336468646,638249389341128422,"Regular Red CubeClone129 was picked up"
"P9","solo",1,"e","grab",162.9891,638249389358932184,638249389360562075,"Regular Blue CubeClone132 was picked up"
"P9","solo",1,"e","grab",229.7792,638249389395245999,638249389397543791,"Regular Neutral CubeClone140 was picked up"
"P9","solo",1,"e","grab",273.4272,638249389436894995,638249389439629267,"Regular Neutral CubeClone146 was picked up"
"P9","solo",1,"e","grab",167.6568,638249389462079897,638249389463756465,"Regular Gold CubeClone1 was picked up"
"P9","solo",1,"e","grab",1006.3902,638249389496427675,638249389506491577,"Regular Red CubeClone153 was picked up"
"P9","solo",1,"e","grab",329.5698,638249389536509101,638249389539804799,"Regular Red CubeClone156 was picked up"
"P9","solo",1,"e","grab",236.1537,638249389577632076,638249389579993613,"Regular Blue CubeClone163 was picked up"
"P9","solo",1,"e","grab",186.5894,638249389605045919,638249389606911813,"Regular Blue CubeClone167 was picked up"
"P9","solo",1,"e","grab",106.9671,638249389671572282,638249389672641953,"Regular Neutral CubeClone179 was picked up"
"P9","solo",1,"e","grab",141.0001,638249389697112126,638249389698522127,"Regular Neutral CubeClone184 was picked up"
"P9","solo",1,"e","grab",351.2972,638249389715634124,638249389719147096,"Regular Neutral CubeClone185 was picked up"
"P9","solo",1,"e","grab",189.5244,638249389740261068,638249389742156312,"Regular Neutral CubeClone188 was picked up"
"P9","solo",1,"e","grab",139.0125,638249389805963387,638249389807353512,"Regular Neutral CubeClone199 was picked up"
"P9","solo",1,"e","grab",85.0017,638249389838675789,638249389839525806,"Regular Neutral CubeClone202 was picked up"
"P9","solo",1,"e","grab",217.9969,638249389960671382,638249389962851351,"Regular Neutral CubeClone220 was picked up"
"P9","solo",1,"e","grab",161.5668,638249389990617341,638249389992233009,"Regular Blue CubeClone222 was picked up"
"P9","solo",1,"e","grab",386.1541,638249390014357480,638249390018219021,"Regular Blue CubeClone224 was picked up"
"P9","solo",1,"e","grab",234.9119,638249390037077297,638249390039426416,"Regular Red CubeClone228 was picked up"
"P9","solo",1,"e","grab",102.0025,638249390072484686,638249390073504711,"Regular Red CubeClone231 was picked up"
"P9","solo",1,"e","grab",329.6922,638249390172512475,638249390175809397,"Regular Red CubeClone246 was picked up"
