"Participant","Condition","Trial","Group","avgGrab","avgDrop","avgFullSequence","stillGrab","slowGrab","fastGrab"
"P5","comp",1,"e",0.30863270625,0.969356049152542,1.79267154520548,0.348929600000001,0.326762854024769,0.231983339999995
"P5","solo",2,"e",0.349823540740741,0.915053953846155,1.95852776206897,0.366417680000002,0.341163359722222,0
"P5","co",1,"e",0.433838551162793,0.981563037500002,1.22288720444445,0.441859433333338,0.453750506250003,0.352666916666664
"P5","co",2,"e",0.267652014634147,1.1331947,2.34780583902439,0.275863149999997,0.220799927272734,0.30276704
"sdP5","comp",2,"e",0.23432782739726,0.629645448648647,1.31992105238095,0.19947113125,0.241809359375002,0.261266189473681
"sdP5","solo",1,"e",0.336396189108913,0.667299942222222,1.38559482293578,0.258471131818182,0.380722161050161,0.312346957142856
"sdP5","solo",2,"e",0.28862531904762,0.613579172631578,1.30610714814815,0.202021118181818,0.363166009202899,0.221805543333336
"sdP5","co",1,"e",0.281607929090908,0.660668711111111,1.19499163114754,0.294122734999999,0.29102673043478,0.242697216666667
"sdP5","co",2,"e",0.307524396363635,0.631856671428569,1.42261733833333,0.300773349999997,0.347133688888889,0.258666209090909
"sdP5","comp",1,"e",0.258064914285713,0.654298160759495,1.20082063529412,0.301648538888888,0.239287228571426,0.255470633333335
"P6","comp",2,"e",0.264320516883118,0.712449328378376,1.53360064457831,0.248217294736837,0.270418010000003,0.26776837777778
"P6","solo",1,"e",0.28014329347826,0.820265025531914,1.589514914,0.230128966666661,0.306845933928573,0.255388509090909
"P6","solo",2,"e",0.279862843055556,0.701708443076924,1.49772848133333,0.222332333333333,0.304947727543859,0.27931351304348
"P6","co",1,"e",0.367894160869565,0.96840928,1.42138373043478,0.393317616666666,0.350016557142859,0.3229096
"P6","co",2,"e",0.331262580851066,0.976655370833331,1.34459712553192,0.26922814,0.476264306666673,0.253401158333335
"P6","comp",1,"e",0.284318585714286,0.77265675945946,1.52363197882353,0.226185070588237,0.348214471052628,0.218874318181823
"Py","comp",2,"e",0.325866405084745,0.818536521052631,1.79111726461538,0.515670566666668,0.291018589583333,0.292301678947367
"P7","solo",1,"e",0.440880847058822,0.905423133333334,1.910557,0.450967159999995,0.451430326604278,0.403301636842104
"P7","solo",2,"e",0.345115516438356,0.751580316417912,1.66422913243243,0.380980935714284,0.338101044444444,0.330381233333336
"P7","co",1,"e",0.44639665952381,0.920744052380951,1.73588366511628,0.562554918750001,0.36599187647059,0.391768788888888
"P7","co",2,"e",0.391529225641024,0.996842064705881,1.57967446923077,0.367067338888885,0.395269033333332,0.515861700000014
"P7","comp",1,"e",0.395469450793648,0.828669146666666,1.918887325,0.467838046153843,0.417095584374999,0.292246137499996
"sdP7","co",2,"e",0.319033260869565,0.723858755555551,2.1117015,0.313363905263161,0.342733939999995,0.298383891666669
"sdP7","solo",1,"e",0.392891693846155,0.680022222058823,1.58422285492958,0.425215659999999,0.396865718452382,0.373340788888891
"sdP7","solo",2,"e",0.289761412162162,0.689666058108109,1.454593925,0.240654519047623,0.312069937575756,0.305889474999997
"sdP7","co",1,"e",0.346740868750004,0.750486026923077,1.41912195660378,0.39852487083334,0.337765700000003,0.190992557142858
"sdP7","comp",1,"e",0.285750829870129,0.742737567123289,1.39118293488372,0.330805852631575,0.288357591515156,0.237756180952374
"sdP7","comp",2,"e",0.30711452,0.71208897631579,1.43625667209302,0.387270950000001,0.283988253928571,0.229603982352938
