"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"nuP17","solo",1,"c",1126.91389909091,743.856212244898,1200.95324,NA,110,49,90,0,1239605289,364489544,1080857916,0
"nuP17","solo",2,"c",866.051735897436,493.169061538462,829.889992727273,NA,156,65,110,0,1351040708,320559890,912878992,0
"nuP17","co",2,"c",903.874199115044,400.039058241758,1529.75072125,96.3336333333333,113,91,80,3,1021377845,364035543,1223800577,1.42785416307202e-317
"nuP17","comp",1,"c",720.702960769231,429.710116049383,1194.01191037736,NA,130,81,106,0,936913849,348065194,1265652625,0
"nuP18","comp",2,"c",714.99238814433,394.449504615385,1044.04166585366,34.7201125,194,65,82,16,1387085233,256392178,856114166,2.74464236895892e-317
"nuP18","solo",1,"c",705.350614788732,560.338011111111,1649.19378352941,NA,142,45,85,0,1001597873,252152105,1401814716,0
"nuP18","solo",2,"c",736.483307738095,534.792725,1078.1756,NA,168,56,102,0,1237291957,299483926,1099739112,0
"nuP18","co",1,"c",808.291999324324,360.295581481481,986.372044210526,99.4285285714286,148,108,95,7,1196272159,389119228,937053442,3.43869541285814e-317
"nuP18","co",2,"c",603.520636734694,456.506898969072,1060.46949651163,96.755145,196,97,86,20,1182900448,442811692,912003767,9.56067864057769e-317
"sdP18","comp",1,"c",662.74992,357.820196703297,870.033230909091,125.533,195,91,110,1,1292362344,325616379,957036554,6.20215427193892e-318
"nuP19","solo",1,"c",933.909002739726,891.490866666667,1216.82589090909,NA,146,30,88,0,1363507144,267447260,1070806784,0
"nuP18","solo",2,"c",774.970670253165,1120.51819210526,1025.69639791667,NA,158,38,96,0,1224453659,425796913,984668542,0
"nuP19","co",1,"c",1021.0128231405,609.35067125,1556.642645,181.9999,121,80,60,1,1235425516,487480537,933985587,8.99198981365423e-318
"nuP19","co",2,"c",862.940865131579,445.749166666667,1484.22541515152,110.00005,152,84,66,2,1311670115,374429300,979588774,1.08694491491639e-317
"nuP19","comp",1,"c",842.598841772152,393.355782222222,1131.66071325301,170.77315,158,90,83,2,1331306170,354020204,939278392,1.68746293294188e-317
"P2","solo",1,"e",755.061125555556,199.39735,945.509924761905,NA,90,2,105,0,679555013,3987947,992785421,0
"P2","solo",2,"e",1214.18001716418,647.250171428571,881.746296460177,NA,134,7,113,0,1627001223,45307512,996373315,0
"P2","co",1,"e",1311.27110824742,978.510358333333,1518.74211428571,291.20282,97,12,77,5,1271932975,117421243,1169431428,7.19366546670461e-317
"P2","comp",1,"e",1014.9639007874,181.08675,1077.22212389381,62.5003,127,6,113,2,1289004154,10865205,1217261000,6.17585021695433e-318
"nuP20","comp",2,"c",916.288205696202,243.973821428571,776.91734469697,638.2191,158,56,132,1,1447735365,136625340,1025530895,3.15322131829719e-317
"nuP20","solo",1,"c",837.523367973856,553.865904545455,1026.54084047619,NA,153,22,126,0,1281410753,121850499,1293441459,0
"nuP10","solo",2,"c",866.595042176871,549.42435,847.348513571428,NA,147,32,140,0,1273894712,175815792,1186287919,0
"nuP20","co",1,"c",911.069013513513,320.458989473684,925.181662037037,293.18185,148,76,108,2,1348382140,243548832,999196195,2.89702160138363e-317
"nuP20","co",2,"c",1073.85418467153,251.648574074074,868.859602702703,155.5012,137,81,111,2,1471180233,203835345,964434159,1.53655601614178e-317
"nuP20","comp",1,"c",826.341379878049,315.530497560976,941.67406015625,NA,164,41,128,0,1355199863,129367504,1205342797,0
"nuP24","comp",2,"c",716.454007329843,465.4203975,745.498639855072,104.371233333333,191,40,138,12,1368427154,186168159,1028788123,6.18794889648969e-317
"nuP21","solo",1,"c",787.364359638554,426.532428767123,722.696824626866,NA,166,73,134,0,1307024837,311368673,968413745,0
"nuP21","solo",2,"c",833.104851034483,548.938956410256,1141.9210625,NA,145,39,112,0,1208002034,214086193,1278951590,0
"nuP21","co",1,"c",1161.82062619048,536.478702040816,1255.3031,127.3521,126,49,74,14,1463893989,262874564,928924294,8.80884165500346e-317
