"sequenceType","sequenceNum","moveTime","startTime","endTime","Participant","Age","Sex","Condition","Trial","Group"
"Grab",669,0.320000399999998,223.8484899,224.1684903,"P9",21,"f","comp",2,"e"
"Grab",671,0.237002599999983,225.6174889,225.8544915,"P9",21,"f","comp",2,"e"
"Grab",673,0.724001200000004,227.6584902,228.3824914,"P9",21,"f","comp",2,"e"
"Grab",676,0.1089992,240.0640287,240.1730279,"P9",21,"f","comp",2,"e"
"Grab",678,0.805001099999998,241.4330265,242.2380276,"P9",21,"f","comp",2,"e"
"Grab",680,0.837999399999973,244.8940281,245.7320275,"P9",21,"f","comp",2,"e"
"Grab",682,0.150999200000001,247.5420281,247.6930273,"P9",21,"f","comp",2,"e"
"Grab",684,0.264001800000017,249.5940259,249.8580277,"P9",21,"f","comp",2,"e"
"Grab",685,0.162000599999999,251.7500265,251.9120271,"P9",21,"f","comp",2,"e"
"Grab",687,0.0619704999999726,256.0465853,256.1085558,"P9",21,"f","comp",2,"e"
"Grab",688,0.214999999999975,267.6245346,267.8395346,"P9",21,"f","comp",2,"e"
"Grab",690,0.218000999999958,271.8065462,272.0245472,"P9",21,"f","comp",2,"e"
"Grab",692,0.141000299999973,277.915592,278.0565923,"P9",21,"f","comp",2,"e"
"Grab",694,0.1559709,280.3616224,280.5175933,"P9",21,"f","comp",2,"e"
"Grab",696,0.184000600000047,282.1035909,282.2875915,"P9",21,"f","comp",2,"e"
"Place",546,0.4819651,2.8900364,3.3720015,"P9",21,"f","comp",2,"e"
"Place",549,0.5230002,7.0370015,7.5600017,"P9",21,"f","comp",2,"e"
"Place",551,0.507001499999999,8.8380007,9.3450022,"P9",21,"f","comp",2,"e"
"Place",553,0.532001600000001,11.825,12.3570016,"P9",21,"f","comp",2,"e"
"Place",556,0.605998700000001,21.6888269,22.2948256,"P9",21,"f","comp",2,"e"
"Place",558,0.595999899999999,31.3706541,31.966654,"P9",21,"f","comp",2,"e"
"Place",560,1.2997092,36.8550601,38.1547693,"P9",21,"f","comp",2,"e"
"Place",562,0.512001599999998,40.3527663,40.8647679,"P9",21,"f","comp",2,"e"
"Place",563,1.29196930000001,45.5418841,46.8338534,"P9",21,"f","comp",2,"e"
"Place",565,0.699998199999996,48.0068526,48.7068508,"P9",21,"f","comp",2,"e"
