"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"sdP11","co",2,"e","grab",448.8178,638265697027963559,638265697032451737,"Network Red CubeClone4 was picked up"
"sdP11","co",2,"e","grab",494.6099,638265697113836369,638265697118782468,"Network Red CubeClone18 was picked up"
"sdP11","co",2,"e","grab",1693.0193,638265697162827362,638265697179757555,"Network Red CubeClone26 was picked up"
"sdP11","co",2,"e","grab",744.9194,638265697216267494,638265697223716688,"Player 1 hits Network Gold CubeClone34"
"sdP11","co",2,"e","grab",1031.0096,638265697279836909,638265697290147005,"Player 1 hits Network Gold CubeClone38"
"sdP11","co",2,"e","grab",172.9272,638265697325536481,638265697327265753,"Player 1 hits Network Gold CubeClone49"
"sdP11","co",2,"e","grab",1992.5168,638265697307340585,638265697327265753,"Player 1 hits Network Gold CubeClone49"
"sdP11","co",2,"e","grab",58.7573,638265697410323747,638265697410911320,"Network Red CubeClone59 was picked up"
"sdP11","co",2,"e","grab",189.1682,638265697515493274,638265697517384956,"Network Neutral CubeClone75 was picked up"
"sdP11","co",2,"e","grab",261.0587,638265697563848723,638265697566459310,"Network Red CubeClone80 was picked up"
"sdP11","co",2,"e","grab",368.1011,638265697635935341,638265697639616352,"Network Neutral CubeClone91 was picked up"
"sdP11","co",2,"e","grab",803.3749,638265697706152243,638265697714185992,"Player 1 hits Network Gold CubeClone53"
"sdP11","co",2,"e","grab",643.7284,638265697746696374,638265697753133658,"Player 1 hits Network Gold CubeClone106"
"sdP11","co",2,"e","grab",733.0186,638265697780643433,638265697787973619,"Player 1 hits Network Gold CubeClone111"
"sdP11","co",2,"e","grab",330.1924,638265697819766635,638265697823068559,"Player 1 hits Network Gold CubeClone116"
"sdP11","co",2,"e","grab",331.6245,638265697927563664,638265697930879909,"Network Neutral CubeClone132 was picked up"
"sdP11","co",2,"e","grab",176.1594,638265698276274504,638265698278036098,"Network Red CubeClone180 was picked up"
"sdP11","co",2,"e","grab",655.0145,638265698293426443,638265698299976588,"Player 1 hits Network Gold CubeClone121"
"sdP11","co",2,"e","grab",572.1865,638265698355605824,638265698361327689,"Network Red CubeClone191 was picked up"
"sdP11","co",2,"e","grab",418.8625,638265698481525510,638265698485714135,"Player 1 hits Network Gold CubeClone187"
"sdP11","co",2,"e","grab",708.3537,638265698549250842,638265698556334379,"Player 1 hits Network Gold CubeClone213"
"sdP11","co",2,"e","grab",820.2154,638265698588998887,638265698597201041,"Player 1 hits Network Gold CubeClone223"
"sdP11","co",2,"e","grab",385.9157,638265698697113551,638265698700972708,"Network Red CubeClone237 was picked up"
"sdP11","co",2,"e","grab",1681.4672,638265698801948239,638265698818762911,"Player 1 hits Network Gold CubeClone228"
"sdP11","co",2,"e","grab",334.1735,638265698879667317,638265698883009052,"Player 1 hits Network Gold CubeClone259"
"sdP11","co",2,"e","grab",721.8898,638265698916554032,638265698923772930,"Player 1 hits Network Gold CubeClone268"
"sdP11","co",2,"e","grab",1381.9564,638265699202760044,638265699216579608,"Player 1 hits Network Gold CubeClone274"
"sdP11","co",2,"e","grab",255.0623,638265699410259111,638265699412809734,"Network Red CubeClone336 was picked up"
"sdP11","co",2,"e","grab",622.6265,638265699471466210,638265699477692475,"Player 1 hits Network Gold CubeClone314"
"sdP11","co",2,"e","grab",637.7827,638265699512918878,638265699519296705,"Player 1 hits Network Gold CubeClone350"
"sdP11","co",2,"e","grab",447.95,638265699572579796,638265699577059296,"Player 1 hits Network Gold CubeClone356"
"sdP11","co",2,"e","grab",1995.813,638265699589202445,638265699609160575,"Player 1 hits Network Gold CubeClone365"
"sdP11","co",2,"e","grab",261.1924,638265699736539235,638265699739151159,"Network Red CubeClone381 was picked up"
"sdP11","co",2,"e","grab",328.941,638265699825243863,638265699828533273,"Network Red CubeClone394 was picked up"
"sdP11","co",2,"e","grab",359.4247,638265699871170960,638265699874765207,"Network Red CubeClone399 was picked up"
"sdP11","co",2,"e","grab",1995.1226,638265699902765620,638265699922716846,"Player 1 hits Network Gold CubeClone408"
"sdP11","co",2,"e","place",944.5639,638265697041240709,638265697050686348,"Network Red CubeClone4 was dropped in DropzonePlaceHolderClone1"
"sdP11","co",2,"e","place",1022.4322,638265697188513229,638265697198737551,"Network Red CubeClone26 was dropped in DropzonePlaceHolderClone4"
"sdP11","co",2,"e","place",857.5392,638265697480229436,638265697488804828,"Network Red CubeClone68 was dropped in DropzonePlaceHolderClone3"
"sdP11","co",2,"e","place",791.4333,638265697522389269,638265697530303602,"Network Neutral CubeClone75 was dropped in DropzonePlaceHolderClone2"
