"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","comp",2,"e","place",809.8671,638303037594998752,638303037603097423,"Network Blue CubeClone352 was dropped in DropzonePlaceHolderClone4"
"nuP11","comp",2,"e","place",998.9966,638303037693162058,638303037703152024,"Network Neutral CubeClone367 was dropped in DropzonePlaceHolderClone5"
"nuP11","comp",2,"e","place",991.6402,638303037762145517,638303037772061919,"Network Blue CubeClone377 was dropped in DropzonePlaceHolderClone5"
"nuP11","comp",2,"e","place",993.9788,638303037892996221,638303037902936009,"Network Red CubeClone394 was dropped in DropzonePlaceHolderClone5"
"nuP11","comp",2,"e","place",978.4625,638303037994652148,638303038004436773,"Network Neutral CubeClone409 was dropped in DropzonePlaceHolderClone1"
"nuP11","comp",2,"e","place",810.0996,638303038026341768,638303038034442764,"Network Gold Cube WholeClone415 was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","grab",248.0054,638303011070335177,638303011072815231,"Regular Red CubeClone1 was picked up"
"nuP11","solo",1,"e","grab",233.8792,638303011095445599,638303011097784391,"Regular Red CubeClone4 was picked up"
"nuP11","solo",1,"e","grab",290.032,638303011139557963,638303011142458283,"Regular Red CubeClone9 was picked up"
"nuP11","solo",1,"e","grab",364.0261,638303011161318850,638303011164959111,"Regular Blue CubeClone13 was picked up"
"nuP11","solo",1,"e","grab",509.6111,638303011182129819,638303011187225930,"Regular Blue CubeClone18 was picked up"
"nuP11","solo",1,"e","grab",432.9926,638303011216713359,638303011221043285,"Regular Blue CubeClone23 was picked up"
"nuP11","solo",1,"e","grab",389.0311,638303011239038791,638303011242929102,"Regular Neutral CubeClone26 was picked up"
"nuP11","solo",1,"e","grab",230.5667,638303011257812777,638303011260118444,"Regular Blue CubeClone25 was picked up"
"nuP11","solo",1,"e","grab",987.9941,638303011273165581,638303011283045522,"Regular Blue CubeClone30 was picked up"
"nuP11","solo",1,"e","grab",871.9008,638303011323108986,638303011331827994,"Regular Neutral CubeClone38 was picked up"
"nuP11","solo",1,"e","grab",170.0019,638303011383691299,638303011385391318,"Regular Neutral CubeClone45 was picked up"
"nuP11","solo",1,"e","grab",129.9773,638303011415059244,638303011416359017,"Regular Neutral CubeClone50 was picked up"
"nuP11","solo",1,"e","grab",145.0037,638303011436620558,638303011438070595,"Regular Neutral CubeClone53 was picked up"
"nuP11","solo",1,"e","grab",340.4592,638303011465591746,638303011468996338,"Regular Neutral CubeClone57 was picked up"
"nuP11","solo",1,"e","grab",1001.9806,638303011491299074,638303011501318880,"Regular Neutral CubeClone61 was picked up"
"nuP11","solo",1,"e","grab",365.9776,638303011517709424,638303011521369200,"Regular Gold CubeClone1 was picked up"
"nuP11","solo",1,"e","grab",95.0024,638303011542489428,638303011543439452,"Regular Neutral CubeClone68 was picked up"
"nuP11","solo",1,"e","grab",307.6122,638303011557890713,638303011560966835,"Regular Red CubeClone69 was picked up"
"nuP11","solo",1,"e","grab",100.001,638303011600509940,638303011601509950,"Regular Blue CubeClone72 was picked up"
"nuP11","solo",1,"e","grab",280.7363,638303011671767153,638303011674574516,"Regular Red CubeClone86 was picked up"
"nuP11","solo",1,"e","grab",351.0268,638303011694005036,638303011697515304,"Regular Red CubeClone87 was picked up"
"nuP11","solo",1,"e","grab",1103.1668,638303011711163045,638303011722194713,"Regular Red CubeClone93 was picked up"
"nuP11","solo",1,"e","grab",418.9771,638303011734685674,638303011738875445,"Regular Neutral CubeClone96 was picked up"
"nuP11","solo",1,"e","grab",704.0067,638303011749176454,638303011756216521,"Regular Red CubeClone95 was picked up"
"nuP11","solo",1,"e","grab",185.0083,638303011779163540,638303011781013623,"Regular Blue CubeClone98 was picked up"
"nuP11","solo",1,"e","grab",494.331,638303011794911650,638303011799854960,"Regular Neutral CubeClone105 was picked up"
"nuP11","solo",1,"e","grab",305.0962,638303011828155475,638303011831206437,"Regular Neutral CubeClone109 was picked up"
"nuP11","solo",1,"e","grab",986.0396,638303011860785342,638303011870645738,"Regular Red CubeClone111 was picked up"
"nuP11","solo",1,"e","grab",328.8603,638303011895765134,638303011899053737,"Regular Neutral CubeClone117 was picked up"
"nuP11","solo",1,"e","grab",600.6068,638303011921342478,638303011927348546,"Regular Blue CubeClone118 was picked up"
"nuP11","solo",1,"e","grab",74.54,638303011968269979,638303011969015379,"Regular Blue CubeClone125 was picked up"
"nuP11","solo",1,"e","grab",262.6998,638303011986047300,638303011988674298,"Regular Blue CubeClone130 was picked up"
