"TimeStamp","Participant","Condition","Trial","Age","Gender","Group","areaEvent","targetEvent","xAreaPos","yAreaPos","zAreaPos","xTargetPos","yTargetPos","zTargetPos"
637980724900254396,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900364100,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900483781,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900583514,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900683252,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900802927,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724900912633,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901022343,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901132043,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901251724,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901351455,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901461160,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901580840,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901690550,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901800256,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724901919928,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724902019669,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724902129369,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724902259019,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724902358749,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.28194,2.336
637980724902478434,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.24831,2.336
637980724902598106,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.21514,2.336
637980724902697840,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.18156,2.336
637980724902817520,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.14834,2.336
637980724902927516,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.11167,2.336
637980724903026956,"P19","s",1,30,"f","c",NA,"looking at gold cube",NA,NA,NA,1.389999,23.08189,2.336
637980724903146638,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.0479,2.336
637980724903266313,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,23.0151,2.336
637980724903376019,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.98152,2.336
637980724903475758,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.94845,2.336
637980724903585464,"P19","s",1,30,"f","c",NA,"looking at gold cube",NA,NA,NA,1.389999,22.91529,2.336
637980724903695167,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.88124,2.336
637980724903814847,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.84875,2.336
637980724903914581,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.81524,2.336
637980724904044229,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.78203,2.336
637980724904153934,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.74789,2.336
637980724904253664,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.71534,2.336
637980724904373344,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.68223,2.336
637980724904493021,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.64773,2.336
637980724904582805,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.61497,2.336
637980724904712441,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.58172,2.336
637980724904822138,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.54801,2.336
637980724904921871,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.51467,2.336
637980724905041548,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.48217,2.336
637980724905141282,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.44879,2.336
637980724905250988,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.41499,2.336
637980724905360697,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.38235,2.336
637980724905480375,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.34896,2.336
637980724905580113,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.31539,2.336
637980724905709758,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.28253,2.336
637980724905809493,"P19","s",1,30,"f","c",NA,"looking at gold cube",NA,NA,NA,1.389999,22.24827,2.336
637980724905919194,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.21487,2.336
637980724906038877,"P19","s",1,30,"f","c",NA,"looking at gold cube",NA,NA,NA,1.389999,22.1816,2.336
637980724906138610,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.1483,2.336
637980724906258286,"P19","s",1,30,"f","c","looking at Play wall","looking at gold cube","1.26","11.20539",-0.3032137,1.389999,22.11562,2.336
637980724906358023,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724906470991,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724906570720,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724906690399,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724906800104,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724906929763,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907019513,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907139198,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907238928,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907348645,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907457784,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907567489,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907697141,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907796873,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724907906572,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908026560,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908145941,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908255643,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908345404,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908475057,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908574786,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908694466,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908804451,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
637980724908903902,"P19","s",1,30,"f","c","looking at Play wall",NA,"1.26","11.20539",-0.3032137,NA,NA,NA
