TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos, Group
637987621066861955,P23,tut,1,29,m,300,Game Start,,,
637987621119204082,P23,tut,1,29,m,,looking at gold cube,1.390015,11.58682,-1.813
637987621119423494,P23,tut,1,29,m,,looking at gold cube,1.390015,11.52015,-1.813
637987621119543163,P23,tut,1,29,m,,looking at gold cube,1.390015,11.48643,-1.813
637987621119762576,P23,tut,1,29,m,,looking at gold cube,1.390015,11.42009,-1.813
637987621119872294,P23,tut,1,29,m,,looking at gold cube,1.390015,11.38687,-1.813
637987621119991972,P23,tut,1,29,m,,looking at gold cube,1.390015,11.3531,-1.813
637987621120091698,P23,tut,1,29,m,,looking at gold cube,1.390015,11.31977,-1.813
637987621120211385,P23,tut,1,29,m,,looking at gold cube,1.390015,11.28671,-1.813
637987621120321085,P23,tut,1,29,m,,looking at gold cube,1.390015,11.25296,-1.813
637987621120430798,P23,tut,1,29,m,,looking at gold cube,1.390015,11.21999,-1.813
637987621120540492,P23,tut,1,29,m,,looking at gold cube,1.390015,11.18687,-1.813
637987621120650210,P23,tut,1,29,m,,looking at gold cube,1.390015,11.15269,-1.813
637987621120759912,P23,tut,1,29,m,,looking at gold cube,1.390015,11.11978,-1.813
637987621120879599,P23,tut,1,29,m,,looking at gold cube,1.390015,11.08699,-1.813
637987621120989303,P23,tut,1,29,m,,looking at gold cube,1.390015,11.05281,-1.813
637987621121099006,P23,tut,1,29,m,,looking at gold cube,1.390015,11.02023,-1.813
637987621121208711,P23,tut,1,29,m,,looking at gold cube,1.390015,10.98698,-1.813
637987621121318418,P23,tut,1,29,m,,looking at gold cube,1.390015,10.95305,-1.813
637987621121428124,P23,tut,1,29,m,,looking at gold cube,1.390015,10.9194,-1.813
637987621121547816,P23,tut,1,29,m,,looking at gold cube,1.390015,10.88675,-1.813
637987621121647538,P23,tut,1,29,m,,looking at gold cube,1.390015,10.85299,-1.813
637987621121757243,P23,tut,1,29,m,,looking at gold cube,1.390015,10.82041,-1.813
637987621121866959,P23,tut,1,29,m,,looking at gold cube,1.390015,10.78643,-1.813
637987621123083698,P23,tut,1,29,m,,looking at gold cube,1.390015,10.42037,-1.813
637987621123203382,P23,tut,1,29,m,,looking at gold cube,1.390015,10.3873,-1.813
637987621123313087,P23,tut,1,29,m,,looking at gold cube,1.390015,10.35393,-1.813
637987621123422785,P23,tut,1,29,m,,looking at gold cube,1.390015,10.32051,-1.813
