"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P12","s","1",22,"m","e",479.1086,637959114373802307,637959114378593393,"gray"
"P12","s","1",22,"m","e",18.0071,637959114478987167,637959114479167238,"gray"
"P12","s","1",22,"m","e",466.8943,637959114482936553,637959114487605496,"gold"
"P12","s","1",22,"m","e",285.0642,637959114543371545,637959114546222187,"gray"
"P12","s","1",22,"m","e",185.0419,637959114586431283,637959114588281702,"gray"
"P12","s","1",22,"m","e",1649.3739,637959114663198648,637959114679692387,"blue"
"P12","s","1",22,"m","e",215.0509,637959114691044946,637959114693195455,"red"
"P12","s","1",22,"m","e",217.0495,637959114814022771,637959114816193266,"red"
"P12","s","1",22,"m","e",406.0932,637959114905424397,637959114909485329,"red"
"P12","s","2",22,"m","e",169.0391,637959115598977521,637959115600667912,"red"
"P12","s","2",22,"m","e",471.859,637959115783164300,637959115787882890,"red"
"P12","s","2",22,"m","e",7.0031,637959115822830791,637959115822900822,"blue"
"P12","s","2",22,"m","e",299.0691,637959115852435456,637959115855426147,"red"
"P12","s","2",22,"m","e",275.0632,637959115916740004,637959115919490636,"gray"
"P12","s","2",22,"m","e",431.0971,637959115958389433,637959115962700404,"gray"
"P12","s","2",22,"m","e",271.0624,637959116000058851,637959116002769475,"gray"
"P12","s","2",22,"m","e",1999.453,637959116055611422,637959116075605952,"red"
"P12","s","2",22,"m","e",1125.2542,637959116101821879,637959116113074421,"gray"
"P12","s","2",22,"m","e",391.0868,637959116140710691,637959116144621559,"gray"
"P12","s","2",22,"m","e",468.9414,637959116174443368,637959116179132782,"gold"
"P12","s","2",22,"m","e",388.0874,637959116204818586,637959116208699460,"gray"
"P12","s","2",22,"m","e",306.07,637959116321831903,637959116324892603,"gray"
"P12","s","2",22,"m","e",959.2184,637959116350928480,637959116360520664,"blue"
"P12","s","2",22,"m","e",483.1097,637959116383355820,637959116388186917,"red"
"P12","s","2",22,"m","e",189.042,637959116474236385,637959116476126805,"red"
