"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P12","s","1",22,"m","e",1539.01,637959114049837491,637959114065227591,"blue"
"P12","s","1",22,"m","e",966.2189,637959114098049922,637959114107712111,"red"
"P12","s","1",22,"m","e",761.1721,637959114139869385,637959114147481106,"blue"
"P12","s","1",22,"m","e",322.0715,637959114179128285,637959114182349000,"red"
"P12","s","1",22,"m","e",1231.2783,637959114234420777,637959114246733560,"gray"
"P12","s","1",22,"m","e",889.2017,637959114278970854,637959114287862871,"gray"
"P12","s","1",22,"m","e",899.2037,637959114313068566,637959114322060603,"gray"
"P12","s","1",22,"m","e",737.1667,637959114348946684,637959114356318351,"gray"
"P12","s","1",22,"m","e",1156.2637,637959114384344688,637959114395907325,"gray"
"P12","s","1",22,"m","e",1157.2616,637959114422136113,637959114433708729,"blue"
"P12","s","1",22,"m","e",1148.4508,637959114495776707,637959114507261215,"gold"
"P12","s","1",22,"m","e",553.1252,637959114553963936,637959114559495188,"gray"
"P12","s","1",22,"m","e",1143.2601,637959114596233497,637959114607666098,"gray"
"P12","s","1",22,"m","e",537.122,637959114631101384,637959114636472604,"gray"
"P12","s","1",22,"m","e",773.1768,637959114698886726,637959114706618494,"red"
"P12","s","1",22,"m","e",1014.2315,637959114730123787,637959114740266102,"blue"
"P12","s","1",22,"m","e",563.1288,637959114785676358,637959114791307646,"blue"
"P12","s","1",22,"m","e",1026.2327,637959114827395798,637959114837658125,"red"
"P12","s","1",22,"m","e",1195.2706,637959114985104143,637959114997056849,"blue"
"P12","s","1",22,"m","e",937.212,637959115021332337,637959115030704457,"red"
"P12","s","2",22,"m","e",821.187,637959115524560685,637959115532772555,"red"
"P12","s","2",22,"m","e",759.1727,637959115571201235,637959115578792962,"blue"
"P12","s","2",22,"m","e",921.2094,637959115605569011,637959115614781105,"red"
"P12","s","2",22,"m","e",1059.2399,637959115668263202,637959115678855601,"blue"
"P12","s","2",22,"m","e",760.1714,637959115709642562,637959115717244276,"red"
"P12","s","2",22,"m","e",745.1688,637959115755772994,637959115763224682,"blue"
"P12","s","2",22,"m","e",499.1135,637959115792763982,637959115797755117,"red"
"P12","s","2",22,"m","e",817.6347,637959115828262022,637959115836438369,"blue"
"P12","s","2",22,"m","e",764.173,637959115862577752,637959115870219482,"red"
"P12","s","2",22,"m","e",658.1487,637959115929322850,637959115935904337,"gray"
"P12","s","2",22,"m","e",427.0961,637959115969541955,637959115973812916,"gray"
"P12","s","2",22,"m","e",704.1597,637959116009791057,637959116016832654,"gray"
"P12","s","2",22,"m","e",590.1328,637959116082407491,637959116088308819,"red"
"P12","s","2",22,"m","e",984.2234,637959116118605674,637959116128447908,"gray"
"P12","s","2",22,"m","e",685.155,637959116149362634,637959116156214184,"gray"
"P12","s","2",22,"m","e",505.1145,637959116184664029,637959116189715174,"gold"
"P12","s","2",22,"m","e",872.197,637959116215470997,637959116224192967,"gray"
