"Participant","Condition","Trial","Group","Event","viewSwitchCounter","startTime","endTime","eventDuration"
"nuP32","comp",2,"c","play_wall",1,638621741153797474,638621741167647814,1385.034
"nuP32","comp",2,"c","view_wall",2,638621741170498198,638621741171938236,144.0038
"nuP32","comp",2,"c","play_wall",3,638621741172308239,638621741190428678,1812.0439
"nuP32","comp",2,"c","build_wall",4,638621741190848684,638621741196728827,588.0143
"nuP32","comp",2,"c","play_wall",5,638621741197378845,638621741237629828,4025.0983
"nuP32","comp",2,"c","build_wall",6,638621741237759831,638621741247530068,977.0237
"nuP32","comp",2,"c","play_wall",7,638621741248140081,638621741266035626,1789.5545
"nuP32","comp",2,"c","build_wall",8,638621741266555643,638621741274535840,798.0197
"nuP32","comp",2,"c","play_wall",9,638621741274655847,638621741293246296,1859.0449
"nuP32","comp",2,"c","build_wall",10,638621741293356296,638621741303026542,967.0246
"nuP32","comp",2,"c","play_wall",11,638621741303456545,638621741329247170,2579.0625
"nuP32","comp",2,"c","build_wall",12,638621741329307186,638621741337617378,831.0192
"nuP32","comp",2,"c","play_wall",13,638621741338037383,638621741354342245,1630.4862
"nuP32","comp",2,"c","build_wall",16,638621741355812282,638621741364992519,918.0237
"nuP32","comp",2,"c","play_wall",17,638621741365452520,638621741387203050,2175.053
"nuP32","comp",2,"c","build_wall",18,638621741387533060,638621741393593207,606.0147
"nuP32","comp",2,"c","play_wall",19,638621741395243251,638621741430114323,3487.1072
"nuP32","comp",2,"c","build_wall",20,638621741430984344,638621741441064594,1008.025
"nuP32","comp",2,"c","play_wall",21,638621741442724630,638621741470195319,2747.0689
"nuP32","comp",2,"c","build_wall",22,638621741470655315,638621741479065525,841.021
"nuP32","comp",2,"c","play_wall",23,638621741479415529,638621741498036156,1862.0627
"nuP32","comp",2,"c","build_wall",24,638621741498366164,638621741506486360,812.0196
"nuP32","comp",2,"c","play_wall",25,638621741507026375,638621741543165232,3613.8857
"nuP32","comp",2,"c","build_wall",26,638621741543275234,638621741554521774,1124.654
"nuP32","comp",2,"c","play_wall",27,638621741554631777,638621741588957758,3432.5981
"nuP32","comp",2,"c","build_wall",28,638621741589377770,638621741609448256,2007.0486
"nuP32","comp",2,"c","play_wall",29,638621741610918294,638621741624788627,1387.0333
"nuP32","comp",2,"c","build_wall",30,638621741625228641,638621741634208861,898.022
"nuP32","comp",2,"c","play_wall",31,638621741634768883,638621741645849151,1108.0268
"nuP32","comp",2,"c","build_wall",32,638621741646379161,638621741652679308,630.0147
"nuP32","comp",2,"c","play_wall",34,638621741653229323,638621741668559695,1533.0372
"nuP32","comp",2,"c","build_wall",35,638621741668869703,638621741680409984,1154.0281
"nuP32","comp",2,"c","play_wall",36,638621741680889996,638621741700320470,1943.0474
"nuP32","comp",2,"c","build_wall",37,638621741700620487,638621741709320691,870.0204
"nuP32","comp",2,"c","play_wall",38,638621741709710711,638621741720760970,1105.0259
"nuP32","comp",2,"c","build_wall",40,638621741721630993,638621741730721212,909.0219
"nuP32","comp",2,"c","play_wall",42,638621741731211232,638621741749781689,1857.0457
"nuP32","comp",2,"c","build_wall",43,638621741749991688,638621741759691926,970.0238
"nuP32","comp",2,"c","play_wall",44,638621741761511962,638621741775362301,1385.0339
"nuP32","comp",2,"c","build_wall",45,638621741775852314,638621741791182693,1533.0379
"nuP32","comp",2,"c","play_wall",46,638621741791732699,638621741811153174,1942.0475
"nuP32","comp",2,"c","build_wall",47,638621741811253176,638621741819803387,855.0211
"nuP32","comp",2,"c","play_wall",48,638621741820223397,638621741842781434,2255.8037
"nuP32","comp",2,"c","build_wall",49,638621741843221442,638621741859481843,1626.0401
"nuP32","comp",2,"c","play_wall",51,638621741859541841,638621741925059495,6551.7654
"nuP32","comp",2,"c","build_wall",52,638621741925399518,638621741934799731,940.0213
"nuP32","comp",2,"c","play_wall",53,638621741935379737,638621741967715677,3233.594
"nuP32","comp",2,"c","build_wall",54,638621741968045686,638621741978637690,1059.2004
"nuP32","comp",2,"c","play_wall",55,638621741979177704,638621741990457994,1128.029
"nuP32","comp",2,"c","build_wall",56,638621741992308014,638621741999958209,765.0195
"nuP32","comp",2,"c","play_wall",57,638621742000558215,638621742020488714,1993.0499
"nuP32","comp",2,"c","build_wall",58,638621742020848716,638621742032869009,1202.0293
"nuP32","comp",2,"c","play_wall",61,638621742032979023,638621742056691139,2371.2116
"nuP32","comp",2,"c","build_wall",64,638621742057001151,638621742068221423,1122.0272
"nuP32","comp",2,"c","play_wall",65,638621742068711428,638621742078321668,961.024
"nuP32","comp",2,"c","build_wall",66,638621742080031679,638621742091141604,1110.9925
"nuP32","comp",2,"c","play_wall",70,638621742093061600,638621742135701551,4263.9951
"nuP32","comp",2,"c","build_wall",71,638621742136141549,638621742140211520,406.9971
"nuP32","comp",2,"c","play_wall",72,638621742140351524,638621742142381515,202.9991
"nuP32","comp",2,"c","view_wall",77,638621742143021506,638621742174001317,3097.9811
"nuP32","comp",2,"c","play_wall",78,638621742175511317,638621742192921201,1740.9884
"nuP32","comp",2,"c","build_wall",79,638621742193341194,638621742201441145,809.9951
"nuP32","comp",2,"c","play_wall",81,638621742201981141,638621742226160992,2417.9851
"nuP32","comp",2,"c","build_wall",84,638621742226520994,638621742236240947,971.9953
"nuP32","comp",2,"c","play_wall",85,638621742236370935,638621742253820832,1744.9897
"nuP32","comp",2,"c","build_wall",86,638621742253920823,638621742262600774,867.9951
"nuP32","comp",2,"c","play_wall",88,638621742263040774,638621742275610693,1256.9919
"nuP32","comp",2,"c","build_wall",89,638621742275810703,638621742287180627,1136.9924
"nuP32","comp",2,"c","play_wall",90,638621742287290627,638621742295130574,783.9947
"nuP32","comp",2,"c","view_wall",93,638621742295240583,638621742301570558,632.9975
"nuP32","comp",2,"c","play_wall",95,638621742302120536,638621742313720468,1159.9932
"nuP32","comp",2,"c","build_wall",96,638621742313820466,638621742322230407,840.9941
"nuP32","comp",2,"c","play_wall",97,638621742322820403,638621742351200238,2837.9835
"nuP32","comp",2,"c","view_wall",98,638621742351680234,638621742390119996,3843.9762
"nuP32","comp",2,"c","play_wall",99,638621742390469990,638621742408979878,1850.9888
"nuP32","comp",2,"c","build_wall",100,638621742409039886,638621742414789845,574.9959
"nuP32","comp",2,"c","play_wall",101,638621742415619838,638621742428919756,1329.9918
"nuP32","comp",2,"c","build_wall",102,638621742430669746,638621742436824800,615.5054
"nuP32","comp",2,"c","play_wall",103,638621742437894790,638621742503614390,6571.96
"nuP32","comp",2,"c","build_wall",104,638621742503954387,638621742510274347,631.996
"nuP32","comp",2,"c","play_wall",105,638621742510724345,638621742520619760,989.5415
"nuP32","comp",2,"c","build_wall",106,638621742521249740,638621742531280544,1003.0804
"nuP32","comp",2,"c","play_wall",107,638621742531800540,638621742575060277,4325.9737
"nuP32","comp",2,"c","build_wall",108,638621742575380274,638621742581360240,597.9966
"nuP32","comp",2,"c","play_wall",109,638621742581770239,638621742583770225,199.9986
"nuP32","comp",2,"c","build_wall",110,638621742584100222,638621742588340196,423.9974
"nuP32","comp",2,"c","play_wall",112,638621742589560192,638621742592260173,269.9981
"nuP32","comp",2,"c","view_wall",114,638621742592380171,638621742614150054,2176.9883
"nuP32","comp",2,"c","play_wall",115,638621742614260039,638621742625199987,1093.9948
"nuP32","comp",2,"c","build_wall",117,638621742626079969,638621742632039944,595.9975
"nuP32","comp",2,"c","play_wall",118,638621742632239930,638621742643259861,1101.9931
"nuP32","comp",2,"c","build_wall",120,638621742643909859,638621742655719789,1180.993
"nuP32","comp",2,"c","play_wall",121,638621742657219777,638621742667409932,1019.0155
"nuP32","comp",2,"c","build_wall",122,638621742667519919,638621742677384944,986.5025
"nuP32","comp",2,"c","play_wall",126,638621742677670022,638621742719050681,4138.0659
"nuP32","comp",2,"c","build_wall",127,638621742719370683,638621742728180789,881.0106
"nuP32","comp",2,"c","play_wall",128,638621742728640780,638621742775070444,4642.9664
"nuP32","comp",2,"c","build_wall",129,638621742776390444,638621742787180377,1078.9933
"nuP32","comp",2,"c","play_wall",130,638621742789030355,638621742795140318,610.9963
"nuP32","comp",2,"c","view_wall",133,638621742796930312,638621742820430170,2349.9858
"nuP32","comp",2,"c","play_wall",134,638621742820890160,638621742834440078,1354.9918
"nuP32","comp",2,"c","build_wall",135,638621742834870078,638621742848640002,1376.9924
"nuP32","comp",2,"c","play_wall",137,638621742849309993,638621742851919985,260.9992
"nuP32","comp",2,"c","view_wall",139,638621742852909971,638621742881019795,2810.9824
"nuP32","comp",2,"c","play_wall",140,638621742881449792,638621742899049683,1759.9891
"nuP32","comp",2,"c","build_wall",144,638621742899169689,638621742905119651,594.9962
"nuP32","comp",2,"c","play_wall",145,638621742905659651,638621743015058984,10939.9333
"nuP32","comp",2,"c","build_wall",146,638621743015588974,638621743026108909,1051.9935
"nuP32","comp",2,"c","play_wall",147,638621743026558913,638621743040144172,1358.5259
"nuP32","comp",2,"c","build_wall",149,638621743040814170,638621743050394110,957.994
"nuP32","comp",2,"c","play_wall",150,638621743050814108,638621743062114040,1129.9932
"nuP32","comp",2,"c","build_wall",151,638621743063124033,638621743078373941,1524.9908
"nuP32","comp",2,"c","play_wall",152,638621743078483938,638621743081143922,265.9984
"nuP32","comp",2,"c","view_wall",154,638621743081463922,638621743112413738,3094.9816
"nuP32","comp",2,"c","play_wall",155,638621743112513734,638621743133833602,2131.9868
"nuP32","comp",2,"c","build_wall",156,638621743136503591,638621743146273536,976.9945
"nuP32","comp",2,"c","play_wall",157,638621743146833523,638621743155633469,879.9946
"nuP32","comp",2,"c","build_wall",160,638621743156513462,638621743174013369,1749.9907
"nuP32","comp",2,"c","play_wall",162,638621743174133355,638621743206483160,3234.9805
"nuP32","comp",2,"c","build_wall",165,638621743206943157,638621743220073074,1312.9917
"nuP32","comp",2,"c","play_wall",166,638621743220483073,638621743234173141,1369.0068
"nuP32","comp",2,"c","view_wall",170,638621743234503137,638621743243593619,909.0482
"nuP32","comp",2,"c","play_wall",172,638621743245473618,638621743262383670,1691.0052
"nuP32","comp",2,"c","build_wall",173,638621743263033668,638621743264673656,163.9988
"nuP32","comp",2,"c","play_wall",175,638621743265353651,638621743276193591,1083.994
"nuP32","comp",2,"c","build_wall",177,638621743276743582,638621743288993508,1224.9926
"nuP32","comp",2,"c","play_wall",179,638621743290373502,638621743305423409,1504.9907
"nuP32","comp",2,"c","build_wall",182,638621743305773406,638621743329803259,2402.9853
"nuP32","comp",2,"c","play_wall",184,638621743329913260,638621743339103204,918.9944
"nuP32","comp",2,"c","build_wall",186,638621743339303209,638621743361083248,2178.0039
"nuP32","comp",2,"c","play_wall",187,638621743361193244,638621743374013166,1281.9922
"nuP32","comp",2,"c","build_wall",188,638621743374353163,638621743385793096,1143.9933
"nuP32","comp",2,"c","play_wall",189,638621743386113095,638621743394413051,829.9956
"nuP32","comp",2,"c","view_wall",190,638621743394993037,638621743399093015,409.9978
"nuP32","comp",2,"c","play_wall",191,638621743400513009,638621743414392921,1387.9912
"nuP32","comp",2,"c","build_wall",193,638621743414952916,638621743429062844,1410.9928
"nuP32","comp",2,"c","play_wall",194,638621743429192829,638621743449948552,2075.5723
"nuP32","comp",2,"c","view_wall",195,638621743450388550,638621743461643944,1125.5394
"nuP32","comp",2,"c","play_wall",197,638621743462173942,638621743472803876,1062.9934
"nuP32","comp",2,"c","build_wall",198,638621743475133861,638621743477463848,232.9987
"nuP32","comp",2,"c","play_wall",199,638621743477793845,638621743517393604,3959.9759
"nuP32","comp",2,"c","build_wall",200,638621743517723605,638621743524813561,708.9956
"nuP32","comp",2,"c","play_wall",201,638621743525273555,638621743544453438,1917.9883
"nuP32","comp",2,"c","build_wall",202,638621743544583445,638621743550793400,620.9955
"nuP32","comp",2,"c","play_wall",204,638621743552483389,638621743595993124,4350.9735
"nuP32","comp",2,"c","build_wall",205,638621743596093124,638621743600863096,476.9972
"nuP32","comp",2,"c","play_wall",206,638621743601343092,638621743628782924,2743.9832
"nuP32","comp",2,"c","build_wall",210,638621743628882925,638621743636502878,761.9953
"nuP32","comp",2,"c","play_wall",211,638621743636852882,638621743656342756,1948.9874
"nuP32","comp",2,"c","build_wall",213,638621743656752755,638621743662622719,586.9964
"nuP32","comp",2,"c","play_wall",214,638621743663092715,638621743677502627,1440.9912
"nuP32","comp",2,"c","build_wall",215,638621743677822626,638621743682862595,503.9969
"nuP32","comp",2,"c","play_wall",216,638621743683762590,638621743732927373,4916.4783
"nuP32","comp",2,"c","build_wall",217,638621743733037376,638621743741907318,886.9942
"nuP32","comp",2,"c","play_wall",218,638621743742557321,638621743792707008,5014.9687
"nuP32","comp",2,"c","build_wall",219,638621743792807019,638621743798546973,573.9954
"nuP32","comp",2,"c","play_wall",220,638621743800606968,638621743829532097,2892.5129
"nuP32","comp",2,"c","build_wall",221,638621743829642096,638621743836552054,690.9958
"nuP32","comp",2,"c","play_wall",222,638621743838532042,638621743856991929,1845.9887
"nuP32","comp",2,"c","build_wall",223,638621743857411928,638621743868456972,1104.5044
"nuP32","comp",2,"c","play_wall",224,638621743870326950,638621743896366796,2603.9846
"nuP32","comp",2,"c","build_wall",226,638621743896496789,638621743903536745,703.9956
"nuP32","comp",2,"c","play_wall",227,638621743903956741,638621743915726670,1176.9929
"nuP32","comp",2,"c","build_wall",228,638621743915826669,638621743925916609,1008.994
"nuP32","comp",2,"c","play_wall",229,638621743926646604,638621743948692084,2204.548
"nuP32","comp",2,"c","build_wall",230,638621743948802086,638621743963291996,1448.991
"nuP32","comp",2,"c","play_wall",232,638621743965031985,638621743980717892,1568.5907
"nuP32","comp",2,"c","build_wall",234,638621743980907889,638621743986117859,520.997
"nuP32","comp",2,"c","play_wall",235,638621743986347856,638621744006697732,2034.9876
