"Participant","Condition","Trial","Group","Event","viewSwitchCounter","startTime","endTime","eventDuration"
"nuP24","comp",2,"c","play_wall",83,638477421351862140,638477421386807388,3494.5248
"nuP24","comp",2,"c","build_wall",85,638477421387467404,638477421398238168,1077.0764
"nuP24","comp",2,"c","play_wall",86,638477421398348165,638477421408829469,1048.1304
"nuP24","comp",2,"c","view_wall",88,638477421409369481,638477421414240603,487.1122
"nuP24","comp",2,"c","play_wall",89,638477421416720908,638477421417720592,99.9684
"nuP24","comp",2,"c","build_wall",92,638477421418620592,638477421424640605,602.0013
"nuP24","comp",2,"c","play_wall",93,638477421426100624,638477421435450944,935.032
"nuP24","comp",2,"c","build_wall",94,638477421436060973,638477421442430648,636.9675
"nuP24","comp",2,"c","play_wall",96,638477421442860639,638477421467107167,2424.6528
"nuP24","comp",2,"c","view_wall",99,638477421467637153,638477421471417168,378.0015
"nuP24","comp",2,"c","play_wall",100,638477421474127174,638477421475027168,89.9994
"nuP24","comp",2,"c","build_wall",101,638477421475577174,638477421483527206,795.0032
"nuP24","comp",2,"c","play_wall",102,638477421484237210,638477421499836485,1559.9275
"nuP24","comp",2,"c","build_wall",104,638477421501356492,638477421513207172,1185.068
"nuP24","comp",2,"c","play_wall",106,638477421513317782,638477421542293219,2897.5437
"nuP24","comp",2,"c","build_wall",107,638477421545383220,638477421552163243,678.0023
"nuP24","comp",2,"c","play_wall",108,638477421554893235,638477421556393248,150.0013
"nuP24","comp",2,"c","view_wall",109,638477421556943251,638477421563841716,689.8465
"nuP24","comp",2,"c","play_wall",110,638477421565418551,638477421577869033,1245.0482
"nuP24","comp",2,"c","build_wall",111,638477421578069036,638477421584849032,677.9996
"nuP24","comp",2,"c","play_wall",112,638477421584949052,638477421586589056,164.0004
"nuP24","comp",2,"c","build_wall",115,638477421587329060,638477421596029052,869.9992
"nuP24","comp",2,"c","play_wall",116,638477421597379058,638477421617469101,2009.0043
"nuP24","comp",2,"c","view_wall",117,638477421618269094,638477421623949103,568.0009
"nuP24","comp",2,"c","play_wall",118,638477421625999103,638477421626789112,79.0009
"nuP24","comp",2,"c","build_wall",119,638477421627679112,638477421635028023,734.8911
"nuP24","comp",2,"c","play_wall",120,638477421636658010,638477421650012436,1335.4426
"nuP24","comp",2,"c","build_wall",121,638477421650822468,638477421655667211,484.4743
"nuP24","comp",2,"c","play_wall",123,638477421656577203,638477421662922796,634.5593
"nuP24","comp",2,"c","view_wall",125,638477421663712810,638477421670482832,677.0022
"nuP24","comp",2,"c","play_wall",126,638477421670602820,638477421673022817,241.9997
"nuP24","comp",2,"c","build_wall",127,638477421673262833,638477421681503225,824.0392
"nuP24","comp",2,"c","play_wall",128,638477421682133206,638477421699604121,1747.0915
"nuP24","comp",2,"c","build_wall",129,638477421700104125,638477421709434152,933.0027
"nuP24","comp",2,"c","play_wall",130,638477421711654146,638477421714004631,235.0485
"nuP24","comp",2,"c","view_wall",131,638477421714534399,638477421723165888,863.1489
"nuP24","comp",2,"c","play_wall",132,638477421723275896,638477421740614331,1733.8435
"nuP24","comp",2,"c","build_wall",133,638477421741484342,638477421747904530,642.0188
"nuP24","comp",2,"c","play_wall",135,638477421748694521,638477421757074533,838.0012
"nuP24","comp",2,"c","build_wall",136,638477421757964537,638477421766140451,817.5914
"nuP24","comp",2,"c","play_wall",137,638477421767716131,638477421771508203,379.2072
"nuP24","comp",2,"c","view_wall",138,638477421771738202,638477421778328206,659.0004
"nuP24","comp",2,"c","play_wall",139,638477421778438237,638477421809078652,3064.0415
"nuP24","comp",2,"c","build_wall",140,638477421809728660,638477421815488671,576.0011
"nuP24","comp",2,"c","play_wall",143,638477421816188654,638477421835799506,1961.0852
"nuP24","comp",2,"c","build_wall",144,638477421836279513,638477421840759986,448.0473
"nuP24","comp",2,"c","play_wall",145,638477421841969998,638477421874400477,3243.0479
"nuP24","comp",2,"c","build_wall",146,638477421874850505,638477421876025692,117.5187
"nuP24","comp",2,"c","play_wall",147,638477421876465698,638477421882771506,630.5808
"nuP24","comp",2,"c","build_wall",148,638477421883311491,638477421891076673,776.5182
"nuP24","comp",2,"c","play_wall",150,638477421892218146,638477421913757453,2153.9307
"nuP24","comp",2,"c","view_wall",151,638477421914827466,638477421920057480,523.0014
"nuP24","comp",2,"c","play_wall",152,638477421920477480,638477421932137507,1166.0027
"nuP24","comp",2,"c","build_wall",153,638477421934617484,638477421940057509,544.0025
"nuP24","comp",2,"c","play_wall",154,638477421941767498,638477421945237524,347.0026
"nuP24","comp",2,"c","view_wall",156,638477421946997514,638477421953097526,610.0012
"nuP24","comp",2,"c","play_wall",157,638477421953197525,638477421965677556,1248.0031
"nuP24","comp",2,"c","build_wall",159,638477421966557546,638477421974517560,796.0014
"nuP24","comp",2,"c","play_wall",160,638477421975007573,638477421983187597,818.0024
"nuP24","comp",2,"c","build_wall",161,638477421984077590,638477421992367592,829.0002
"nuP24","comp",2,"c","play_wall",162,638477421992497599,638477421994377611,188.0012
"nuP24","comp",2,"c","view_wall",163,638477421994947741,638477422001629090,668.1349
"nuP24","comp",2,"c","play_wall",164,638477422001739094,638477422012687845,1094.8751
"nuP24","comp",2,"c","build_wall",165,638477422013247845,638477422020624619,737.6774
"nuP24","comp",2,"c","play_wall",167,638477422021684981,638477422035860935,1417.5954
"nuP24","comp",2,"c","build_wall",170,638477422036500938,638477422044030940,753.0002
"nuP24","comp",2,"c","play_wall",171,638477422045160924,638477422057634179,1247.3255
"nuP24","comp",2,"c","build_wall",172,638477422057834175,638477422071324168,1348.9993
"nuP24","comp",2,"c","play_wall",173,638477422071444168,638477422072664171,122.0003
"nuP24","comp",2,"c","view_wall",176,638477422073594173,638477422078514159,491.9986
"nuP24","comp",2,"c","play_wall",177,638477422079634166,638477422092454173,1282.0007
"nuP24","comp",2,"c","build_wall",179,638477422092724162,638477422104134160,1140.9998
"nuP24","comp",2,"c","play_wall",180,638477422104274151,638477422116600173,1232.6022
"nuP24","comp",2,"c","build_wall",181,638477422116700188,638477422123700527,700.0339
"nuP24","comp",2,"c","play_wall",182,638477422124305935,638477422152769081,2846.3146
"nuP24","comp",2,"c","view_wall",183,638477422154169088,638477422160669376,650.0288
"nuP24","comp",2,"c","play_wall",184,638477422161219092,638477422173686814,1246.7722
"nuP24","comp",2,"c","build_wall",185,638477422174249089,638477422180419567,617.0478
"nuP24","comp",2,"c","play_wall",186,638477422180839296,638477422190369484,953.0188
"nuP24","comp",2,"c","build_wall",188,638477422190879409,638477422207872796,1699.3387
"nuP24","comp",2,"c","play_wall",189,638477422210042797,638477422211082781,103.9984
"nuP24","comp",2,"c","view_wall",190,638477422214007996,638477422228689384,1468.1388
"nuP24","comp",2,"c","play_wall",191,638477422228799088,638477422229749487,95.0399
"nuP24","comp",2,"c","build_wall",194,638477422231518782,638477422243304492,1178.571
"nuP24","comp",2,"c","play_wall",195,638477422244904495,638477422268281848,2337.7353
"nuP24","comp",2,"c","view_wall",197,638477422269731125,638477422274868781,513.7656
"nuP24","comp",2,"c","play_wall",199,638477422278087346,638477422286919135,883.1789
"nuP24","comp",2,"c","build_wall",200,638477422287569428,638477422296927945,935.8517
"nuP24","comp",2,"c","play_wall",201,638477422298271229,638477422332922969,3465.174
"nuP24","comp",2,"c","build_wall",202,638477422334812670,638477422346912638,1209.9968
"nuP24","comp",2,"c","play_wall",203,638477422349022953,638477422351282653,225.97
"nuP24","comp",2,"c","view_wall",205,638477422351752910,638477422361242926,949.0016
"nuP24","comp",2,"c","play_wall",206,638477422362132979,638477422370016128,788.3149
"nuP24","comp",2,"c","build_wall",207,638477422372709567,638477422379066414,635.6847
"nuP24","comp",2,"c","play_wall",208,638477422379586338,638477422392043684,1245.7346
"nuP24","comp",2,"c","build_wall",209,638477422393263678,638477422399061369,579.7691
"nuP24","comp",2,"c","play_wall",210,638477422402331712,638477422402701721,37.0009
"nuP24","comp",2,"c","view_wall",212,638477422403521726,638477422410325217,680.3491
"nuP24","comp",2,"c","play_wall",213,638477422412005436,638477422419015698,701.0262
"nuP24","comp",2,"c","build_wall",216,638477422420165995,638477422431999645,1183.365
"nuP24","comp",2,"c","play_wall",217,638477422432109650,638477422433559643,144.9993
"nuP24","comp",2,"c","view_wall",218,638477422434239637,638477422441757533,751.7896
"nuP24","comp",2,"c","play_wall",219,638477422443326218,638477422457228467,1390.2249
"nuP24","comp",2,"c","build_wall",220,638477422457458469,638477422469338261,1187.9792
"nuP24","comp",2,"c","play_wall",221,638477422471958098,638477422472530786,57.2688
"nuP24","comp",2,"c","view_wall",223,638477422473200429,638477422487993899,1479.347
"nuP24","comp",2,"c","play_wall",224,638477422488104177,638477422498756944,1065.2767
"nuP24","comp",2,"c","build_wall",225,638477422499196666,638477422510347062,1115.0396
"nuP24","comp",2,"c","play_wall",226,638477422510447061,638477422511067068,62.0007
"nuP24","comp",2,"c","view_wall",228,638477422511948934,638477422520337340,838.8406
"nuP24","comp",2,"c","play_wall",229,638477422522646002,638477422532115187,946.9185
"nuP24","comp",2,"c","build_wall",230,638477422532425423,638477422545122008,1269.6585
"nuP24","comp",2,"c","play_wall",231,638477422545221742,638477422547081440,185.9698
"nuP24","comp",2,"c","view_wall",233,638477422547711434,638477422563631690,1592.0256
"nuP24","comp",2,"c","play_wall",234,638477422566301787,638477422577727168,1142.5381
"nuP24","comp",2,"c","build_wall",235,638477422578467167,638477422587167141,869.9974
"nuP24","comp",2,"c","play_wall",236,638477422587827145,638477422605597471,1777.0326
"nuP24","comp",2,"c","build_wall",239,638477422606035758,638477422612466671,643.0913
"nuP24","comp",2,"c","play_wall",240,638477422613956997,638477422635475485,2151.8488
"nuP24","comp",2,"c","build_wall",241,638477422635905475,638477422645735468,982.9993
"nuP24","comp",2,"c","play_wall",244,638477422647225027,638477422667105939,1988.0912
"nuP24","comp",2,"c","view_wall",246,638477422667711683,638477422711029276,4331.7593
"nuP24","comp",2,"c","play_wall",247,638477422711559266,638477422717311559,575.2293
"nuP24","comp",2,"c","view_wall",248,638477422717481896,638477422724232544,675.0648
"nuP24","comp",2,"c","play_wall",249,638477422724332535,638477422725118311,78.5776
"nuP24","comp",2,"c","build_wall",251,638477422725668315,638477422737994748,1232.6433
"nuP24","comp",2,"c","play_wall",253,638477422738114730,638477422745548725,743.3995
"nuP24","comp",2,"c","build_wall",254,638477422746523939,638477422754307114,778.3175
"nuP24","comp",2,"c","play_wall",255,638477422754857105,638477422770417351,1556.0246
"nuP24","comp",2,"c","build_wall",258,638477422771045634,638477422783604650,1255.9016
"nuP24","comp",2,"c","play_wall",259,638477422785044641,638477422825165174,4012.0533
"nuP24","comp",2,"c","build_wall",260,638477422825585180,638477422838046135,1246.0955
"nuP24","comp",2,"c","play_wall",261,638477422838976124,638477422842346279,337.0155
"nuP24","comp",2,"c","view_wall",263,638477422843026258,638477422852066923,904.0665
"nuP24","comp",2,"c","play_wall",265,638477422852167164,638477422862813198,1064.6034
"nuP24","comp",2,"c","build_wall",266,638477422863143179,638477422870669745,752.6566
"nuP24","comp",2,"c","play_wall",267,638477422871334941,638477422880245996,891.1055
"nuP24","comp",2,"c","build_wall",268,638477422880471525,638477422887901191,742.9666
"nuP24","comp",2,"c","play_wall",269,638477422889666384,638477422898146382,847.9998
"nuP24","comp",2,"c","view_wall",270,638477422898676368,638477422905457413,678.1045
"nuP24","comp",2,"c","play_wall",271,638477422905557413,638477422907984026,242.6613
"nuP24","comp",2,"c","build_wall",272,638477422908784032,638477422915229583,644.5551
"nuP24","comp",2,"c","play_wall",273,638477422917029573,638477422929879583,1285.001
"nuP24","comp",2,"c","build_wall",274,638477422930679583,638477422938199573,751.999
"nuP24","comp",2,"c","play_wall",275,638477422939779567,638477422950309569,1053.0002
"nuP24","comp",2,"c","view_wall",276,638477422950979568,638477422955919561,493.9993
"nuP24","comp",2,"c","play_wall",277,638477422957009568,638477422959459824,245.0256
"nuP24","comp",2,"c","build_wall",280,638477422959789570,638477422971549567,1175.9997
"nuP24","comp",2,"c","play_wall",281,638477422972549563,638477422991651059,1910.1496
"nuP24","comp",2,"c","build_wall",284,638477422992521399,638477423009230562,1670.9163
"nuP24","comp",2,"c","play_wall",287,638477423009835497,638477423033760966,2392.5469
"nuP24","comp",2,"c","build_wall",288,638477423034350972,638477423044920962,1056.999
"nuP24","comp",2,"c","play_wall",290,638477423046480961,638477423067709682,2122.8721
"nuP24","comp",2,"c","view_wall",291,638477423067959976,638477423073155628,519.5652
"nuP24","comp",2,"c","play_wall",292,638477423073605389,638477423088751870,1514.6481
"nuP24","comp",2,"c","build_wall",293,638477423090721886,638477423096631863,590.9977
"nuP24","comp",2,"c","play_wall",294,638477423098381866,638477423103501858,511.9992
"nuP24","comp",2,"c","view_wall",296,638477423104109775,638477423108455089,434.5314
"nuP24","comp",2,"c","play_wall",297,638477423109345090,638477423133426765,2408.1675
"nuP24","comp",2,"c","view_wall",298,638477423134096771,638477423137996936,390.0165
"nuP24","comp",2,"c","play_wall",299,638477423138346932,638477423145666994,732.0062
"nuP24","comp",2,"c","build_wall",300,638477423146137000,638477423152037226,590.0226
"nuP24","comp",2,"c","play_wall",301,638477423153697245,638477423166472913,1277.5668
"nuP24","comp",2,"c","build_wall",302,638477423167992942,638477423175442700,744.9758
"nuP24","comp",2,"c","play_wall",303,638477423176662730,638477423194682900,1802.017
"nuP24","comp",2,"c","view_wall",304,638477423195452917,638477423204239512,878.6595
"nuP24","comp",2,"c","play_wall",305,638477423204349511,638477423206241375,189.1864
"nuP24","comp",2,"c","build_wall",308,638477423206790971,638477423215601078,881.0107
"nuP24","comp",2,"c","play_wall",309,638477423216151089,638477423234433215,1828.2126
"nuP24","comp",2,"c","build_wall",310,638477423234783229,638477423243728488,894.5259
"nuP24","comp",2,"c","play_wall",311,638477423244638508,638477423261214484,1657.5976
"nuP24","comp",2,"c","build_wall",313,638477423261514502,638477423270055679,854.1177
"nuP24","comp",2,"c","play_wall",314,638477423271055686,638477423292723778,2166.8092
"nuP24","comp",2,"c","build_wall",315,638477423295303790,638477423303753888,845.0098
"nuP24","comp",2,"c","play_wall",316,638477423305613908,638477423308493949,288.0041
"nuP24","comp",2,"c","view_wall",317,638477423309103955,638477423315484029,638.0074
"nuP24","comp",2,"c","play_wall",318,638477423315934043,638477423325884145,995.0102
"nuP24","comp",2,"c","build_wall",319,638477423326554155,638477423351677923,2512.3768
"nuP24","comp",2,"c","play_wall",320,638477423351798301,638477423363502314,1170.4013
"nuP24","comp",2,"c","build_wall",322,638477423363817486,638477423374276075,1045.8589
"nuP24","comp",2,"c","play_wall",324,638477423374836099,638477423407995583,3315.9484
"nuP24","comp",2,"c","build_wall",325,638477423409433508,638477423421123624,1169.0116
"nuP24","comp",2,"c","play_wall",326,638477423421233632,638477423433013766,1178.0134
"nuP24","comp",2,"c","build_wall",328,638477423433533779,638477423446683926,1315.0147
"nuP24","comp",2,"c","play_wall",329,638477423446803936,638477423474422999,2761.9063
"nuP24","comp",2,"c","build_wall",330,638477423475503015,638477423493407482,1790.4467
"nuP24","comp",2,"c","play_wall",331,638477423495507625,638477423497757859,225.0234
"nuP24","comp",2,"c","view_wall",333,638477423497987856,638477423505442635,745.4779
"nuP24","comp",2,"c","play_wall",334,638477423505552615,638477423535415498,2986.2883
"nuP24","comp",2,"c","view_wall",336,638477423535635495,638477423542307829,667.2334
"nuP24","comp",2,"c","play_wall",338,638477423543297949,638477423554921003,1162.3054
"nuP24","comp",2,"c","build_wall",339,638477423555381021,638477423563949986,856.8965
"nuP24","solo",1,"c","play_wall",1,638477382297108908,638477382302869006,576.0098
"nuP24","solo",1,"c","view_wall",2,638477382302979026,638477382309350995,637.1969
"nuP24","solo",1,"c","play_wall",3,638477382310901816,638477382313110715,220.8899
"nuP24","solo",1,"c","view_wall",4,638477382314752152,638477382325330942,1057.879
"nuP24","solo",1,"c","play_wall",5,638477382325445814,638477382366390762,4094.4948
"nuP24","solo",1,"c","view_wall",6,638477382366500683,638477382375621536,912.0853
"nuP24","solo",1,"c","play_wall",7,638477382376451267,638477382413423258,3697.1991
"nuP24","solo",1,"c","view_wall",9,638477382413863653,638477382418081472,421.7819
"nuP24","solo",1,"c","play_wall",10,638477382420561529,638477382424471723,391.0194
"nuP24","solo",1,"c","build_wall",13,638477382425041726,638477382454515181,2947.3455
"nuP24","solo",1,"c","play_wall",14,638477382457341423,638477382459821861,248.0438
"nuP24","solo",1,"c","view_wall",15,638477382460271578,638477382469633463,936.1885
"nuP24","solo",1,"c","play_wall",16,638477382470509175,638477382484778313,1426.9138
"nuP24","solo",1,"c","build_wall",17,638477382486554268,638477382496545229,999.0961
"nuP24","solo",1,"c","play_wall",18,638477382497843136,638477382523324715,2548.1579
"nuP24","solo",1,"c","build_wall",19,638477382523534729,638477382542535051,1900.0322
"nuP24","solo",1,"c","play_wall",20,638477382542645417,638477382566445459,2380.0042
"nuP24","solo",1,"c","build_wall",21,638477382568346853,638477382583626762,1527.9909
"nuP24","solo",1,"c","play_wall",22,638477382585743405,638477382609196501,2345.3096
"nuP24","solo",1,"c","build_wall",25,638477382609306495,638477382636921178,2761.4683
"nuP24","solo",1,"c","view_wall",27,638477382641538596,638477382654747050,1320.8454
"nuP24","solo",1,"c","play_wall",31,638477382654866791,638477382674818336,1995.1545
"nuP24","solo",1,"c","build_wall",32,638477382676654299,638477382691804306,1515.0007
"nuP24","solo",1,"c","play_wall",34,638477382693034325,638477382710677938,1764.3613
"nuP24","solo",1,"c","build_wall",36,638477382711007947,638477382728264401,1725.6454
