Index,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,group,condition
37,P10,18,f,1436.868804,706.3441723,2070.096061,1841.588013,26134.73438,146976.8203,117861.6328,42380.375,64,108,44,138739.1875,138120.6328,33494.21094,e,s
38,P10,18,f,2675.113575,665.13125,3976.023208,2308.83428,6651.3125,135184.7891,76191.53125,30757.92969,33,44,12,94092.16406,129775.875,9922.039063,e,co
39,P9,25,f,1789.926887,694.15625,2109.069688,1629.566964,1388.3125,105453.4844,79848.78125,3041.671875,49,52,4,73249.98438,48289.82031,2720.632813,c,s
40,P9,25,f,2444.990132,1173.879688,1377.818115,1756.808364,5869.398438,44090.17969,59731.48438,76128.1875,34,37,4,128076.8359,40414.03906,4019.007813,c,co
41,P9,18,m,2954.620477,706.5340909,896.3217593,4118.744792,7771.875,24200.6875,111206.1094,81372.48438,27,38,11,181529.2422,12612.38281,7302.75,e,s
42,P8,18,m,3088.990555,658.7724609,1104.414063,6020.878906,5270.179688,27610.35156,156542.8516,17538.98438,26,33,8,168966.6016,19511.88281,3727.84375,e,co
43,P7,26,f,1632.013231,434.4296875,990.7141462,1425.512137,2606.578125,55479.99219,79828.67969,64454.39063,56,62,6,129022.7734,35857.625,2967.648438,e,s
44,P7,26,f,2826.125651,638.0017361,3978.331597,2445.274132,5742.015625,179024.9219,110037.3359,10417.29688,45,54,9,106376.3906,95893.35938,5485.9375,e,co
45,P6,23,m,2326.681179,410.9677734,925.2494905,1618.219638,3287.742188,42561.47656,71201.66406,138884.0469,44,54,10,193528.4453,24515.02344,4685.023438,e,s
46,P6,23,m,2890.932684,425.7734375,1805.866943,2388.837595,1703.09375,57787.74219,78831.64063,72715.60938,33,36,4,142906.0938,50772.65625,1817.117188,e,co
47,P5,28,m,1400.092126,626.0815972,1318.881727,1197.907878,33808.40625,94959.48438,86249.36719,142006.2344,72,126,53,208741.5078,79687.98438,32364.16406,c,s
48,P5,28,m,1830.56449,629.2471591,3934.696875,1516.277699,20765.15625,177061.3594,66716.21875,30178.14844,44,78,35,85782.14844,75479.89063,23103.70313,c,co
49,P4,22,m,1703.609375,305.0625,1267.273438,2165.1875,305.0625,26612.74219,45468.9375,2572.070313,21,22,1,41428.57813,15120.65625,593.140625,e,s
50,P4,23,m,2095.682907,957.3133013,574.6383351,2690.744518,37335.21875,33329.02344,153372.4375,193004.2188,57,97,41,312167.5547,95455.55469,33683.46875,e,co
51,P4,22,m,1703.609375,305.0625,1267.273438,2165.1875,305.0625,26612.74219,45468.9375,2572.070313,21,22,1,41428.57813,15120.65625,593.140625,e,s
52,P4,23,m,2570.633498,585.5594429,4642.178504,2857.584754,13467.86719,153191.8906,94300.29688,32092.16406,33,56,24,111681.4297,61640.02344,11761.49219,e,co
53,P4,22,m,1703.609375,305.0625,1267.273438,2165.1875,305.0625,26612.74219,45468.9375,2572.070313,21,22,1,41428.57813,15120.65625,593.140625,e,s
54,P4,23,m,3127.634704,725.5748355,7500.679398,2080.304988,13785.92188,202518.3438,54087.92969,26733.10156,26,46,21,70610.72656,38753.10156,14016.01563,e,co
55,P3,0,m,1509.709446,542.2010938,1594.042969,1822.831641,27110.05469,95642.57813,109369.8984,100013.5469,60,110,50,184272,79337.92188,25581.00781,e,s
56,P3,0,m,1729.450135,674.2524802,2210.9758,2123.282552,42477.90625,90650.00781,89177.86719,139149.2969,42,104,62,211687.0313,83337.29688,39683.54688,e,co
