xHeadRot,yHeadRot,zHeadRot
356.2017,1.516462,4.953599
356.191,1.568011,4.941019
356.1902,1.610702,4.930165
356.1908,1.642916,4.92011
356.1822,1.672515,4.907163
356.1845,1.702484,4.902369
356.1771,1.727836,4.900123
356.177,1.751777,4.893141
356.1791,1.786049,4.879597
356.1753,1.843184,4.84762
356.1679,1.84709,4.830359
356.1602,1.902087,4.808609
356.1342,1.967337,4.759465
356.1181,2.036455,4.728164
356.1292,2.045937,4.734847
356.1214,2.100704,4.706626
356.1239,2.16282,4.68854
356.1185,2.23645,4.677058
356.1168,2.310044,4.663552
356.0928,2.37674,4.665182
356.0645,2.464212,4.646479
356.0388,2.540162,4.620089
355.9976,2.617129,4.589278
355.9623,2.693929,4.564451
355.9356,2.766112,4.542423
355.9183,2.823916,4.53988
355.9019,2.871938,4.5392
355.8861,2.915975,4.548021
355.8789,2.954986,4.561824
355.8542,2.995483,4.572202
355.8305,3.025451,4.580572
355.8018,3.071429,4.572273
355.8,3.064544,4.553979
355.7812,3.116323,4.544271
355.7683,3.143736,4.496185
355.7726,3.141491,4.477969
355.7495,3.175015,4.451571
355.7395,3.195312,4.398719
355.7263,3.210187,4.35536
355.72,3.228581,4.323928
355.6976,3.237998,4.295598
355.6557,3.251031,4.26001
355.6186,3.279467,4.227312
355.5738,3.320852,4.190714
355.5364,3.343211,4.161918
355.5154,3.389681,4.140493
355.5164,3.421231,4.118138
355.5184,3.450758,4.11703
355.5259,3.485246,4.116842
355.5191,3.522475,4.131522
355.5163,3.57146,4.155322
355.5013,3.611186,4.182252
355.4883,3.66087,4.189911
355.4725,3.688486,4.198111
355.4508,3.72046,4.204279
355.4508,3.72046,4.204279
355.4508,3.72046,4.204279
355.4361,3.731722,4.175714
355.4333,3.764664,4.154211
355.4274,3.794135,4.128803
355.422,3.843467,4.102733
355.4178,3.895427,4.057578
355.4139,3.957817,4.016303
355.431,4.010324,3.965464
355.4417,4.047173,3.932437
355.4731,4.084552,3.894487
355.4893,4.122265,3.855591
355.4967,4.143106,3.820049
355.506,4.176656,3.773626
355.4998,4.208316,3.735868
355.4892,4.258173,3.701152
355.4839,4.299338,3.671558
355.4836,4.360534,3.636886
355.5005,4.414335,3.608157
355.5349,4.487379,3.57451
355.5633,4.550758,3.535134
355.6009,4.630535,3.485525
355.6449,4.743851,3.396063
355.6558,4.922477,3.281995
355.7313,5.163714,3.120327
355.8353,5.505248,2.934447
355.9286,5.864413,2.717027
356.0646,6.375542,2.457279
356.1815,6.942755,2.17817
356.3391,7.717554,1.857136
356.5647,8.558187,1.542035
356.6214,9.691742,1.211356
356.743,10.86985,0.9384099
356.9058,12.28013,0.7080244
357.1169,13.81882,0.561649
357.3875,15.41726,0.5063842
357.7335,17.17834,0.5271928
358.0874,18.94334,0.5770178
