TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637959021919130046,P9,tut,1,25,f,,HeadPos,-0.08384289,0.5394006,-0.02306684,12.22358,7.179626,0.140561
637959021919240061,P9,tut,1,25,f,,HeadPos,-0.0830923,0.5438705,-0.02365208,12.22308,7.179739,0.1395937
637959021919360110,P9,tut,1,25,f,,HeadPos,-0.08240059,0.5481838,-0.02409983,12.22258,7.179955,0.1386177
637959021919460116,P9,tut,1,25,f,,HeadPos,-0.08161519,0.5525744,-0.02458054,12.2221,7.180122,0.1376756
637959021919570135,P9,tut,1,25,f,,HeadPos,-0.08084321,0.5569084,-0.02521035,12.22166,7.180269,0.1367357
637959021919670160,P9,tut,1,25,f,,HeadPos,-0.08004076,0.5612411,-0.02589841,12.22121,7.180378,0.1357927
637959021919780194,P9,tut,1,25,f,,HeadPos,-0.07929251,0.5656874,-0.02692604,12.2208,7.18056,0.1347979
637959021919900220,P9,tut,1,25,f,,HeadPos,-0.07836337,0.5701786,-0.02792834,12.22039,7.180667,0.1338201
637959021920010236,P9,tut,1,25,f,,HeadPos,-0.07747408,0.5748881,-0.02915938,12.21993,7.180793,0.1327715
637959021920120259,P9,tut,1,25,f,,HeadPos,-0.07675128,0.5795871,-0.03029086,12.2195,7.18095,0.1317152
637959021920240282,P9,tut,1,25,f,,HeadPos,-0.07594525,0.5843491,-0.03138063,12.21903,7.181031,0.1306265
637959021920340316,P9,tut,1,25,f,,HeadPos,-0.07531802,0.5889556,-0.03246656,12.21858,7.18114,0.1295607
637959021920440345,P9,tut,1,25,f,,HeadPos,-0.07469156,0.5936797,-0.03355224,12.21811,7.181178,0.1284746
637959021920560357,P9,tut,1,25,f,,HeadPos,-0.07409738,0.5982539,-0.03470231,12.21764,7.181228,0.1273394
637959021920680389,P9,tut,1,25,f,,HeadPos,-0.07349976,0.6029173,-0.03583672,12.21709,7.18129,0.126364
637959021920810418,P9,tut,1,25,f,,HeadPos,-0.07308718,0.6075166,-0.03702789,12.21661,7.181327,0.1252531
637959021920920445,P9,tut,1,25,f,,HeadPos,-0.07277643,0.6121707,-0.03805432,12.21615,7.181343,0.1241251
637959021921040471,P9,tut,1,25,f,,HeadPos,-0.07267082,0.6167433,-0.03899305,12.21568,7.181324,0.1229859
637959021921160498,P9,tut,1,25,f,,HeadPos,-0.07277076,0.6212366,-0.03970772,12.21524,7.181277,0.1218473
637959021921270528,P9,tut,1,25,f,,HeadPos,-0.07281217,0.6256363,-0.04040659,12.21477,7.181241,0.1207167
637959021921380547,P9,tut,1,25,f,,HeadPos,-0.07285901,0.6298859,-0.04103131,12.21435,7.181203,0.1195506
637959021921510582,P9,tut,1,25,f,,HeadPos,-0.07279715,0.6341172,-0.04173303,12.21388,7.181161,0.1184316
637959021921610592,P9,tut,1,25,f,,HeadPos,-0.07284526,0.6381312,-0.04248123,12.21345,7.18115,0.1173059
637959021921730630,P9,tut,1,25,f,,HeadPos,-0.072864,0.6421102,-0.04330395,12.21312,7.181155,0.1161972
637959021921830649,P9,tut,1,25,f,,HeadPos,-0.07287842,0.6461617,-0.04416567,12.21276,7.181105,0.1151415
637959021921980681,P9,tut,1,25,f,,HeadPos,-0.07292326,0.6500909,-0.04501555,12.21234,7.181102,0.1140406
