"Participant","Group","Condition","TimeEpoch","MeanPercentChange","Meanpupil"
"nuP15","c","comp",0.1,17.4078084765212,4.3408592
"nuP15","c","comp",0.2,18.2316407935797,4.37131833333333
"nuP15","c","comp",0.3,11.8797246205223,4.13647216666667
"nuP15","c","comp",0.4,4.27058244234816,3.85514322222222
"nuP15","c","comp",0.5,-0.869229109969893,3.66511158333333
"nuP15","c","comp",0,-5.99663263845612,3.4755387
"nuP15","c","comp",0.1,-8.91108113445085,3.36778427777778
"nuP15","c","comp",0.2,-10.7768136018607,3.2988035
"nuP15","c","comp",0,4.88218520064838,3.8777557
"nuP15","c","comp",0.1,3.34609781551858,3.82096272222222
"nuP15","c","comp",0.2,-1.65809971965069,3.63594507142857
"nuP15","c","comp",0,5.39612676187855,3.8967574
"nuP15","c","comp",0.1,5.94404020191135,3.917015125
"nuP15","c","comp",0,10.0566241491587,4.0690676
"nuP15","c","comp",0.1,6.89388320904379,3.9521331875
"nuP15","c","comp",0,15.6542804511265,4.2760269
"nuP15","c","comp",0,-0.084364052312215,3.69413
"nuP15","c","comp",0.1,-1.3729403174586,3.646488125
"nuP15","c","comp",0,5.90111842585683,3.9154282
"nuP15","c","comp",0.1,3.89818545505289,3.84137477777778
"nuP15","c","comp",0.2,-0.0730147735869426,3.69454961111111
"nuP15","c","comp",0.3,-1.32231686947156,3.6483598
"nuP15","c","comp",0.4,-4.98623312269671,3.5128956875
"nuP15","c","comp",0,15.6309604105989,4.2751647
"nuP15","c","comp",0.1,12.0322869955065,4.14211277777778
"nuP15","c","comp",0.2,10.9415000486823,4.10178366666667
"nuP15","c","comp",0.3,11.8903225899184,4.136864
"nuP15","c","comp",0,1.03782431870698,3.7356201
"nuP15","c","comp",0.1,-1.09230862727335,3.65686377777778
"nuP15","c","comp",0.2,0.325240778197032,3.70927411111111
"nuP15","c","comp",0.3,5.1781250438067,3.88869733333333
"nuP15","c","comp",0.4,7.81077333821663,3.9860329
"nuP15","c","comp",0.5,11.2945733600333,4.11483766666667
"nuP15","c","comp",0.6,12.4488517409806,4.15751421428571
"nuP15","c","comp",0.7,14.1026520822626,4.21865933333333
"nuP15","c","comp",0.8,14.6186032456862,4.23773533333333
"nuP15","c","comp",0.9,15.9535491956602,4.28709161111111
"nuP15","c","comp",1,17.0047872194009,4.3259585
"nuP15","c","comp",0,2.0101174628603,3.7715682
"nuP15","c","comp",0.1,1.42111559179783,3.74979133333333
"nuP15","c","comp",0,13.8702721067743,4.21006766666667
"nuP15","c","comp",0,4.28565791482199,3.8557006
"nuP15","c","comp",0.1,0.850186616908542,3.72868266666667
"nuP15","c","comp",0.2,0.554436704748625,3.71774805555556
"nuP15","c","comp",0.3,1.91205717027462,3.76794266666667
"nuP15","c","comp",0.4,4.31896037701241,3.856931875
"nuP15","c","comp",0,-2.12519892588834,3.61867525
"nuP15","c","comp",0.3,-7.65386204137999,3.4142668
"nuP15","c","comp",0.4,-7.53722600128716,3.418579125
"nuP15","c","comp",0,5.59261608966863,3.9040221
"nuP15","c","comp",0.1,4.01802109618552,3.8458054
"nuP15","c","comp",0,5.2576697687625,3.8916383
"nuP15","c","comp",0.1,3.43697919720292,3.82432283333333
"nuP15","c","comp",0,12.6108582888913,4.163504
"nuP15","c","comp",0.1,14.8982846047011,4.24807585
"nuP15","c","comp",0.2,17.4471566497519,4.342314
"nuP15","c","comp",0.3,18.3623776325537,4.376152
"nuP15","c","comp",0,9.9628922998798,4.0656021
"nuP15","c","comp",0.1,4.52373311554854,3.86450283333333
"nuP15","c","comp",0.2,2.07050981039887,3.77380105555556
"nuP15","c","comp",0.3,1.82454015176596,3.76470694444444
"nuP15","c","comp",0.4,3.69368581745789,3.83381391666667
"nuP15","c","comp",0,8.47813977754075,4.0107071
"nuP15","c","comp",0.1,5.71384015044143,3.90850405555556
"nuP15","c","comp",0.2,5.63781065157459,3.90569305555556
"nuP15","c","comp",0.3,2.11364398160073,3.77539583333333
"nuP15","c","comp",0.4,1.17727664642223,3.740776
"nuP15","c","comp",0.5,3.08418762685032,3.81127925
"nuP15","c","comp",0.6,0.602585114412841,3.71952822222222
"nuP15","c","comp",0.7,-0.814145363888829,3.66714816666667
"nuP15","c","comp",0.8,-2.61902327826086,3.60041733333333
"nuP15","c","comp",0.9,-2.53625453471207,3.6034775
"nuP15","c","comp",0,1.56031007015132,3.7549377
"nuP15","c","comp",0.1,1.34536407738276,3.74699061111111
"nuP15","c","comp",0.2,0.146958079640712,3.70268255555556
"nuP15","c","comp",0.3,-1.90910207748948,3.62666488888889
"nuP15","c","comp",0.4,-1.7140942941309,3.6338748125
"nuP15","c","comp",0,1.96067800324497,3.7697403
"nuP15","c","comp",0.1,2.53820287299622,3.79109283333333
"nuP15","c","comp",0.2,3.44134129916762,3.82448411111111
"nuP15","c","comp",0.3,5.80704887376748,3.91195021428571
"nuP15","c","comp",0,7.66774537914238,3.9807448
"nuP15","c","comp",0.1,7.81004426764368,3.98600594444444
"nuP15","c","comp",0.2,2.16426419895766,3.77726738888889
"nuP15","c","comp",0.3,2.12629302546533,3.7758635
"nuP15","c","comp",0.4,1.76703493571723,3.76258083333333
"nuP15","c","comp",0,14.7657685149739,4.2431764
"nuP15","c","comp",0.1,5.9237003800995,3.91626311111111
"nuP15","c","comp",0.2,-4.21361985409586,3.541461125
"nuP15","c","comp",0.3,-7.58301116745672,3.41688633333333
"nuP15","c","comp",0.4,-6.05684497227944,3.4733125
"nuP15","c","comp",0,16.7580328181738,4.316835375
"nuP15","c","comp",0,3.86424460532554,3.8401199
"nuP15","c","comp",0.1,4.46081696971167,3.86217666666667
"nuP15","c","comp",0.2,5.28561336690129,3.89267144444444
"nuP15","c","comp",0.3,5.46660077904234,3.899363
"nuP15","c","comp",0,-8.80443728304216,3.37172716666667
"nuP15","c","comp",0,-12.7510354369153,3.2258116
"nuP15","c","comp",0.1,-15.6030940041272,3.12036388888889
"nuP15","c","comp",0.2,-17.4968638330802,3.0503465
