"","TimeEpoch","Participant","Condition","Group","mean_percent"
"116",0,"sdP14","co","e",0.0920138993912075
"117",0,"sdP14","comp","e",-0.113403292671318
"118",0,"sdP14","solo","e",-0.520012031441387
"119",0,"sdP15","co","e",-0.353964777287258
"120",0,"sdP15","comp","e",0.224183927585106
"121",0,"sdP15","solo","e",0.036703003617765
"122",0,"sdP18","comp","c",-0.176577115385637
"123",0,"sdP2","co","c",-0.239941024022986
"124",0,"sdP2","comp","c",-0.285213737298917
"125",0,"sdP2","solo","c",-0.00592111393532112
"126",0,"sdP3","co","c",-0.193738767054862
"127",0,"sdP3","comp","c",-0.143549314633805
"128",0,"sdP3","solo","c",-0.0276044572702438
"129",0,"sdP4","co","e",-0.0654393512913442
"130",0,"sdP4","comp","e",0.00967841184355597
"131",0,"sdP4","solo","e",-0.103598010293225
"132",0,"sdP5","co","e",-0.210405884513727
"133",0,"sdP5","comp","e",-0.223665606986826
"134",0,"sdP5","solo","e",0.255572143827624
"135",0,"sdP8","co","c",0.0120244476992346
"136",0,"sdP8","comp","c",0.00553106397001713
"137",0,"sdP8","solo","c",0.262199078638999
"138",0,"sdP9","co","e",0.538304511550892
"139",0,"sdP9","comp","e",0.0589412231883062
"140",0,"sdP9","solo","e",-0.437039688232408
"141",0.1,"","co","",1.19405974416963
"142",0.1,"P31","co","c",-0.144632494530797
"143",0.1,"P31","comp","c",-0.237098464989757
"144",0.1,"P31","solo","c",-0.0440384309481046
"145",0.1,"P33","co","e",0.530783473106736
"146",0.1,"P33","comp","e",-0.836259873102665
"147",0.1,"P34","solo","c",-0.698781091437608
"148",0.1,"P35","co","c",-0.499676639061222
"149",0.1,"P35","comp","c",-0.106052482297715
"150",0.1,"P35","solo","c",0.144334596386422
"151",0.1,"P36","co","c",-0.355287602690895
"152",0.1,"P36","solo","c",0.179684397890341
"153",0.1,"P5","co","e",-1.33579258138397
"154",0.1,"P5","comp","e",-1.37920936474933
"155",0.1,"P5","solo","e",-1.23129437009654
"156",0.1,"P6","co","e",-0.606450069187999
"157",0.1,"P6","comp","e",-0.433423904277729
"158",0.1,"P6","solo","e",0.373099613432603
"159",0.1,"P7","co","e",0.215818570334951
"160",0.1,"P7","comp","e",0.842912085372893
"161",0.1,"P7","solo","e",0.523486443814448
"162",0.1,"P9","co","e",-0.154451837052578
"163",0.1,"P9","comp","e",0.176185574965917
"164",0.1,"P9","solo","e",0.470352265675175
"165",0.1,"Py","comp","e",0.340040589387282
"166",0.1,"nuP10","co","c",0.146692656813727
"167",0.1,"nuP10","comp","c",0.309893177340444
"168",0.1,"nuP10","solo","c",0.697543168442014
"169",0.1,"nuP11","co","e",0.462518160468431
"170",0.1,"nuP11","comp","e",-0.132068679968793
"171",0.1,"nuP11","solo","e",0.211923246747437
"172",0.1,"nuP12","solo","e",0.477544070547908
"173",0.1,"nuP13","co","e",-0.228101554290009
"174",0.1,"nuP13","comp","e",-0.207099477173432
"175",0.1,"nuP13","solo","e",0.357968415194045
"176",0.1,"nuP14","co","e",-0.916880202847968
"177",0.1,"nuP14","comp","e",0.0768599191546782
"178",0.1,"nuP14","solo","e",0.190086815301757
"179",0.1,"nuP15","co","c",-1.0374162449181
"180",0.1,"nuP15","comp","c",-0.842074601938768
"181",0.1,"nuP15","solo","c",-0.169570276806235
"182",0.1,"nuP17","co","c",-0.472380996901546
"183",0.1,"nuP17","comp","c",-0.304648044090769
"184",0.1,"nuP17","solo","c",0.542722481483164
"185",0.1,"nuP18","co","c",-0.744679529949929
"186",0.1,"nuP18","comp","c",0.14673295748366
"187",0.1,"nuP18","solo","c",0.163304251035182
"188",0.1,"nuP19","co","c",-0.0446969887156904
"189",0.1,"nuP19","comp","c",-0.408149578789256
"190",0.1,"nuP19","solo","c",0.71102909454296
"191",0.1,"nuP20","co","c",-1.12009363551324
"192",0.1,"nuP20","comp","c",-0.66406662144172
"193",0.1,"nuP20","solo","c",-0.205327945223356
"194",0.1,"nuP21","co","c",-0.907669198875727
"195",0.1,"nuP21","comp","c",-0.968686792416103
"196",0.1,"nuP21","solo","c",-0.121974851874943
"197",0.1,"nuP22","co","c",-0.922428059280474
"198",0.1,"nuP22","comp","c",-1.476889399067
"199",0.1,"nuP22","solo","c",-0.157358686521448
"200",0.1,"nuP23","co","c",0.00111202476144725
"201",0.1,"nuP23","comp","c",0.536507195106212
"202",0.1,"nuP23","solo","c",0.261617870194049
"203",0.1,"nuP24","co","c",-0.803713180951242
"204",0.1,"nuP24","comp","c",-0.434991313340765
"205",0.1,"nuP24","solo","c",-0.81208312530533
"206",0.1,"nuP25","co","c",0.092216622446698
"207",0.1,"nuP25","comp","c",-0.63929892473378
"208",0.1,"nuP25","solo","c",0.484516266476092
"209",0.1,"nuP28","co","c",0.0125944093305739
"210",0.1,"nuP28","comp","c",0.656972143666056
"211",0.1,"nuP28","comp","e",-0.254540205201152
"212",0.1,"nuP28","solo","c",0.316325001021173
"213",0.1,"nuP29","co","c",-0.659695277369707
"214",0.1,"nuP29","comp","c",-0.512549358341034
"215",0.1,"nuP29","solo","c",-0.325837856307757
"216",0.1,"nuP30","co","c",0.627024703084825
"217",0.1,"nuP30","comp","c",0.214239093343992
"218",0.1,"nuP30","solo","c",0.244692603046406
"219",0.1,"nuP31","solo","c",0.0346544068278105
"220",0.1,"nuP32","co","c",-0.255110825746235
"221",0.1,"nuP32","comp","c",0.00387121247389185
"222",0.1,"nuP32","solo","c",0.268704929592254
"223",0.1,"nuP33","solo","c",-0.0686170503102982
"224",0.1,"nuP34","co","c",-0.121452612231029
"225",0.1,"nuP34","comp","c",-0.058147717378082
"226",0.1,"nuP34","solo","c",-0.724762696077749
"227",0.1,"nuP36","co","c",-0.140212247580248
"228",0.1,"nuP36","comp","c",-0.375980232361897
"229",0.1,"nuP36","solo","c",-0.499720333996709
"230",0.1,"nuP37","co","c",-0.870872928679813
"231",0.1,"nuP37","comp","c",-0.522267826417888
"232",0.1,"nuP37","solo","c",-0.67424306933998
"233",0.1,"nuP38","co","c",-0.830107068268082
"234",0.1,"nuP38","comp","c",-2.12613776223507
"235",0.1,"nuP38","solo","c",-0.709844509893161
"236",0.1,"p012","co","e",0.979227949373187
"237",0.1,"p012","comp","e",0.461877465271949
"238",0.1,"p012","solo","e",0.397547965186358
"239",0.1,"sd10","co","e",-0.259491926452494
"240",0.1,"sd10","comp","e",-0.0560272512173829
"241",0.1,"sd10","solo","e",0.134528391719756
"242",0.1,"sd12","co","e",0.0428855946853114
"243",0.1,"sd12","solo","e",0.00288378867591683
"244",0.1,"sdP1","co","e",1.29586618933332
"245",0.1,"sdP1","comp","e",1.30557838494796
"246",0.1,"sdP1","solo","e",1.03575982599528
"247",0.1,"sdP11","co","e",-0.025987557240995
"248",0.1,"sdP11","comp","e",-0.0954601214973568
"249",0.1,"sdP11","solo","e",-0.181752625254794
"250",0.1,"sdP12","co","e",-0.0240032769897322
"251",0.1,"sdP12","comp","e",0.488103780498368
"252",0.1,"sdP12","solo","e",-0.784018642890865
"253",0.1,"sdP13","co","c",0.508733000413158
"254",0.1,"sdP13","comp","c",-0.218844351778558
"255",0.1,"sdP13","solo","c",0.0266821877095829
"256",0.1,"sdP14","co","e",0.171839596290295
"257",0.1,"sdP14","comp","e",-0.114065388949139
"258",0.1,"sdP14","solo","e",-0.127260034883656
"259",0.1,"sdP15","co","e",-0.746369645270756
"260",0.1,"sdP15","comp","e",-0.642950830128464
"261",0.1,"sdP15","solo","e",-0.290220059424914
"262",0.1,"sdP18","comp","c",-0.157913869433046
"263",0.1,"sdP2","co","c",-0.860753665006459
"264",0.1,"sdP2","comp","c",-1.24525228749262
"265",0.1,"sdP2","solo","c",-0.700142661580377
"266",0.1,"sdP3","co","c",-0.835152306123239
"267",0.1,"sdP3","comp","c",-0.667624046281572
"268",0.1,"sdP3","solo","c",0.222131536957973
"269",0.1,"sdP4","co","e",-0.347828905046108
"270",0.1,"sdP4","comp","e",-0.0455009181437245
"271",0.1,"sdP4","solo","e",-0.401354679357118
"272",0.1,"sdP5","co","e",-1.01346106892077
"273",0.1,"sdP5","comp","e",-1.01276974551964
"274",0.1,"sdP5","solo","e",-0.278550104408168
"275",0.1,"sdP8","co","c",-0.00538456394506261
"276",0.1,"sdP8","comp","c",0.189586034323811
"277",0.1,"sdP8","solo","c",0.0498552107021372
"278",0.1,"sdP9","co","e",-0.83020779520209
"279",0.1,"sdP9","comp","e",0.238353209576304
"280",0.1,"sdP9","solo","e",-0.123338718071794
"281",0.2,"","co","",2.08934617300964
"282",0.2,"P31","co","c",0.0719555468431599
"283",0.2,"P31","comp","c",0.267116436303176
"284",0.2,"P31","solo","c",1.14292680302189
"285",0.2,"P33","co","e",0.916669051372241
"286",0.2,"P33","comp","e",-0.0859101003875195
"287",0.2,"P34","solo","c",0.0701144613242307
"288",0.2,"P35","co","c",-0.898475363586733
"289",0.2,"P35","comp","c",-0.126700553808225
"290",0.2,"P35","solo","c",-0.33871408592693
"291",0.2,"P36","co","c",-0.631611411268921
"292",0.2,"P36","solo","c",0.0907622374625536
"293",0.2,"P5","co","e",-1.50484029757966
"294",0.2,"P5","comp","e",-1.95618707663247
"295",0.2,"P5","solo","e",-2.0649007905072
"296",0.2,"P6","co","e",-1.23904760489496
"297",0.2,"P6","comp","e",-0.802811823068384
"298",0.2,"P6","solo","e",-0.313074844662375
"299",0.2,"P7","co","e",0.421473644876638
"300",0.2,"P7","comp","e",1.5903073723393
"301",0.2,"P7","solo","e",1.39350346759543
"302",0.2,"P9","co","e",0.104826004351435
"303",0.2,"P9","comp","e",-0.0830326143348382
"304",0.2,"P9","solo","e",0.558217243076086
"305",0.2,"Py","comp","e",1.62932024123877
"306",0.2,"nuP10","co","c",0.518220235801198
"307",0.2,"nuP10","comp","c",0.342736732928544
"308",0.2,"nuP10","solo","c",1.04911998087201
"309",0.2,"nuP11","co","e",0.930963060158865
"310",0.2,"nuP11","comp","e",0.442421450554317
