TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637958192569661981,P6,s,tut,23,m,,HeadPos,-0.009700135,0.889945,-0.01849629,12.99253,7.224923,0.339709
637958192569772002,P6,s,tut,23,m,,HeadPos,-0.008995562,0.891335,-0.01758304,12.99331,7.225088,0.3395026
637958192569902049,P6,s,tut,23,m,,HeadPos,-0.008391926,0.8927655,-0.01669371,12.99409,7.225261,0.3392868
637958192570032230,P6,s,tut,23,m,,HeadPos,-0.007875055,0.8941191,-0.01591038,12.99485,7.225372,0.3390884
637958192570142105,P6,s,tut,23,m,,HeadPos,-0.007286326,0.8954648,-0.01512841,12.99564,7.225498,0.338973
637958192570252113,P6,s,tut,23,m,,HeadPos,-0.006734996,0.8967971,-0.01427096,12.99627,7.225612,0.3388353
637958192570382142,P6,s,tut,23,m,,HeadPos,-0.006301024,0.8980983,-0.01336588,12.99691,7.225637,0.3387206
637958192570512175,P6,s,tut,23,m,,HeadPos,-0.005934851,0.8993593,-0.01252204,12.9976,7.225734,0.3385559
637958192570642202,P6,s,tut,23,m,,HeadPos,-0.00568927,0.9006028,-0.01187062,12.99823,7.225805,0.338412
637958192570752226,P6,s,tut,23,m,,HeadPos,-0.005502582,0.9017976,-0.01123106,12.99899,7.225935,0.338264
637958192570852276,P6,s,tut,23,m,,HeadPos,-0.005521649,0.9029835,-0.01069038,12.99962,7.225916,0.3381682
637958192570962278,P6,s,tut,23,m,,HeadPos,-0.005485618,0.904107,-0.01021446,13.00025,7.225968,0.3380673
637958192571092308,P6,s,tut,23,m,,HeadPos,-0.005560564,0.9051791,-0.009664091,13.00087,7.225918,0.3380064
637958192571192330,P6,s,tut,23,m,,HeadPos,-0.005761771,0.9061965,-0.009272506,13.00137,7.225968,0.3379534
637958192571302350,P6,s,tut,23,m,,HeadPos,-0.005709504,0.9072081,-0.009058557,13.00198,7.226013,0.3379312
637958192571422373,P6,s,tut,23,m,,HeadPos,-0.005628153,0.9081265,-0.008820145,13.00256,7.22607,0.3378707
637958192571532419,P6,s,tut,23,m,,HeadPos,-0.005571994,0.9080195,-0.008968533,13.00253,7.226085,0.3379493
637958192571652425,P6,s,tut,23,m,,HeadPos,-0.005337435,0.9089607,-0.008672875,13.00306,7.226117,0.3379501
637958192571762450,P6,s,tut,23,m,,HeadPos,-0.005042248,0.9098132,-0.008371559,13.00358,7.22618,0.3379918
637958192571872477,P6,s,tut,23,m,,HeadPos,-0.004719126,0.9106541,-0.008214067,13.00413,7.22622,0.3380125
637958192571982513,P6,s,tut,23,m,,HeadPos,-0.004459617,0.9114457,-0.008111089,13.00469,7.226263,0.3380426
637958192572092528,P6,s,tut,23,m,,HeadPos,-0.004094032,0.9122574,-0.008082726,13.00526,7.226285,0.3381234
637958192572202552,P6,s,tut,23,m,,HeadPos,-0.003803826,0.9129329,-0.008248722,13.00577,7.226287,0.3381817
637958192572312575,P6,s,tut,23,m,,HeadPos,-0.00351192,0.9136444,-0.00838372,13.00627,7.226348,0.3382604
637958192572422600,P6,s,tut,23,m,,HeadPos,-0.003361239,0.914274,-0.0086707,13.00674,7.22639,0.338339
637958192572522631,P6,s,tut,23,m,,HeadPos,-0.002944323,0.9148663,-0.008817324,13.00717,7.22632,0.3384151
637958192572632646,P6,s,tut,23,m,,HeadPos,-0.002705165,0.9154634,-0.009266075,13.00758,7.226282,0.3384968
637958192572742673,P6,s,tut,23,m,,HeadPos,-0.002594416,0.9160429,-0.009556906,13.00788,7.226229,0.3385763
637958192572852699,P6,s,tut,23,m,,HeadPos,-0.002507932,0.9165455,-0.009899973,13.0082,7.226119,0.3386706
637958192572962725,P6,s,tut,23,m,,HeadPos,-0.002371807,0.9170362,-0.01024689,13.00854,7.225993,0.3387486
637958192573072750,P6,s,tut,23,m,,HeadPos,-0.002184839,0.9174514,-0.01076822,13.00887,7.225942,0.338841
637958192573222782,P6,s,tut,23,m,,HeadPos,-0.002019414,0.9178335,-0.01125378,13.00913,7.225837,0.338959
637958192573322805,P6,s,tut,23,m,,HeadPos,-0.001871821,0.9181815,-0.01168717,13.00942,7.2257,0.3390805
637958192573432828,P6,s,tut,23,m,,HeadPos,-0.00182134,0.918487,-0.01218785,13.00965,7.225547,0.3392218
637958192573532850,P6,s,tut,23,m,,HeadPos,-0.001755244,0.9187976,-0.01271945,13.00984,7.225409,0.339376
637958192573642882,P6,s,tut,23,m,,HeadPos,-0.001644568,0.9190804,-0.01325243,13.01001,7.22524,0.3395247
637958192573752903,P6,s,tut,23,m,,HeadPos,-0.001693438,0.9193568,-0.01384353,13.0101,7.225104,0.3396112
637958192573862925,P6,s,tut,23,m,,HeadPos,-0.001755654,0.9195758,-0.01428765,13.01019,7.224938,0.3397653
637958192573962946,P6,s,tut,23,m,,HeadPos,-0.002019988,0.9197528,-0.01479235,13.01027,7.224768,0.3399485
637958192574072972,P6,s,tut,23,m,,HeadPos,-0.002183349,0.9199153,-0.01526518,13.01024,7.224668,0.3401607
637958192574182996,P6,s,tut,23,m,,HeadPos,-0.00247602,0.9200867,-0.01576746,13.01025,7.224546,0.3403397
637958192574293019,P6,s,tut,23,m,,HeadPos,-0.002765432,0.9201695,-0.01615769,13.01026,7.224401,0.3405282
637958192574393042,P6,s,tut,23,m,,HeadPos,-0.003001507,0.9202836,-0.01659798,13.01021,7.224264,0.3407069
637958192574513068,P6,s,tut,23,m,,HeadPos,-0.00333557,0.9203852,-0.01701912,13.0102,7.224126,0.3408794
637958192574623096,P6,s,tut,23,m,,HeadPos,-0.003753437,0.9204413,-0.01762881,13.01017,7.224034,0.3411481
637958192574723122,P6,s,tut,23,m,,HeadPos,-0.004284291,0.9204586,-0.0183537,13.01014,7.22393,0.3413668
637958192574833143,P6,s,tut,23,m,,HeadPos,-0.004526974,0.9204687,-0.01890665,13.01006,7.223842,0.3416346
637958192574933168,P6,s,tut,23,m,,HeadPos,-0.004810312,0.9204393,-0.01937143,13.01009,7.223782,0.3418744
637958192575033191,P6,s,tut,23,m,,HeadPos,-0.005001266,0.9203895,-0.01981235,13.01,7.223705,0.3421422
637958192575143212,P6,s,tut,23,m,,HeadPos,-0.00520939,0.920344,-0.0201108,13.01001,7.223646,0.3424137
637958192575253238,P6,s,tut,23,m,,HeadPos,-0.005250407,0.9202687,-0.02046067,13.00993,7.22363,0.3427071
637958192575353268,P6,s,tut,23,m,,HeadPos,-0.005306332,0.9202172,-0.02067501,13.00976,7.223544,0.3430294
637958192575463279,P6,s,tut,23,m,,HeadPos,-0.005459482,0.9201534,-0.02088082,13.00968,7.223478,0.3433017
637958192575563307,P6,s,tut,23,m,,HeadPos,-0.005433748,0.9200583,-0.02100758,13.00954,7.223424,0.3436338
637958192575663325,P6,s,tut,23,m,,HeadPos,-0.005525648,0.9199853,-0.02114891,13.00934,7.223322,0.3439028
637958192575773351,P6,s,tut,23,m,,HeadPos,-0.00554155,0.9199158,-0.02137738,13.00921,7.223261,0.3441657
637958192575883384,P6,s,tut,23,m,,HeadPos,-0.005622112,0.9198608,-0.02161457,13.00914,7.223185,0.3444378
637958192575993406,P6,s,tut,23,m,,HeadPos,-0.00565193,0.9197864,-0.02196445,13.00906,7.223105,0.3446913
637958192576113427,P6,s,tut,23,m,,HeadPos,-0.005746173,0.9197266,-0.02219279,13.0089,7.222965,0.3449551
637958192576223451,P6,s,tut,23,m,,HeadPos,-0.005871987,0.9196955,-0.02250677,13.00877,7.222775,0.3452069
637958192576333481,P6,s,tut,23,m,,HeadPos,-0.006125032,0.919643,-0.02284995,13.00861,7.222601,0.345445
637958192576433501,P6,s,tut,23,m,,HeadPos,-0.006363241,0.9196132,-0.02321687,13.00845,7.222422,0.3456719
637958192576533531,P6,s,tut,23,m,,HeadPos,-0.006681231,0.9195882,-0.0235188,13.00832,7.222287,0.3458244
637958192576633546,P6,s,tut,23,m,,HeadPos,-0.007086642,0.9195883,-0.02381824,13.00819,7.222093,0.3460526
637958192576743571,P6,s,tut,23,m,,HeadPos,-0.007493669,0.9195937,-0.02419461,13.0081,7.221926,0.3462942
637958192576863597,P6,s,tut,23,m,,HeadPos,-0.007945779,0.9195572,-0.02469322,13.00801,7.221744,0.3465145
637958192576983630,P6,s,tut,23,m,,HeadPos,-0.008415211,0.919571,-0.02528053,13.00791,7.221537,0.3466958
637958192577093652,P6,s,tut,23,m,,HeadPos,-0.009019401,0.9195449,-0.02604854,13.00786,7.221386,0.3469405
637958192577203672,P6,s,tut,23,m,,HeadPos,-0.009803128,0.9195564,-0.02683998,13.00785,7.221179,0.3471425
637958192577313701,P6,s,tut,23,m,,HeadPos,-0.01060015,0.9195384,-0.02754354,13.0078,7.22094,0.3473563
637958192577423727,P6,s,tut,23,m,,HeadPos,-0.01139173,0.9195406,-0.02819386,13.00783,7.220689,0.3475847
637958192577533757,P6,s,tut,23,m,,HeadPos,-0.0120255,0.9194889,-0.02877073,13.00788,7.220478,0.3477832
637958192577643781,P6,s,tut,23,m,,HeadPos,-0.01255528,0.9194633,-0.02924319,13.00794,7.220332,0.3479906
637958192577743795,P6,s,tut,23,m,,HeadPos,-0.01282406,0.9194697,-0.02966009,13.00793,7.220294,0.3481668
637958192577853825,P6,s,tut,23,m,,HeadPos,-0.01308706,0.919414,-0.02981628,13.008,7.220284,0.3483726
