TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637958990586330903,P8,tut,1,18,m,,HeadPos,0.001408174,0.475795,0.005223545,12.77447,7.379434,-0.00903683
637958990586470939,P8,tut,1,18,m,,HeadPos,0.001240424,0.4757136,0.004970731,12.77455,7.379391,-0.009003213
637958990586570961,P8,tut,1,18,m,,HeadPos,0.0008855249,0.4757232,0.00469251,12.77461,7.379206,-0.00884687
637958990586660984,P8,tut,1,18,m,,HeadPos,0.000415162,0.4756328,0.004507322,12.77469,7.379041,-0.008805564
637958990586751004,P8,tut,1,18,m,,HeadPos,0.0002167501,0.475616,0.004518622,12.77474,7.378947,-0.008825561
637958990586861030,P8,tut,1,18,m,,HeadPos,1.749769E-05,0.4756058,0.004502065,12.77477,7.378903,-0.008814594
637958990586951047,P8,tut,1,18,m,,HeadPos,-0.0001870287,0.4755579,0.004452954,12.77467,7.378878,-0.00882416
637958990587041069,P8,tut,1,18,m,,HeadPos,-0.0001200483,0.4755333,0.004413431,12.77467,7.378819,-0.008793583
637958990587141097,P8,tut,1,18,m,,HeadPos,-0.0002579815,0.4755724,0.004273042,12.77464,7.378803,-0.008820018
637958990587251108,P8,tut,1,18,m,,HeadPos,-0.0004043364,0.4756466,0.004242828,12.77464,7.378728,-0.008808842
637958990587361159,P8,tut,1,18,m,,HeadPos,-0.0006315364,0.4757219,0.004079475,12.77461,7.378677,-0.008830538
637958990587471165,P8,tut,1,18,m,,HeadPos,-0.0007804784,0.4757317,0.004085428,12.77456,7.378647,-0.008857271
637958990587581188,P8,tut,1,18,m,,HeadPos,-0.0007957559,0.4757701,0.00408171,12.77454,7.378588,-0.008874228
637958990587691345,P8,tut,1,18,m,,HeadPos,-0.000972306,0.4758205,0.004106693,12.77455,7.378604,-0.008835724
637958990587801239,P8,tut,1,18,m,,HeadPos,-0.001140361,0.4759375,0.004064781,12.77454,7.378559,-0.008834561
637958990592762359,P8,tut,1,18,m,,HeadPos,-0.001268125,0.4759494,0.003953849,12.77461,7.37847,-0.008866152
637958990592852383,P8,tut,1,18,m,,HeadPos,-0.001507266,0.4759857,0.003721776,12.77463,7.378382,-0.008898338
637958990592937444,P8,tut,1,18,m,,HeadPos,-0.01024628,0.4866835,-0.002205407,12.77052,7.37646,-0.0115804
637958990593027467,P8,tut,1,18,m,,HeadPos,-0.01055355,0.4870634,-0.002228156,12.77032,7.376402,-0.01150723
637958990593117498,P8,tut,1,18,m,,HeadPos,-0.01096684,0.4873042,-0.002237122,12.77024,7.376345,-0.0115551
637958990593227515,P8,tut,1,18,m,,HeadPos,-0.01125604,0.4875515,-0.002229227,12.77006,7.376304,-0.01150416
637958990593317530,P8,tut,1,18,m,,HeadPos,-0.01167378,0.4877287,-0.002345917,12.76985,7.376224,-0.011588
637958990593417553,P8,tut,1,18,m,,HeadPos,-0.01194431,0.4879866,-0.002398073,12.76974,7.376113,-0.0116203
637958990593507577,P8,tut,1,18,m,,HeadPos,-0.01235331,0.4880934,-0.00242517,12.76963,7.376072,-0.01168554
637958990593597594,P8,tut,1,18,m,,HeadPos,-0.01270009,0.4882004,-0.00259315,12.76958,7.37598,-0.01180585
637958990593687620,P8,tut,1,18,m,,HeadPos,-0.01301734,0.4882412,-0.002730229,12.76949,7.375864,-0.01188739
637958990593797645,P8,tut,1,18,m,,HeadPos,-0.01344619,0.4882718,-0.002878093,12.76938,7.375793,-0.0119222
637958990593897666,P8,tut,1,18,m,,HeadPos,-0.01383109,0.4883063,-0.003024768,12.76929,7.375692,-0.01202293
637958990594017696,P8,tut,1,18,m,,HeadPos,-0.01412677,0.4882699,-0.003206188,12.76914,7.375603,-0.012066
637958990594137719,P8,tut,1,18,m,,HeadPos,-0.01439866,0.4882942,-0.003459608,12.76904,7.375508,-0.01216163
637958990594237747,P8,tut,1,18,m,,HeadPos,-0.01482122,0.4883355,-0.003702671,12.76885,7.375436,-0.01223307
637958990594357770,P8,tut,1,18,m,,HeadPos,-0.01529106,0.4883266,-0.003979083,12.7686,7.375382,-0.0122995
637958990594467801,P8,tut,1,18,m,,HeadPos,-0.01559903,0.4883738,-0.004289479,12.76843,7.375327,-0.01236208
637958990594577819,P8,tut,1,18,m,,HeadPos,-0.01593632,0.4884365,-0.004616556,12.76829,7.375264,-0.01240819
637958990594687839,P8,tut,1,18,m,,HeadPos,-0.01622431,0.4885444,-0.004817395,12.76809,7.375155,-0.01246207
637958990594827881,P8,tut,1,18,m,,HeadPos,-0.01663331,0.4887526,-0.005080766,12.76798,7.375054,-0.01251282
637958990594927898,P8,tut,1,18,m,,HeadPos,-0.01701283,0.4888871,-0.005298399,12.76779,7.374946,-0.01262646
637958990595017927,P8,tut,1,18,m,,HeadPos,-0.01730704,0.4891074,-0.005467222,12.76757,7.374837,-0.01272332
637958990595127941,P8,tut,1,18,m,,HeadPos,-0.01759355,0.4893174,-0.005764942,12.76733,7.374772,-0.0128467
637958990595247971,P8,tut,1,18,m,,HeadPos,-0.01784929,0.4895812,-0.005932755,12.76706,7.3747,-0.01291149
637958990595358001,P8,tut,1,18,m,,HeadPos,-0.01825775,0.4898889,-0.006253537,12.76677,7.374647,-0.01302152
637958990595468020,P8,tut,1,18,m,,HeadPos,-0.01859115,0.4901448,-0.006580015,12.76649,7.374558,-0.01310535
