TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos
637962641891766326,P2,s,1,19,m,,HeadPos,-0.06389628,0.575502,-0.03779734,13.05942,7.291228,0.1763687
637962641891916355,P2,s,1,19,m,,HeadPos,-0.06371342,0.5757424,-0.03778385,13.05951,7.291239,0.1763731
637962641892016377,P2,s,1,19,m,,HeadPos,-0.06357294,0.5760648,-0.03782994,13.05964,7.29127,0.1763702
637962641892106397,P2,s,1,19,m,,HeadPos,-0.06326767,0.5767103,-0.03795241,13.06003,7.29126,0.1762417
637962641892205716,P2,s,1,19,m,,HeadPos,-0.06318857,0.5770421,-0.03814891,13.06013,7.291289,0.1762355
637962641892305118,P2,s,1,19,m,,HeadPos,-0.06298114,0.5774344,-0.0381744,13.06029,7.291234,0.1761831
637962641892395135,P2,s,1,19,m,,HeadPos,-0.06286093,0.5777464,-0.03830647,13.06038,7.291283,0.176165
637962641892495160,P2,s,1,19,m,,HeadPos,-0.06265274,0.5781673,-0.0383556,13.0606,7.291303,0.1760638
637962641892595181,P2,s,1,19,m,,HeadPos,-0.06227114,0.5785384,-0.03841556,13.06077,7.29131,0.175947
637962641892695196,P2,s,1,19,m,,HeadPos,-0.06205719,0.5789568,-0.03848226,13.06086,7.291362,0.1759362
637962641892795220,P2,s,1,19,m,,HeadPos,-0.06183314,0.5794103,-0.03849304,13.06095,7.291391,0.1758508
637962641892885246,P2,s,1,19,m,,HeadPos,-0.06158312,0.5799278,-0.03854036,13.06102,7.291441,0.1758467
637962641892985278,P2,s,1,19,m,,HeadPos,-0.06140473,0.5804166,-0.03853086,13.06122,7.291463,0.1757001
637962641893075286,P2,s,1,19,m,,HeadPos,-0.061209,0.5808529,-0.03846692,13.06136,7.291441,0.1756691
637962641893185322,P2,s,1,19,m,,HeadPos,-0.0610403,0.5813296,-0.03842647,13.06155,7.291457,0.1755886
637962641893285567,P2,s,1,19,m,,HeadPos,-0.06094478,0.581764,-0.03827891,13.06165,7.291447,0.1756564
637962641893405361,P2,s,1,19,m,,HeadPos,-0.06092148,0.5821633,-0.03836297,13.06175,7.291493,0.1756537
637962641893515606,P2,s,1,19,m,,HeadPos,-0.06089054,0.5825417,-0.03833163,13.06199,7.291466,0.1755313
