"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sdP12","comp",2,"e","place",712.0967,638265835786335981,638265835793456948,"Network Gold Cube WholeClone15 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",1298.5374,638265835811797364,638265835824782738,"Network Blue CubeClone24 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",1027.624,638265835839409667,638265835849685907,"Network Red CubeClone27 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",72.8054,638265835868822680,638265835869550734,"Network Neutral CubeClone34 was dropped in DropzonePlaceHolderClone1","White"
"sdP12","comp",2,"e","place",570.8783,638265835884288382,638265835889997165,"Network Neutral CubeClone37 was dropped in DropzonePlaceHolderClone1","White"
"sdP12","comp",2,"e","place",929.4017,638265835917195459,638265835926489476,"Network Red CubeClone41 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",548.1569,638265835940882742,638265835946364311,"Network Neutral CubeClone44 was dropped in DropzonePlaceHolderClone1","White"
"sdP12","comp",2,"e","place",943.9925,638265835988739619,638265835998179544,"Network Gold Cube WholeClone51 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",825.8946,638265836035779051,638265836044037997,"Network Blue CubeClone54 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",1091.0294,638265836073197988,638265836084108282,"Network Blue CubeClone57 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",542.5381,638265836126329143,638265836131754524,"Network Blue CubeClone67 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",1287.9243,638265836148782389,638265836161661632,"Network Blue CubeClone69 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",681.0214,638265836175483921,638265836182294135,"Network Red CubeClone73 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",807.16,638265836226694909,638265836234766509,"Network Gold Cube WholeClone85 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",743.0083,638265836276664113,638265836284094196,"Network Red CubeClone91 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",637.0444,638265836294873744,638265836301244188,"Network Gold Cube WholeClone91 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",759.2372,638265836314566151,638265836322158523,"Network Gold Cube WholeClone97 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",741.1183,638265836357262609,638265836364673792,"Network Red CubeClone HB 1_0 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",1296.84,638265836394732333,638265836407700733,"Network Red CubeClone HB 1_4 was dropped in DropzonePlaceHolderClone5","Red"
"sdP12","comp",2,"e","place",821.1356,638265836478915708,638265836487127064,"Network Gold Cube WholeClone HB 2_4 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",586.0998,638265836498935557,638265836504796555,"Network Blue CubeClone HB 3_3 was dropped in DropzonePlaceHolderClone3","Blue"
"sdP12","comp",2,"e","place",662.5277,638265836518296367,638265836524921644,"Network Red CubeClone HB 1_3 was dropped in DropzonePlaceHolderClone4","Red"
"sdP12","comp",2,"e","place",510.0833,638265836537065005,638265836542165838,"Network Gold Cube WholeClone HB 2_2 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",549.134,638265836554235664,638265836559727004,"Network Gold Cube WholeClone HB 1_3 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",488.377,638265836573897754,638265836578781524,"Network Red CubeClone HB 1_2 was dropped in DropzonePlaceHolderClone3","Red"
"sdP12","comp",2,"e","place",1013.6895,638265836657187801,638265836667324696,"Network Blue CubeClone HB 3_4 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",1297.5823,638265836703191068,638265836716166891,"Network Gold Cube WholeClone HB 2_3 was dropped in DropzonePlaceHolderClone5","Gold"
"sdP12","comp",2,"e","place",1085.3465,638265836734470528,638265836745323993,"Network Gold Cube WholeClone HB 2_1 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",575.4006,638265836757678417,638265836763432423,"Network Blue CubeClone HB 3_2 was dropped in DropzonePlaceHolderClone3","Blue"
"sdP12","comp",2,"e","place",855.306,638265836767242437,638265836775795497,"Network Gold Cube WholeClone HB 2_0 was dropped in DropzonePlaceHolderClone4","Gold"
"sdP12","comp",2,"e","place",1247.8504,638265836789027667,638265836801506171,"Network Gold Cube WholeClone HB 2_3 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",874.8455,638265836801935027,638265836810683482,"Network Blue CubeClone HB 2_1 was dropped in DropzonePlaceHolderClone3","Blue"
"sdP12","comp",2,"e","place",709.4332,638265836818001808,638265836825096140,"Network Gold Cube WholeClone HB 1_2 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",1288.7041,638265836832966957,638265836845853998,"Network Neutral CubeClone HB 0_0 was dropped in DropzonePlaceHolderClone2","White"
"sdP12","comp",2,"e","place",759.7593,638265836850814470,638265836858412063,"Network Red CubeClone HB 1_0 was dropped in DropzonePlaceHolderClone1","Red"
"sdP12","comp",2,"e","place",557.8705,638265836887748351,638265836893327056,"Network Gold Cube WholeClone HB 1_3 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",471.675,638265836974565332,638265836979282082,"Network Neutral CubeClone HB 1_2 was dropped in DropzonePlaceHolderClone2","White"
"sdP12","comp",2,"e","place",842.3935,638265837001555311,638265837009979246,"Network Blue CubeClone HB 2_4 was dropped in DropzonePlaceHolderClone3","Blue"
"sdP12","comp",2,"e","place",1299.9812,638265837036295117,638265837049294929,"Network Blue CubeClone HB 2_4 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",811.0743,638265837063181980,638265837071292723,"Network Neutral CubeClone HB 0_3 was dropped in DropzonePlaceHolderClone3","White"
"sdP12","comp",2,"e","place",1291.4684,638265837147807766,638265837160722450,"Network Blue CubeClone205 was dropped in DropzonePlaceHolderClone2","Blue"
"sdP12","comp",2,"e","place",672.0966,638265837228622632,638265837235343598,"Network Neutral CubeClone HB 0_4 was dropped in DropzonePlaceHolderClone3","White"
"sdP12","comp",2,"e","place",484.4618,638265837271077459,638265837275922077,"Network Neutral CubeClone227 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",1299.3262,638265837291776026,638265837304769288,"Network Blue CubeClone HB 3_1 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",1298.009,638265837304184793,638265837317164883,"Network Neutral CubeClone HB 3_0 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",1291.4877,638265837318416883,638265837331331760,"Network Blue CubeClone HB 4_1 was dropped in DropzonePlaceHolderClone4","Blue"
"sdP12","comp",2,"e","place",661.9247,638265837357439076,638265837364058323,"Network Neutral CubeClone237 was dropped in DropzonePlaceHolderClone2","White"
"sdP12","comp",2,"e","place",787.508,638265837373627214,638265837381502294,"Network Blue CubeClone HB 4_2 was dropped in DropzonePlaceHolderClone1","Blue"
"sdP12","comp",2,"e","place",1294.0732,638265837394390988,638265837407331720,"Network Neutral CubeClone HB 1_0 was dropped in DropzonePlaceHolderClone5","White"
"sdP12","comp",2,"e","place",973.0082,638265837416677701,638265837426407783,"Network Blue CubeClone HB 0_4 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",1297.511,638265837479129289,638265837492104399,"Network Red CubeClone257 was dropped in DropzonePlaceHolderClone5","Red"
"sdP12","comp",2,"e","place",702.5908,638265837516561050,638265837523586958,"Network Gold Cube WholeClone233 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",820.6006,638265837596948954,638265837605154960,"Network Red CubeClone274 was dropped in DropzonePlaceHolderClone1","Red"
"sdP12","comp",2,"e","place",478.9078,638265837629007894,638265837633796972,"Network Gold Cube WholeClone267 was dropped in DropzonePlaceHolderClone1","Gold"
"sdP12","comp",2,"e","place",799.6422,638265837644859326,638265837652855748,"Network Neutral CubeClone HB 0_1 was dropped in DropzonePlaceHolderClone1","White"
"sdP12","comp",2,"e","place",306.6095,638265837693380047,638265837696446142,"Network Blue CubeClone285 was dropped in DropzonePlaceHolderClone1","Blue"
"sdP12","comp",2,"e","place",1184.3367,638265837757819039,638265837769662406,"Network Gold Cube WholeClone288 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",409.7748,638265837797413054,638265837801510802,"Network Red CubeClone295 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",354.5786,638265837816129553,638265837819675339,"Network Red CubeClone299 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",549.2682,638265837831620118,638265837837112800,"Network Red CubeClone303 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",728.7831,638265837858806293,638265837866094124,"Network Neutral CubeClone308 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",698.2699,638265837883354089,638265837890336788,"Network Gold Cube WholeClone302 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",285.0742,638265837919606415,638265837922457157,"Network Red CubeClone314 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",1293.5567,638265837964254410,638265837977189977,"Network Blue CubeClone317 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",783.2721,638265837991190454,638265837999023175,"Network Neutral CubeClone328 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",943.0517,638265838011693371,638265838021123888,"Network Red CubeClone330 was dropped in DropzonePlaceHolderClone2","Red"
"sdP12","comp",2,"e","place",597.5094,638265838037304818,638265838043279912,"Network Gold Cube WholeClone318 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",609.0206,638265838059035324,638265838065125530,"Network Gold Cube WholeClone339 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",703.6253,638265838080455684,638265838087491937,"Network Gold Cube WholeClone342 was dropped in DropzonePlaceHolderClone3","Gold"
"sdP12","comp",2,"e","place",1297.91,638265838124975195,638265838137954295,"Network Blue CubeClone346 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",1092.2643,638265838162718617,638265838173641260,"Network Neutral CubeClone351 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",539.9736,638265838188646533,638265838194046269,"Network Neutral CubeClone355 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",878.0952,638265838208490368,638265838217271320,"Network Neutral CubeClone357 was dropped in DropzonePlaceHolderClone4","White"
"sdP12","comp",2,"e","place",1288.2893,638265838238322458,638265838251205351,"Network Blue CubeClone360 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",1293.0216,638265838300330558,638265838313260774,"Network Blue CubeClone368 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",593.0308,638265838328970687,638265838334900995,"Network Blue CubeClone370 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",1291.6934,638265838386076277,638265838398993211,"Network Blue CubeClone HB 4_0 was dropped in DropzonePlaceHolderClone5","Blue"
"sdP12","comp",2,"e","place",747.4226,638265838408762588,638265838416236814,"Network Blue CubeClone HB 4_3 was dropped in DropzonePlaceHolderClone1","Blue"
"sdP12","comp",2,"e","place",723.431,638265838460020668,638265838467254978,"Network Blue CubeClone HB 0_4 was dropped in DropzonePlaceHolderClone2","Blue"
"sdP12","comp",2,"e","place",873.3972,638265838497190131,638265838505924103,"Network Blue CubeClone394 was dropped in DropzonePlaceHolderClone1","Blue"
"sdP12","comp",2,"e","place",1226.7471,638265838529410981,638265838541678452,"Network Red CubeClone HB 1_3 was dropped in DropzonePlaceHolderClone1","Red"
"sdP12","comp",2,"e","place",764.8173,638265838572216505,638265838579864678,"Network Gold Cube WholeClone HB 2_3 was dropped in DropzonePlaceHolderClone2","Gold"
"sdP12","comp",2,"e","place",876.5939,638265838596718515,638265838605484454,"Network Neutral CubeClone HB 3_3 was dropped in DropzonePlaceHolderClone3","White"
"sd12","solo",1,"e","grab",408.8336,638265792336732637,638265792340820973,"Regular Blue CubeClone2 was picked up","Blue"
