TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637959112336976060,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337076087,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337176097,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337266115,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337356137,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337446156,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112337536174,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112339746685,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112341187006,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112341297028,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112341407075,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112341517080,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112341637110,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112342297254,P12,tut,1,22,m,,looking at View wall,4.97,5,-9.85,,,
637959112342747355,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112342857381,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112342967409,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343077436,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343177458,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343297488,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343407507,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343507532,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343627559,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
637959112343737581,P12,tut,1,22,m,,looking at Play wall,1.26,11.20539,-0.3032137,,,
