,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
22,P21,NA,m,112.1272615,66.2890625,238.1105769,615.2936198,96.11927083,861.7578125,3095.4375,7383.523438,1441.789063,12,26,15,55609.53125,31304.10156,15084.02344,141884.3104,3511.387153,164062.1914,c,co,581.2210938,521.313101
23,P22,NA,f,82.26003815,38.640625,202.6749321,356.8931108,43.13710938,772.8125,4661.523438,7851.648438,862.7421875,22,43,20,190200.8672,38764.625,17427.55469,136125.9051,2350.398082,131663.3594,c,s,305.7786458,544.6165082
24,P22,NA,f,94.57621017,43.78092448,296.4010417,430.7634943,63.5531851,1050.742188,7113.625,9476.796875,1652.382813,22,48,26,151830.1719,33305.32031,18299.10156,94291.23528,3304.391085,168801.2852,c,co,526.8085938,632.8355824
25,P23,NA,m,128.1271126,44.00892857,444.4517299,400.0092593,44.94419643,924.1875,12444.64844,10800.25,943.828125,27,49,21,155085.8281,20737.42969,12655.6875,54155.83705,3102.516085,96804.46875,c,s,522.334375,321.5672348
26,P23,NA,m,76.22982337,47.90039063,229.1896552,296.5281808,42.83997845,1341.210938,6646.5,8302.789063,1242.359375,28,57,29,58709.125,26976.27344,15390.07031,128922.4582,20389.89219,110295.2383,c,co,410.1059028,510.9665799
27,P24,NA,f,171.6711238,74.33333333,454.3541667,323.853171,66,446,14993.6875,11011.00781,330,34,39,5,133825.9375,22933.97656,6880,61069.175,6041.363839,87771.31641,c,s,330.4414063,484.8503906
28,P24,NA,f,145.4844278,37.5,287.7817708,383.9450684,77.4,225,8633.453125,12286.24219,387,32,36,5,59044.45313,32955.10156,4575.992188,46429.95156,9146.124589,74309.52344,c,co,510.6761364,576.6825521
29,P25,NA,m,54.19633152,54.54296875,171.2380515,271.4621394,79.39425223,1309.03125,2911.046875,3529.007813,2223.039063,13,41,28,37170.75781,34639.49219,33410.24219,184954.377,24303.68025,260480.3516,c,s,503.9231771,653.530231
30,P25,NA,m,63.56498162,92.42931548,193.4719669,302.1338542,43.5,1941.015625,3289.023438,4532.007813,1044,15,38,24,55333.34375,27618.17188,23225.125,157521.8672,5756.540039,140358.9102,c,co,740.1705729,735.4199219
31,P26,NA,f,98.57602796,35.88058036,266.4488636,538.9415923,36.19566761,753.4921875,5861.875,11317.77344,796.3046875,21,43,22,51589.42188,26902.47656,17130.42969,145285.6044,14901.91927,202451.8555,c,s,366.8292411,535.8464543
32,P26,NA,f,71.10195313,36.08221726,156.7304688,348.0881696,55.76970109,757.7265625,3448.070313,7309.851563,1282.703125,21,43,23,58008.36719,35536.30469,11568.28125,96795.30842,2313.449836,106146.4453,c,co,477.5501302,557.5132813
33,P27,NA,f,66.01178552,42.17057292,257.8566028,192.0277778,46.5318287,1012.09375,7993.554688,5184.75,1256.359375,27,55,27,148518.3828,35693.57031,19103.79688,53359.74421,5897.800926,105515.0078,c,s,314.6835938,447.0577714
34,P27,NA,f,97.17075128,51.646875,251.5315505,247.9963942,75.859375,516.46875,6539.820313,6447.90625,682.734375,26,36,9,145936.3516,41252.95313,7246.40625,61083.88368,7209.558984,71028.73828,c,co,555.9832589,504.1754808
35,P28,NA,m,134.0095725,46.9140625,416.967994,325.2197581,48.44363839,703.7109375,12926.00781,10081.8125,678.2109375,31,46,14,148952.2656,27855.22656,7754.226563,34119.25,5061.09654,89675.66797,c,s,429.6440972,385.2564338
36,P28,NA,m,161.9892756,29.90364583,287.611875,411.7846875,122.0976563,89.7109375,7190.296875,10294.61719,244.1953125,25,28,2,152333.6328,37029.875,2204.929688,70392.78906,2185.732515,85056.02344,c,co,533.3783482,379.403125
37,P29,NA,m,220.221875,93.72949219,282.375558,773.2611178,427.2140625,749.8359375,7906.515625,20104.78906,4272.140625,26,36,10,50840.33594,22613.46094,11358.10938,45317.5875,5171.944271,109414.2578,c,s,501.2787388,539.8666295
38,P29,NA,m,155.443109,49.80330882,326.3462171,774.1777344,114.5557292,846.65625,6200.578125,15483.55469,1718.335938,20,36,15,160971.2344,26602.51563,18039.66406,104595.4302,7560.128472,89652.20703,c,co,524.7490809,518.5086806
39,P3,0,m,89.36916076,32.9628125,260.9303668,404.5830078,33.42317708,824.0703125,6001.398438,9709.992188,802.15625,24,48,24,60234.875,31430.78125,10335.9375,95355.91406,10039.78086,143099.3281,e,s,446.1019,383.5365
40,P3,0,m,76.76875965,39.25878906,209.8988971,406.2238051,44.35835598,942.2109375,3568.28125,6905.804688,1020.242188,17,41,23,245988.0313,44935.03906,15408.52344,133701.7894,20836.46615,150967.0273,e,co,572.7558,446.2589
41,P30,18,f,73.89203559,44.60742188,245.4202474,274.4225,70.03655134,1249.007813,5890.085938,6860.5625,1961.023438,25,52,28,46286.23438,20108.24219,19547.29688,97415.2394,2135.125355,124843.8906,c,s,423.4428711,564.2536272
42,P30,18,f,59.11036184,62.5546875,206.6445313,201.5254934,128.181108,1688.976563,2893.023438,3828.984375,2819.984375,19,41,22,158863.2422,21475.96875,21140.98438,99923.87038,2315.611178,97388.09375,c,co,452.3769531,347.0813802
43,P4,NA,m,214.872932,39.0078125,510.3166667,417.4091797,200.046875,78.015625,7654.75,6678.546875,200.046875,16,17,1,30848.60938,12671.05469,593.125,0,2820.442188,81668.72656,e,s,396.5836397,327.7791193
44,P4,NA,m,130.888832,92.48197115,374.4722222,397.9162326,71.93164063,1202.265625,6740.5,7162.492188,863.1796875,18,31,12,405496.6406,27505.91406,6954.5625,205116.2741,51277.86328,227649.0859,e,co,549.3920455,391.875558
45,P5,NA,m,55.22602261,45.61119792,194.5261315,152.1757813,58.84078664,1368.335938,5641.257813,4869.625,1706.382813,32,59,29,50959.60156,33049.35156,19530.75,130686.4348,11089.85666,132514.0781,c,s,326.9414063,450.2890625
46,P5,NA,m,64.62858409,46.34407552,237.3410326,190.2815897,66.26529948,1112.257813,5458.84375,4376.476563,1590.367188,23,47,24,171151.6172,46181.26563,16649.29688,107585.4137,2339.761068,105865.2539,c,co,233.0535714,437.6037946
47,P6,NA,m,119.4657702,30.3265625,368.5709375,342.0883789,59.51311384,758.1640625,18428.54688,16420.24219,1666.367188,48,75,28,86053.49219,32693.00781,20729.66406,76241.73996,8208.787446,225530.457,e,s,410.2575758,436.9715909
48,P6,NA,m,111.6314338,42.01302083,221.5518973,261.8052083,218.046875,126.0390625,3101.726563,3927.078125,436.09375,15,17,2,28601.27344,22086.77344,1157.953125,12799.75,1563.069602,4.29046E+14,e,co,436.1398026,434.8678125
49,P7,26,f,142.9706641,61.30022321,371.6159157,267.192294,71.51432292,429.1015625,15979.48438,11756.46094,429.0859375,44,50,6,139750.2656,25407.28125,2967.671875,73673.10677,1374.823206,74811.39453,e,s,276.3525391,313.871875
50,P7,26,f,89.36983367,97.39550781,210.9011549,218.039388,31.2890625,779.1640625,4850.726563,5232.945313,219.0234375,24,31,7,188900.9141,51241.125,3591.726563,66576.35379,2022.170759,119354.75,e,co,596.2265625,526.665483
51,P8,18,m,196.7714428,42.0078125,432.0766602,607.4494792,266.9355469,336.0625,6913.226563,9111.742188,2135.484375,15,24,8,177016.5391,8197.34375,5203.257813,47428.00879,18893.27344,92594.94922,e,s,425.5080819,341.1828926
52,P8,18,m,160.9429431,192.7939453,316.9261364,477.643821,76.51855469,1542.351563,6972.375,10508.16406,612.1484375,22,30,8,75973.71094,17723.64844,3727.835938,107146.1055,5907.555398,69118.20703,e,co,479.1500822,422.2440104
53,P9,NA,f,108.7193939,60.01302083,273.1631098,195.3372396,67.6796875,180.0390625,11199.6875,8204.164063,203.0390625,42,44,3,55173.42969,42096.42188,2206.5,54408.48698,3001.227273,75886.46875,c,s,512.3464355,454.490579
54,P9,NA,f,112.2618202,411.2591146,218.1225586,211.2851563,164.2871094,2467.554688,6979.921875,7183.695313,657.1484375,34,38,4,128076.8203,40414,4019,41811.72656,1858.189815,66035.77344,c,co,548.294375,488.7061942
