,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition
38,P29,NA,m,1398.231534,1012.974121,1507.411595,2195.105859,1350.950335,16207.58594,28640.82031,43902.11719,18913.30469,20,35,14,160971.2344,26602.51563,18039.66406,100079.1948,33080.98307,89652.20703,c,co
39,P3,0,m,1225.363688,440.4947917,1612.616848,1959.523763,956.0117188,10571.875,37090.1875,47028.57031,22944.28125,24,47,24,60234.875,31430.78125,10335.9375,95355.91406,20660.93963,143099.3281,e,s
40,P3,0,m,1422.305469,633.6667799,2853.136489,1655.176471,1025.853693,14574.33594,48503.32031,28138,22568.78125,17,40,22,245988.0313,44935.03906,15408.52344,128353.2234,38211.45759,150967.0273,e,co
41,P30,18,f,916.7870181,661.4097222,1048.888672,1298.554063,807.1774554,17858.0625,25173.32813,32463.85156,22600.96875,25,51,28,46286.23438,20108.24219,19547.29688,97415.2394,15362.40805,124843.8906,c,s
42,P30,18,f,885.6687168,711.5369591,1234.357701,1328.261924,1058.805432,18499.96094,17281.00781,25236.97656,22234.91406,19,40,21,158863.2422,21475.96875,21140.98438,97013.42336,5868.990234,97388.09375,c,co
43,P4,NA,m,1727.083807,305.0625,1301.441667,2162.1875,2572.078125,305.0625,19521.625,34595,2572.078125,16,16,1,30848.60938,12671.05469,593.125,0,7543.789063,81668.72656,e,s
44,P4,NA,m,1887.947656,664.9824219,1902.578559,2768.882378,1928.252131,7979.789063,34246.41406,49839.88281,21210.77344,18,30,11,405496.6406,27505.91406,6954.5625,190668.3736,69997.88672,227649.0859,e,co
45,P5,NA,m,934.8247951,682.9997396,1260.694504,1051.332031,834.1381138,20489.99219,36560.14063,33642.625,23355.86719,32,59,28,50959.60156,33049.35156,19530.75,132802.2372,18217.10885,132514.0781,c,s
46,P5,NA,m,1131.45752,628.861413,2082.228601,1232.172894,779.3423913,14463.8125,47891.25781,28339.97656,17924.875,23,46,23,171151.6172,46181.26563,16649.29688,104148.1885,6171.075893,105865.2539,c,co
47,P6,NA,m,1080.215323,535.4944661,1012.808906,1557.499837,1042.181083,12851.86719,50640.44531,74759.99219,29181.07031,48,74,28,86053.49219,32693.00781,20729.66406,76241.73996,16075.146,225530.457,e,s
48,P6,NA,m,1738.46875,422.4453125,1695.583705,1957.242708,1713.882813,844.890625,23738.17188,29358.64063,3427.765625,15,16,2,28601.27344,22086.77344,1157.953125,12799.75,6820.904948,4.29046E+14,e,co
49,P7,26,f,1178.129577,434.4322917,952.0158067,1486.80593,1534.41875,2606.59375,40936.67969,65419.46094,7672.09375,44,49,5,139750.2656,25407.28125,2967.671875,61936.75313,13062.07227,74811.39453,e,s
50,P7,26,f,1737.710809,539.9642857,2003.960582,2063.979818,1432.99349,3779.75,44087.13281,49535.51563,8597.960938,24,29,6,188900.9141,51241.125,3591.726563,45687.87109,8984.551758,119354.75,e,co
51,P8,18,m,1814.167799,692.4150391,987.2333333,3576.575893,1861.690848,5539.320313,14808.5,50072.0625,13031.83594,14,23,7,177016.5391,8197.34375,5203.257813,34370.73884,43838.62695,92594.94922,e,s
52,P8,18,m,1754.371354,658.7734375,1092.371652,2705.150568,2192.37207,5270.1875,22939.80469,59513.3125,17538.97656,22,29,8,75973.71094,17723.64844,3727.835938,107146.1055,10491.16406,69118.20703,e,co
53,P9,NA,f,1302.520313,694.15625,1280.022675,1440.879836,946.8776042,1388.3125,52480.92969,60516.95313,2840.632813,42,43,3,55173.42969,42096.42188,2206.5,54408.48698,8258.923438,75886.46875,c,s
54,P9,NA,f,1482.125925,1173.884375,1377.817871,1756.807904,983.5026042,5869.421875,44090.17188,59731.46875,2950.507813,34,37,3,128076.8203,40414,4019,12547.42708,5677.165179,66035.77344,c,co
