,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgSoloGameTime,avgCoGameTime,avgCombinedGameTime,group,condition
49,P7,26,f,1632.013231,434.4296875,990.7141462,1425.512137,2606.578125,55479.99219,79828.67969,64454.39063,56,62,6,129022.7734,35857.625,2967.648438,73673.10938,5561.436035,149622.7813,238709.4922,266152.8203,e,s
50,P7,26,f,2826.125651,638.0017361,3978.331597,2445.274132,5742.015625,179024.9219,110037.3359,10417.29688,45,54,9,106376.3906,95893.35938,5485.9375,69311.09028,9780.192708,149622.7813,238709.4922,266152.8203,e,co
25,P23,29,m,1580.955,626.0760216,1285.868001,1569.456217,16277.97656,61721.66406,75333.89844,83809.71094,48,74,27,141769.7344,42802.11719,16675.91406,58853.36487,5382.428125,193608.9453,220590.4688,291921.4766,c,s
26,P23,29,m,1259.789813,597.9187769,1234.29827,1283.821449,34679.28906,69120.70313,70610.17969,114081.6953,55,114,59,171411.1875,59949.71094,32729.92188,130097.7165,13246.39648,193608.9453,220590.4688,291921.4766,c,co
31,P26,25,f,1518.923566,614.8162716,2667.611607,1889.764339,35659.34375,224079.375,149291.3828,54241.58594,79,142,64,166034.0703,125290.1406,43866.79688,212371.0751,9731.182492,404903.7188,212292.8906,510078.3359,c,s
32,P26,25,f,2029.674166,540.055,3574.560497,2389.514323,13501.375,139407.8594,86022.51563,31014.91406,36,64,29,101329.1797,67189.88281,16400.5,104825.2239,10854.82682,404903.7188,212292.8906,510078.3359,c,co
45,P5,28,m,1400.092126,626.0815972,1318.881727,1197.907878,33808.40625,94959.48438,86249.36719,142006.2344,72,126,53,208741.5078,79687.98438,32364.16406,137102.3682,7126.486328,265028.1484,211730.5,386765.1406,c,s
46,P5,28,m,1830.56449,629.2471591,3934.696875,1516.277699,20765.15625,177061.3594,66716.21875,30178.14844,44,78,35,85782.14844,75479.89063,23103.70313,158049.9283,7383.606585,265028.1484,211730.5,386765.1406,c,co
15,P19,30,f,1697.314694,701.9390625,1085.128819,1783.329953,17548.47656,48830.79688,83816.50781,97612.16406,47,70,24,159826.2031,35321.01563,15943.48438,94415.35319,11247.45703,188879.6016,208254.2188,284686.2188,c,s
16,P19,30,f,1412.233752,729.4149709,1019.570313,1678.877604,31364.84375,23450.11719,60439.59375,114939.5469,36,66,30,75489.71875,57678.64844,33920.92188,139211.6393,11935.19609,188879.6016,208254.2188,284686.2188,c,co
13,P18,31,f,1091.933557,537.8952324,995.4899364,1874.109488,20977.91406,58733.90625,129313.5547,20280.67188,69,98,30,89844.10156,51521.89063,20705.02344,66739.53281,4517.412946,205375.4609,203519.5078,312062.5859,c,s
14,P18,31,f,1889.388583,488.0525174,4484.293308,1433.9309,17569.89063,206277.4922,83167.99219,25517.01563,58,82,24,91920.36719,56121.16406,16678.66406,230069.8242,14371.45052,205375.4609,203519.5078,312062.5859,c,co
1,P10,18,f,1436.868804,706.3441723,2070.096061,1841.588013,26134.73438,146976.8203,117861.6328,42380.375,64,108,44,138739.1875,138120.6328,33494.21094,154805.6783,7040.699777,319739.8828,197903.5313,409435.0859,e,s
2,P10,18,f,2675.113575,665.13125,3976.023208,2308.83428,6651.3125,135184.7891,76191.53125,30757.92969,33,44,12,94092.16406,129775.875,9922.039063,62096.19271,7548.895996,319739.8828,197903.5313,409435.0859,e,co
41,P30,18,f,1156.351288,696.4098136,1130.431282,1440.471591,39695.35938,55391.13281,79225.9375,89335.66406,55,106,52,149766.9297,50964.02344,41219.59375,114077.2366,8186.320625,249687.7813,194776.1797,346476.1094,c,s
42,P30,18,f,1507.150457,732.1899182,5106.617578,1532.515086,30751.97656,102132.3516,44442.9375,44223.85156,29,62,33,84078.80469,36847.88281,33299.99219,113373.0613,12266.44076,249687.7813,194776.1797,346476.1094,c,co
37,P29,26,m,1972.643845,958.1490885,2314.561719,2207.20818,11497.78906,115728.0859,112567.6172,18622.85156,51,62,12,89020.61719,47570.47656,15265.58594,47641.17188,11465.85417,218828.5078,179304.4063,312108.0547,c,s
