,Participant,Age,Gender,avgTotalTransferTime,avgView2Play,avgBuild2Play,avgPlay2Build,totalView2Play,totalBuild2Play,totalPlay2Build,totalPlay2View,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
35,P28,20,m,1825.881601,544.5073785,1370.889436,1659.658078,9801.132813,63060.91406,78003.92969,84672.75,47,64,18,146727.6406,42674.96875,9885.9375,59079.82639,8536.151042,89675.67969,c,s,419.8641183,380.1449653
36,P28,20,m,3558.518612,958.4453125,4112.540283,3362.355469,1916.890625,131601.2891,107595.375,865.7109375,32,34,2,97364.98438,44484.25781,2204.929688,70392.78516,14318.40513,85056.02344,c,co,525.3449519,442.3429688
37,P29,26,m,1972.643845,958.1490885,2314.561719,2207.20818,11497.78906,115728.0859,112567.6172,18622.85156,51,62,12,89020.61719,47570.47656,15265.58594,47641.17188,11465.85417,109414.2539,c,s,471.4185697,522.8605114
38,P29,26,m,2203.12493,911.9166667,4837.574498,2116.119792,19150.25,135452.0859,69831.95313,20112.57813,33,49,17,69492.84375,49392.33594,21671.3125,110370.0248,22516.64844,89652.20313,c,co,554.5524554,494.2333984
41,P30,18,f,1156.351288,696.4098136,1130.431282,1440.471591,39695.35938,55391.13281,79225.9375,89335.66406,55,106,52,149766.9297,50964.02344,41219.59375,114077.2366,8186.320625,124843.8906,c,s,424.8929398,503.9753224
42,P30,18,f,1507.150457,732.1899182,5106.617578,1532.515086,30751.97656,102132.3516,44442.9375,44223.85156,29,62,33,84078.80469,36847.88281,33299.99219,113373.0613,12266.44076,97388.08984,c,co,425.5408654,589.043679
39,P3,0,m,1509.709446,542.2010938,1594.042969,1822.831641,27110.05469,95642.57813,109369.8984,100013.5469,60,110,50,184272,79337.92188,25581.00781,129202.7459,8434.902065,143099.3281,e,s,423.5216,445.0476
40,P3,0,m,1729.450135,674.2524802,2210.9758,2123.282552,42477.90625,90650.00781,89177.86719,139149.2969,42,104,62,211687.0313,83337.29688,39683.54688,174785.0446,15878.13401,150967.0313,e,co,680.381,494.1995
43,P4,22,m,1703.609375,305.0625,1267.273438,2165.1875,305.0625,26612.74219,45468.9375,2572.070313,21,22,1,41428.57813,15120.65625,593.140625,115438.5982,8000.876302,81668.72656,e,s,373.8733724,348.1640625
44,P4,23,m,4840.327273,655.7816612,11100.45201,2914.339063,12459.85156,388515.8203,102001.8672,29458.46094,35,54,20,119075.8516,64039.70313,10312.33594,261915.3301,15083.04427,227649.0898,e,co,856.7519985,386.6805556
45,P5,28,m,1400.092126,626.0815972,1318.881727,1197.907878,33808.40625,94959.48438,86249.36719,142006.2344,72,126,53,208741.5078,79687.98438,32364.16406,137102.3682,7126.486328,132514.0742,c,s,374.1870888,431.6891325
46,P5,28,m,1830.56449,629.2471591,3934.696875,1516.277699,20765.15625,177061.3594,66716.21875,30178.14844,44,78,35,85782.14844,75479.89063,23103.70313,158049.9283,7383.606585,105865.25,c,co,950.7481971,471.0694111
47,P6,23,m,2326.681179,410.9677734,925.2494905,1618.219638,3287.742188,42561.47656,71201.66406,138884.0469,44,54,10,193528.4453,24515.02344,4685.023438,51441.57969,15433.52121,68905.78516,e,s,407.0730903,423.0402344
48,P6,23,m,2890.932684,425.7734375,1805.866943,2388.837595,1703.09375,57787.74219,78831.64063,72715.60938,33,36,4,142906.0938,50772.65625,1817.117188,60567.42969,12558.7433,74047.83203,e,co,463.5504261,442.4747396
49,P7,26,f,1632.013231,434.4296875,990.7141462,1425.512137,2606.578125,55479.99219,79828.67969,64454.39063,56,62,6,129022.7734,35857.625,2967.648438,73673.10938,5561.436035,74811.39063,e,s,261.1572917,318.6638849
50,P7,26,f,2826.125651,638.0017361,3978.331597,2445.274132,5742.015625,179024.9219,110037.3359,10417.29688,45,54,9,106376.3906,95893.35938,5485.9375,69311.09028,9780.192708,119354.7461,e,co,890.6559245,479.3097656
51,P8,18,m,2954.620477,706.5340909,896.3217593,4118.744792,7771.875,24200.6875,111206.1094,81372.48438,27,38,11,181529.2422,12612.38281,7302.75,52021.40199,26833.06027,92594.95703,e,s,534.4641263,433.3654186
52,P8,18,m,3088.990555,658.7724609,1104.414063,6020.878906,5270.179688,27610.35156,156542.8516,17538.98438,26,33,8,168966.6016,19511.88281,3727.84375,107146.1055,21235.71289,69118.20703,e,co,550.1651401,492.3820801
53,P9,25,f,1789.926887,694.15625,2109.069688,1629.566964,1388.3125,105453.4844,79848.78125,3041.671875,49,52,4,73249.98438,48289.82031,2720.632813,88031.38086,5512.306743,75886.47656,c,s,440.6578585,346.8748302
54,P9,25,f,2444.990132,1173.879688,1377.818115,1756.808364,5869.398438,44090.17969,59731.48438,76128.1875,34,37,4,128076.8359,40414.03906,4019.007813,41811.7207,5677.164621,66035.76953,c,co,479.1492599,422.2460938
