Time,Participant,Age,Sex,Handedness,Task,Group,Condition,Trial,Event,CurrentGazeTarget,CurrentGazeArea,EyePos_X,EyePos_Y,EyePos_Z,LookingAtObj,HeadPos_X,HeadPos_Y,HeadPos_Z,HeadRot_X,HeadRot_Y,HeadRot_Z,HandPos_X,HandPos_Y,HandPos_Z,HandRot_X,HandRot_Y,HandRot_Z,RayCast_StartPos_X,RayCast_StartPos_Y,RayCast_StartPos_Z,RayCast_EndPos_X,RayCast_EndPos_Y,RayCast_EndPos_Z,Partner_HeadPos_X,Partner_HeadPos_Y,Partner_HeadPos_Z,Partner_HeadRot_X,Partner_HeadRot_Y,Partner_HeadRot_Z,Partner_HandPos_X,Partner_HandPos_Y,Partner_HandPos_Z,Partner_HandRot_X,Partner_HandRot_Y,Partner_HandRot_Z,Partner_RayCast_StartPos_X,Partner_RayCast_StartPos_Y,Partner_RayCast_StartPos_Z,Partner_RayCast_EndPos_X,Partner_RayCast_EndPos_Y,Partner_RayCast_EndPos_Z,RightPupil,LeftPupil,,
6.38255E+17,,,,Right,Loom,,comp,1,Drop Hit Boxwas placed in dropzone,,none,0,0,0,5.962922,-5.259312,-23.70197,-10.06185,8.544876,-0.4167564,0.06663074,0.9848009,-0.09828754,-10.45027,8.402819,-0.7763762,0.7679439,0.6335948,0.00392586,-10.45027,8.402819,-0.7763762,6.966804,,-10.59526,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)34was placed in dropzone,,none,0,0,0,5.268546,-5.553422,-23.7992,-10.06851,8.542948,-0.4199893,0.06437635,0.9857535,-0.1053786,-10.48241,8.400479,-0.7706305,0.7631941,0.6412178,-0.01818898,-10.48241,8.400479,-0.7706305,7.010849,,-10.64568,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)34 was dropped in DropzonePlaceHolder(Clone)3 by P2,,none,0,0,0,5.31691,-5.863739,-23.71386,-10.07118,8.540743,-0.4245468,0.05788575,0.9852303,-0.1129737,-10.49986,8.391368,-0.7712381,0.7563127,0.649606,-0.02204359,-10.49986,8.391408,-0.7713001,6.984827,,-10.65161,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)34 was dropped in DropzonePlaceHolder(Clone)3,,none,0,0,0,5.31691,-5.863739,-23.71386,-10.07118,8.540743,-0.4245468,0.05788575,0.9852303,-0.1129737,-10.49986,8.391368,-0.7712381,0.7563127,0.649606,-0.02204359,-10.49986,8.391408,-0.7713001,6.984827,,-10.65161,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44 was picked up,,none,0,0,0,11.2342,-6.702729,-21.30413,-10.04828,8.531136,-0.3701192,-0.02319187,0.9627699,-0.1445446,-10.31356,8.344324,-0.6467607,0.5501161,0.644037,0.1500107,-10.31518,8.344295,-0.6466163,4.615895,,-4.951356,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44 was picked up by P2,,none,0,0,0,11.2342,-6.702729,-21.30413,-10.04828,8.531136,-0.3701192,-0.02319187,0.9627699,-0.1445446,-10.31356,8.344324,-0.6467607,0.5501161,0.644037,0.1500107,-10.31518,8.344295,-0.6466163,4.615895,,-4.951356,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44 was picked up by P2,,none,0,0,0,11.2342,-6.702729,-21.30413,-10.04828,8.531136,-0.3701192,-0.02319187,0.9627699,-0.1445446,-10.31356,8.344324,-0.6467607,0.5501161,0.644037,0.1500107,-10.31518,8.344295,-0.6466163,4.615895,,-4.951356,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44was placed in dropzone,,none,0,0,0,5.871652,-6.484392,-23.41957,-10.06929,8.538363,-0.377583,0.01817513,0.9839115,-0.1295561,-10.48348,8.422338,-0.6942159,0.7582921,0.6445421,0.008967996,-10.48348,8.422338,-0.6942159,7.056961,,-10.50215,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Drop Hit Boxwas placed in dropzone,,none,0,0,0,5.86287,-6.469271,-23.42595,-10.06914,8.538485,-0.3778429,0.01822699,0.9839631,-0.1293259,-10.48451,8.422598,-0.6946731,0.7590393,0.643859,0.007401019,-10.48451,8.422598,-0.6946731,7.068666,,-10.51077,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
6.38255E+17,,,,Right,Loom,,comp,1,Network Blue Cube(Clone)44was placed in dropzone,,none,0,0,0,5.123742,-5.64272,-23.80981,-10.06644,8.541199,-0.4378827,0.06972504,0.9855524,-0.1067758,-10.48076,8.39245,-0.8241713,0.758412,0.6431148,0.008321881,-10.48076,8.39245,-0.8241713,6.952096,,-10.60443,12.08001,5.57,-7.63E-06,0,0.9037399,0,12.08001,5.57,0,0.9037399,0,-7.63E-06,12.08001,5.57,-7.63E-06,4.342511,5.57,-6.334922,0,0
