,Participant,Condition,Trial,grabPACcount,placePACcount,avgGrabPAC,avgPlacePAC,grabAreaPACcount,placeAreaPACcount,avgGrabAreaPAC,avgPlaceAreaPAC
74,sdP7,solo,1,67,28,416.0629239,875.9324321,67,68,830.0942343,343.8417779
75,sdP7,solo,2,74,31,307.3976405,743.6357839,86,74,774.1291756,328.5485378
76,sdP7,co,1,26,11,326.2691077,774.7600273,31,28,902.3390484,361.1951321
77,sdP7,comp,1,61,50,270.263659,1144.960058,82,80,658.3870829,271.6520838
78,sdP7,comp,2,54,39,272.0784074,944.9343179,81,73,820.5731012,307.8163164
79,sdP8,comp,2,58,58,309.5237862,1132.290529,81,78,611.2013148,397.0455
80,sdP8,solo,1,80,49,375.8950025,842.2720061,75,74,780.595668,381.4244743
81,sdP8,solo,2,76,40,410.5033868,840.43124,75,61,783.9111027,421.0311082
82,sdP8,co,1,33,24,271.0239424,653.5734917,37,31,676.5118162,525.4398968
83,sdP8,co,2,24,23,317.107475,613.5489217,28,28,617.40625,504.0055179
84,sdP8,comp,1,55,55,334.7417909,907.1204164,83,76,551.1780867,307.0414421
85,sdP9,comp,2,47,52,289.4763277,1035.656019,93,87,639.8520957,287.3358483
86,sdP9,solo,1,66,42,321.0426303,937.4567762,66,58,670.2866515,395.9912103
87,sdP9,solo,2,63,45,335.7867667,777.4918422,71,63,740.4928366,368.5352032
88,sdP9,co,1,25,17,219.890692,525.5845824,28,26,785.5964679,351.2495654
89,sdP9,co,2,27,12,318.6368593,494.2653667,28,29,739.5198964,381.9511966
90,sdP9,comp,1,46,44,345.64655,1042.553743,76,63,713.1456184,306.1493175
