"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"sdP1","comp",1,"e",753.300970048309,280.902177142857,860.495965137615,28.5212,207,35,109,1,1559333008,98315762,937940602,285212
"sd10","comp",2,"e",848.606098648649,353.9246,579.037411940299,21.9252666666667,148,16,134,3,1255937026,56627936,775910132,657758
"sd10","solo",1,"e",926.41266,802.3814,1478.85358723404,NA,130,18,94,0,1204336458,144428652,1390122372,0
"sd10","solo",2,"e",953.844616901408,509.400031818182,1156.4627364486,NA,142,22,107,0,1354459356,112068007,1237415128,0
"sd10","co",1,"e",1240.85164603175,606.607488888889,1121.32149255319,120.537083333333,126,9,94,6,1563473074,54594674,1054042203,7232225
"sd10","co",2,"e",1246.24960588235,476.256536363636,1289.05631648352,25.1691333333333,119,11,91,3,1483037031,52388219,1173041248,755074
"sd10","comp",1,"1",757.000281313131,520.1563,764.340299300699,90.26716,198,7,143,5,1498860557,36410941,1093006628,4513358
"sdP11","comp",2,"e",906.466754716981,481.625297058823,1032.64797708333,185.4802,159,34,96,1,1441282140,163752601,991342058,1854802
"sdP11","solo",1,"e",1017.34665588235,667.893167647059,1064.23253033708,NA,136,34,89,0,1383591452,227083677,947166952,0
"sdP11","solo",2,"e",887.916290196078,624.530769444444,1003.68411290323,NA,153,36,93,0,1358511924,224831077,933426225,0
"sdP11","co",2,"e",675.42742565445,290.440983908046,1417.50625645161,128.751911111111,191,87,62,9,1290066383,252683656,878853879,11587672
"sdP11","co",1,"e",863.245382285714,263.20694,1323.121715625,68.9514076923077,175,50,64,13,1510679419,131603470,846797898,8963683
"sdP11","comp",1,"e",877.542750649351,431.432431707317,1073.14494148936,110.3283,154,41,94,2,1351415836,176887297,1008756245,2206566
"sdP12","comp",2,"e",693.138502654867,373.294072340426,1630.77010485437,303.0668,113,47,103,1,783246508,175448214,1679693208,3030668
"sd12","solo",1,"e",861.697874842767,339.403685106383,800.382464705882,NA,159,47,136,0,1370099621,159519732,1088520152,0
"sdP12","solo",2,"e",812.70140479452,439.580766666667,997.933534513274,NA,146,54,113,0,1186544051,237373614,1127664894,0
"sdP12","co",1,"e",1294.77895897436,420.660734375,1438.88098644068,152.314944444444,117,32,59,9,1514891382,134611435,848939782,13708345
"sd12","co",2,"e",1354.4032352381,262.161225531915,1513.74142933333,45.505725,105,47,75,4,1422123397,123215776,1135306072,1820229
