"","TimeEpoch","condition","Participant","MeanPercent","MeanPupilSize"
"1",-2,"co","P2",17.3145601057219,3.68395046761364
"2",-2,"co","P3",4.38469695785558,5.68803755028646
"3",-2,"co","P4",6.78012358271194,3.92578170997475
"4",-2,"co","P5",1.8012658421086,3.16671970598606
"5",-2,"co","P6",11.4133370738149,4.89753048344017
"6",-2,"co","P7",5.34966706737483,3.85610605723497
"7",-2,"co","P9",9.71039633227775,4.34235253044733
"8",-2,"co","sd10",3.80286717974101,3.28880219560169
"9",-2,"co","sd12",5.22399844525666,3.44471423371212
"10",-2,"co","sdP1",1.97186687613708,3.9015405327381
"11",-2,"co","sdP11",4.6960956324345,3.71870634250992
"12",-2,"co","sdP12",4.14246485882273,3.36945744736842
"13",-2,"co","sdP13",5.20287511668768,3.8229473020202
"14",-2,"co","sdP14",5.13265629458964,3.91807494244186
"15",-2,"co","sdP15",6.16486698461293,5.13385653837229
"16",-2,"co","sdP2",7.4568879050244,5.77716530361991
"17",-2,"co","sdP3",9.55533447663436,3.18665370918561
"18",-2,"co","sdP4",3.06350282501453,5.42131706629464
"19",-2,"co","sdP5",6.13604339309231,4.2838860478737
"20",-2,"co","sdP7",9.59424312334351,4.39127483642473
"21",-2,"co","sdP8",8.13242116109081,4.20152155737045
"22",-2,"co","sdP9",4.06506985572755,3.6888949964951
"23",-2,"co",NA,1.19273375008403,2.50907383333333
"24",-2,"comp","P2",15.875817195803,3.76877673271938
"25",-2,"comp","P3",15.9120358798993,5.69269594860715
"26",-2,"comp","P4",3.80341778508875,4.00078400728005
"27",-2,"comp","P5",0.54742298182625,3.18404650555556
"28",-2,"comp","P6",11.6392891511471,5.13687600048895
"29",-2,"comp","P7",5.8470233030282,3.93917911515152
"30",-2,"comp","P9",4.33345058014434,4.26912203831286
"31",-2,"comp","Py",1.6835135670035,3.92668711393678
"32",-2,"comp","sd10",0.900335061500806,3.35656611087012
"33",-2,"comp","sdP1",5.16214821149533,4.08936073179459
"34",-2,"comp","sdP11",5.14197815969216,3.44669403348039
"35",-2,"comp","sdP12",2.51390150194346,3.66220335504726
"36",-2,"comp","sdP13",5.48091750151321,3.87474607444539
"37",-2,"comp","sdP14",2.44803719140721,3.5731421664916
"38",-2,"comp","sdP15",6.534778759814,5.03899931704092
"39",-2,"comp","sdP2",4.9824790574916,5.6239248881698
"40",-2,"comp","sdP3",10.8509876230759,3.18849524973391
"41",-2,"comp","sdP4",3.43374575615387,5.3743639404095
"42",-2,"comp","sdP5",3.65385404801681,4.32641497210325
"43",-2,"comp","sdP7",6.57326354854762,4.11109617486342
"44",-2,"comp","sdP8",2.41204150965344,4.22839216374805
"45",-2,"comp","sdP9",4.98726473566551,3.62500056388052
"46",-2,"solo","P2",2.87510748533646,3.6241495608715
"47",-2,"solo","P3",3.6108616603887,5.74780710777056
"48",-2,"solo","P4",6.04446241830085,4.15878536772887
"49",-2,"solo","P5",10.4120890936263,3.08507430551587
"50",-2,"solo","P6",3.32276997410814,4.88387355448418
"51",-2,"solo","P7",7.70100371220922,4.03974924231225
"52",-2,"solo","P9",3.87412606821249,4.52906161614286
"53",-2,"solo","sd10",4.81259978317533,3.39013604521177
"54",-2,"solo","sd12",4.3644109071099,3.54753363668385
"55",-2,"solo","sdP1",6.39977162887029,4.11942151464761
"56",-2,"solo","sdP11",4.2448407000714,3.78297810212782
"57",-2,"solo","sdP12",4.12942998628425,3.63314775703463
"58",-2,"solo","sdP13",5.45344699696565,3.99263081200698
"59",-2,"solo","sdP14",4.22182861791626,3.89015804641533
"60",-2,"solo","sdP15",6.18728370758242,5.16426427525985
"61",-2,"solo","sdP2",4.34940931659179,5.68524853607504
"62",-2,"solo","sdP3",16.2659025289179,3.35384051023284
"63",-2,"solo","sdP4",5.34417042760821,5.64527879888981
"64",-2,"solo","sdP5",4.36411023602678,4.25106229263383
"65",-2,"solo","sdP7",8.49994309855931,4.45242397563849
"66",-2,"solo","sdP8",3.99967442189353,4.17704855179548
"67",-2,"solo","sdP9",3.67036241690782,3.63849952493004
"68",-1.9,"co","P2",17.890102439574,3.68779385297188
"69",-1.9,"co","P3",3.84643690216847,5.66496944351128
"70",-1.9,"co","P4",6.77334634831422,3.94537074916281
"71",-1.9,"co","P5",1.88870950096225,3.17665733013037
"72",-1.9,"co","P6",12.1254341540622,4.92915782076441
"73",-1.9,"co","P7",5.19426353122881,3.85169406636551
"74",-1.9,"co","P9",9.70981673040048,4.31889390294063
"75",-1.9,"co","sd10",4.44428222923434,3.3035300333985
"76",-1.9,"co","sd12",6.13021636586437,3.45443780440642
"77",-1.9,"co","sdP1",2.75653662825536,3.91335364648589
"78",-1.9,"co","sdP11",7.73352499467386,3.81802108220487
"79",-1.9,"co","sdP12",5.04736850517527,3.39172244156746
"80",-1.9,"co","sdP13",4.77156271136925,3.81143311149335
"81",-1.9,"co","sdP14",5.49070395425815,3.925465419624
"82",-1.9,"co","sdP15",6.39462032419959,5.12767982674885
"83",-1.9,"co","sdP2",7.47800076230276,5.78030506206589
"84",-1.9,"co","sdP3",9.96538824397688,3.20182759467014
"85",-1.9,"co","sdP4",3.54068284504689,5.45424136345403
"86",-1.9,"co","sdP5",6.54158040934059,4.31275893370939
"87",-1.9,"co","sdP7",9.67910158282229,4.39076215100521
"88",-1.9,"co","sdP8",7.5412209483637,4.18347801502755
"89",-1.9,"co","sdP9",3.80958966175637,3.69339082117842
"90",-1.9,"co",NA,2.46805406247268,2.35802766071429
"91",-1.9,"comp","P2",16.2894689665611,3.77536645132786
"92",-1.9,"comp","P3",14.3471471563673,5.66268743732476
"93",-1.9,"comp","P4",3.74995735880817,3.99936746408671
"94",-1.9,"comp","P5",0.622036138841811,3.18487585474557
"95",-1.9,"comp","P6",11.665035039254,5.1406648557918
"96",-1.9,"comp","P7",5.70008584703794,3.95198981070553
"97",-1.9,"comp","P9",4.42937779470243,4.26554515313585
"98",-1.9,"comp","Py",1.67701689194046,3.9187609160743
"99",-1.9,"comp","sd10",1.39601094654063,3.36824310063412
"100",-1.9,"comp","sdP1",5.21083023477106,4.10228579092478
"101",-1.9,"comp","sdP11",5.74492978249946,3.46070380676529
"102",-1.9,"comp","sdP12",2.52932255955544,3.65520160815234
"103",-1.9,"comp","sdP13",5.57124382618168,3.88440658572477
"104",-1.9,"comp","sdP14",2.87909582924333,3.58157500091634
"105",-1.9,"comp","sdP15",6.86540651252538,5.05539771762169
"106",-1.9,"comp","sdP2",5.25175824030413,5.63339656869602
"107",-1.9,"comp","sdP3",11.0878020542962,3.18732406783508
"108",-1.9,"comp","sdP4",3.19460156214001,5.36929692346996
"109",-1.9,"comp","sdP5",4.01458916934231,4.33110925902853
"110",-1.9,"comp","sdP7",7.38152693537507,4.14488890210297
"111",-1.9,"comp","sdP8",2.48987436441402,4.23517623046247
"112",-1.9,"comp","sdP9",5.25613354118089,3.64054724888488
