"TimeEpoch","MeanPercentChange","Meanpupil","condition","group","Participant"
-2,34.790951296914,5.69747671110589,"comp","e","P3"
-1.9,33.5191439170421,5.69449831996956,"comp","e","P3"
-1.8,33.2489153212194,5.71196678900207,"comp","e","P3"
-1.7,33.5967251559508,5.68391820575628,"comp","e","P3"
-1.6,32.9925523329047,5.65484385211626,"comp","e","P3"
-1.5,34.0417747069684,5.64954338742721,"comp","e","P3"
-1.4,33.3911750493404,5.67170579255963,"comp","e","P3"
-1.3,32.4835073690313,5.66586013857334,"comp","e","P3"
-1.2,31.3230589433015,5.63106625718268,"comp","e","P3"
-1.1,29.3115561579198,5.66485160530929,"comp","e","P3"
-1,30.8131967767052,5.67136503070319,"comp","e","P3"
-0.9,30.8739477750192,5.6356486396191,"comp","e","P3"
-0.8,26.6691647121445,5.63362635951618,"comp","e","P3"
-0.7,29.3787814016992,5.68294007397156,"comp","e","P3"
-0.6,30.8322703104851,5.71263314152211,"comp","e","P3"
-0.5,34.1633480452014,5.7143882455262,"comp","e","P3"
-0.4,34.5092377715185,5.69144881166498,"comp","e","P3"
-0.3,34.5952467136222,5.65023367248251,"comp","e","P3"
-0.2,35.5568791905611,5.70740086850497,"comp","e","P3"
-0.1,35.8735322596731,5.72384263604798,"comp","e","P3"
0,35.255428801454,5.70075035012535,"comp","e","P3"
0.1,35.6030997921431,5.71558167600087,"comp","e","P3"
0.2,36.3354914024715,5.73781152739156,"comp","e","P3"
0.3,37.1589249556196,5.71800697068837,"comp","e","P3"
0.4,38.5474112691329,5.76006454308464,"comp","e","P3"
0.5,37.0938115299329,5.74067834981985,"comp","e","P3"
0.6,35.1919831781118,5.73013984320234,"comp","e","P3"
0.7,37.5388971812189,5.77717484187342,"comp","e","P3"
0.8,36.566492974446,5.76242960740474,"comp","e","P3"
0.9,37.6666761190808,5.78418820351324,"comp","e","P3"
1,37.990454152006,5.77650240788916,"comp","e","P3"
1.1,37.3852221744174,5.77179060021113,"comp","e","P3"
1.2,37.8121279522537,5.76789120868735,"comp","e","P3"
1.3,36.7698064641517,5.72973478339524,"comp","e","P3"
1.4,35.8240771130328,5.71165586529719,"comp","e","P3"
1.5,34.4493715751298,5.67496062058315,"comp","e","P3"
1.6,33.4853085272648,5.60683184481241,"comp","e","P3"
1.7,34.287895210017,5.62850472020151,"comp","e","P3"
1.8,33.4460462319538,5.63605493123708,"comp","e","P3"
1.9,33.2368567211265,5.65605566686893,"comp","e","P3"
2,34.5439529072043,5.68909194440639,"comp","e","P3"
-2,30.1530977102285,5.8337523086478,"solo","e","P3"
-1.9,29.0520441427259,5.83895710243437,"solo","e","P3"
-1.8,27.6873278052877,5.86737914591049,"solo","e","P3"
-1.7,28.943794473573,5.83921286252089,"solo","e","P3"
-1.6,28.2844552772071,5.85617378858257,"solo","e","P3"
-1.5,28.3407264724642,5.83020824636357,"solo","e","P3"
-1.4,30.1414458002028,5.81525169513889,"solo","e","P3"
-1.3,29.6149094217667,5.81653238567251,"solo","e","P3"
-1.2,29.6735266656578,5.79829516385862,"solo","e","P3"
