"TimeEpoch","MeanPercentChange","Meanpupil","condition","group","Participant"
-1.7,11.738891841693,4.76308871428571,"comp","e","P3"
-1.6,16.5332019506333,4.96745555555556,"comp","e","P3"
-1.5,17.4237257857147,5.005415875,"comp","e","P3"
-1.4,18.0536587706065,5.032268,"comp","e","P3"
-1.3,40.4635556695679,5.98753366666667,"comp","e","P3"
-1.2,41.3493645042204,6.025293,"comp","e","P3"
-1.1,37.9552958333524,5.8806141875,"comp","e","P3"
-1,34.334457504647,5.726268875,"comp","e","P3"
-0.9,26.6152146114015,5.39722105555556,"comp","e","P3"
-0.8,23.5217223468109,5.2653549,"comp","e","P3"
-0.7,22.3101725709055,5.21371022222222,"comp","e","P3"
-0.6,22.6549355136126,5.22840641666667,"comp","e","P3"
-0.3,34.8563328845172,5.74851483333333,"comp","e","P3"
-0.2,33.7366978241819,5.7007882,"comp","e","P3"
-0.1,32.0127070353072,5.62729972222222,"comp","e","P3"
0,30.3333888146596,5.5557155,"comp","e","P3"
0.1,28.2192361877857,5.46559561111111,"comp","e","P3"
0.2,23.7421603302418,5.2747515,"comp","e","P3"
0.3,24.7904863118758,5.31943844444444,"comp","e","P3"
0.4,24.1401153591926,5.29171511111111,"comp","e","P3"
0.5,22.6331567796845,5.22747805555556,"comp","e","P3"
0.6,24.4103056387678,5.3032325,"comp","e","P3"
1,32.9021624931924,5.6652145,"comp","e","P3"
1.1,33.6924449173846,5.69890183333333,"comp","e","P3"
1.2,33.1505512311531,5.67580255555556,"comp","e","P3"
1.3,32.6900301568443,5.65617194444444,"comp","e","P3"
1.4,30.1130528793342,5.54632325,"comp","e","P3"
1.5,35.1032647233256,5.75904078571429,"comp","e","P3"
1.6,35.5827303274289,5.77947894444444,"comp","e","P3"
1.7,36.7564282063101,5.82951011111111,"comp","e","P3"
1.8,36.0540700648738,5.79957072222222,"comp","e","P3"
1.9,34.6240763489779,5.73861444444444,"comp","e","P3"
2,34.192149075626,5.7202027,"comp","e","P3"
-2,3.60722760940446,4.8975266,"solo","e","P3"
-1.9,5.83893221258788,5.00301955555556,"solo","e","P3"
-1.8,4.86684066662965,4.95706866666667,"solo","e","P3"
-1.7,5.37869202682338,4.98126394444444,"solo","e","P3"
-1.6,6.2679534789562,5.02329944444444,"solo","e","P3"
-1.5,7.6050947142149,5.08650627777778,"solo","e","P3"
-1.4,7.81771197394173,5.09655672222222,"solo","e","P3"
-1.3,8.55774833117817,5.13153833333333,"solo","e","P3"
-1.1,23.3501586185073,5.83077741666667,"solo","e","P3"
-1,17.2109727514648,5.54057733333333,"solo","e","P3"
