"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC"
"sdP14","solo",2,"e",63,50,299.024544444444,821.658102,67,64,814.918473134328,293.572121875
"sdP14","co",1,"e",22,14,281.894709090909,404.682278571429,22,23,886.969404545455,486.341613043478
"sdP14","comp",1,"e",46,39,283.825086956522,969.277074358974,69,51,735.023034782609,353.564892156863
"sdP15","comp",2,"e",67,40,389.200947761194,1091.937885,95,66,693.631664210526,324.178625757576
"sdP15","solo",1,"e",91,24,345.386225274725,996.3659125,93,76,730.371603225806,264.660886842105
"sdP15","solo",2,"e",83,35,382.221662650602,1076.05805428571,91,77,702.697093406593,253.553120779221
"sdP15","co",1,"e",31,14,288.720387096774,589.445571428571,35,37,835.503482857143,272.040291891892
"sdP15","co",2,"e",24,14,243.580104166667,797.4089,24,24,710.201479166667,259.489270833333
"sdP15","comp",1,"e",64,35,307.779215625,1113.00649428571,94,71,726.001193617021,271.571916901409
"sdP2","comp",2,"e",50,35,220.611406,1079.11597714286,90,77,479.269566666667,318.286042857143
"sdP2","solo",1,"e",21,8,371.928957142857,843.6018,21,17,816.922376190476,353.692841176471
"sdP2","co",1,"e",20,7,248.17318,465.191871428571,23,19,696.03372173913,311.921194736842
"sdP2","co",2,"e",25,11,263.638968,486.405363636364,35,31,736.652357142857,380.6399
"sdP2","comp",1,"e",58,35,239.451986206897,915.456894285714,86,73,589.758932558139,366.74247260274
"sdP2","solo",2,"e",68,35,230.842811764706,944.2499,78,59,558.409141025641,286.222169491526
"sdP3","comp",2,"c",42,30,305.734366666667,679.807433333333,54,49,788.355316666667,532.929932653061
"sdP3","solo",1,"c",52,29,402.286973076923,561.242144827586,49,54,999.117024489796,626.878383333333
"sdP3","solo",2,"c",62,50,356.117575806452,683.8931,65,68,907.894512307692,529.067482352941
"sdP3","co",1,"c",14,11,227.046185714286,828.051390909091,16,19,825.2742375,761.4971
"sdP3","co",2,"c",23,20,370.083591304348,700.51336,21,24,915.938047619048,845.478908333333
"sdP3","comp",1,"c",42,38,346.732211904762,910.454128947368,56,56,844.293185714286,561.49605
"sdP4","comp",2,"e",44,31,220.3581,691.884661290322,55,56,1023.70453090909,350.038392857143
"sdP4","solo",1,"e",61,30,367.164963934426,661.801383333333,62,55,969.946162903226,392.846136363636
