"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"43","sdP4","co",2,916.608060305344,587.787094871795,824.873294814815,188.94895,131,39,135,2,1200756559,229236967,1113578948,3778979
"44","sdP4","comp",1,970.475340875912,393.174845454545,668.108388888889,NA,137,33,162,0,1329551217,129747699,1082335590,0
"45","sdP4","comp",2,1106.50297590361,341.187925,833.195186486486,NA,83,16,74,0,918397470,54590068,616564438,0
"46","sdP5","comp",2,790.204341935484,318.018413114754,877.078232110092,293.7135,155,61,109,2,1224816730,193991232,956015273,5874270
"47","sdP5","solo",1,804.623015469613,350.574513636364,718.978971969697,NA,181,66,132,0,1456367658,231379179,949052243,0
"48","sdP5","solo",2,884.688697311828,443.874547368421,670.2923828125,NA,186,38,128,0,1645520977,168672328,857974250,0
"49","sdP5","co",1,1008.70989577465,377.608091,971.213193181818,40.3992,142,100,88,1,1432368052,377608091,854667610,403992
"50","sdP5","co",2,1074.68585149254,408.254271875,1068.59934193548,NA,134,64,93,0,1440079041,261282734,993797388,0
"51","sdP5","comp",1,790.633804347826,330.283572972973,838.956841085271,NA,161,74,129,0,1272920425,244409844,1082254325,0
"52","sdP7","co",2,730.93439695122,317.8024325,1043.86168636364,88.55042,164,80,110,5,1198732411,254241946,1148247855,4427521
"53","sdP7","solo",1,603.842559183673,445.172640659341,789.064379032258,NA,196,91,124,0,1183531416,405107103,978439830,0
"54","sdP7","solo",2,568.920501980198,349.274585,678.946637226277,NA,202,140,137,0,1149219414,488984419,930156893,0
"55","sdP7","co",1,761.330787096774,423.933568674699,1073.73016960784,46.1797,155,83,102,2,1180062720,351864862,1095204773,923594
"56","sdP7","comp",1,680.868240306122,310.06597260274,750.601321428572,277.001,196,73,140,1,1334501751,226348160,1050841850,2770010
"57","sdP7","comp",2,778.696848888889,251.739066197183,608.164443046358,179.043133333333,180,71,151,3,1401654328,178734737,918328309,5371294
"58","sdP8","comp",2,537.242225446429,250.23336,977.036440983607,79.1344833333333,224,45,122,6,1203422585,112605012,1191984458,4748069
"59","sdP8","solo",1,920.396997560976,482.981682978723,681.6231352,NA,164,47,125,0,1509451076,227001391,852028919,0
"60","sdP8","solo",2,895.771867741935,568.803808333333,920.413650943396,NA,155,36,106,0,1388446395,204769371,975638470,0
"61","sdP8","co",1,769.242196226415,361.183363043478,965.657979787234,44.9458428571429,159,92,94,7,1223095092,332288694,907718501,3146209
"62","sdP8","co",2,781.916248823529,298.19440625,1037.51390689655,335.4255,170,80,87,4,1329257623,238555525,902637099,13417020
"63","sdP8","comp",1,502.966046861925,313.996756862745,724.801832894737,44.543425,239,51,152,4,1202088852,160138346,1101698786,1781737
"64","sdP9","comp",2,740.6773,160.940824489796,528.65832979798,82.47035,195,49,198,4,1444320735,78861004,1046743493,3298814
"65","sdP9","solo",1,749.782662857143,407.174644680851,1583.00259230769,NA,140,47,91,0,1049695728,191372083,1440532359,0
"66","sdP9","solo",2,854.938849152543,408.025473913043,935.069164948454,NA,177,46,97,0,1513241763,187691718,907017090,0
"67","sdP9","co",1,1027.9560448,349.509451724138,903.848680672269,152.637983333333,125,58,119,12,1284945056,202715482,1075579930,18316558
"68","sdP9","co",2,1034.79623561644,288.689833962264,973.762005940594,41.50022,146,53,101,5,1510802504,153005612,983499626,2075011
"69","sdP9","comp",1,751.323049710983,376.684684375,787.372448366013,44.88,173,32,153,1,1299788876,120539099,1204679846,448800
