"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount","grab2PlaceTime","grab2PlaceCount"
"sdP2","solo",2,"e",68,35,230.842811764706,944.2499,78,59,558.409141025641,286.222169491526,349.291878125,32,383.687127586207,29,423.903190909091,33,441.541386538462,52,953.045528017241,58
"sdP3","comp",2,"c",42,40,305.734366666667,629.324015,54,64,788.355316666667,552.4534421875,611.789,14,585.60198,25,552.96506,25,574.462765625,32,1304.15793918919,37
"sdP3","solo",1,"c",52,29,402.286973076923,561.242144827586,49,54,999.117024489796,626.878383333333,548.085581818182,22,721.846805555556,36,795.070351612903,31,598.675675,12,1299.35377358491,53
"sdP3","solo",2,"c",62,50,356.117575806452,683.8931,65,68,907.894512307692,529.067482352941,584.421139285714,28,595.699057142857,28,714.155386842105,38,633.6716,33,1096.72810132576,66
"sdP3","co",1,"c",14,16,227.046185714286,860.03964375,32,24,785.742228125,761.753908333333,746.21021875,16,NA,0,588.384666666667,18,482.675866666667,12,1738.77604166667,15
"sdP3","co",2,"c",23,23,370.083591304348,778.194895652174,37,26,891.685324324324,894.907011538461,859.853625,16,NA,0,680.92975,32,496.4058,12,1557.20063920455,22
"sdP3","comp",1,"c",42,54,346.732211904762,929.56507037037,56,75,844.293185714286,648.441833333333,750.555046153846,13,578.595471428571,28,719.959426666667,30,529.129618518519,27,1407.11566310976,41
"sdP4","comp",2,"e",44,44,220.3581,724.128625,55,78,1023.70453090909,491.625935897436,983.44002,15,570.411443333333,30,670.122892592593,27,594.157181481481,27,1125.31857638889,45
"sdP4","solo",1,"e",61,30,367.164963934426,661.801383333333,62,55,969.946162903226,392.846136363636,708.131933333333,18,618.976035897436,39,618.302230555556,36,779.61348,30,2143.35667613636,55
"sdP4","solo",2,"e",63,55,297.361761904762,623.104889090909,71,65,731.048628169014,376.752906153846,489.257854,50,498.348472916667,48,665.221536666666,30,382.99635,6,1187.22312973485,66
"sdP4","co",1,"e",23,23,292.667186956522,653.642386956522,47,27,808.079489361702,514.988192592593,851.842471428571,21,NA,0,595.454285185185,27,488.414713636364,22,1749.42791193182,22
"sdP4","co",2,"e",21,20,562.660542857143,608.854785,44,28,882.252004545455,377.947075,905.061495,20,NA,0,758.5296,24,682.334252380952,21,1638.69870923913,23
"sdP4","comp",1,"e",45,52,342.649706666667,618.811303846154,58,73,798.710065517241,427.181078082192,645.91368125,16,604.056840909091,22,610.6156,32,563.056121212121,33,1232.43369932432,37
"sdP4","comp",2,"e",23,25,432.386226086957,560.957152,32,39,878.909359375,453.437415384615,886.627233333333,9,673.2079,13,534.159776923077,13,719.72789,20,1302.99516369048,21
"sdP5","comp",2,"e",59,47,273.381933898305,1195.65683617021,91,96,587.618392307692,417.42858125,621.155384,25,391.714082222222,45,451.982635135135,37,458.684465116279,43,961.928835227273,55
"sdP5","solo",1,"e",104,43,362.020048076923,877.200272093023,104,95,712.1976125,445.70159368421,467.374140909091,44,524.539233333333,48,629.595386666667,60,503.581573214286,56,955.018082865169,89
"sdP5","solo",2,"e",107,62,335.023289719626,806.334604838709,106,101,700.584873584906,390.390858415842,440.856011627907,43,569.901945652174,46,585.690164516129,62,461.683877419355,62,858.43239480198,101
"sdP5","co",1,"e",37,28,304.757797297297,719.969003571429,65,43,633.037478461539,517.330027906977,567.589380769231,26,NA,0,497.71631372549,51,491.304748,25,1183.18348214286,35
"sdP5","co",2,"e",31,22,361.472093548387,781.687259090909,63,44,659.507134920635,451.750086363636,578.710696666667,30,NA,0,616.258868421053,38,460.593326923077,26,1139.89525462963,27
"sdP5","comp",1,"e",73,52,258.775373972603,1065.46181730769,101,114,620.896699009901,412.540985964912,650.483843478261,23,443.241507017544,57,422.059275,44,456.09333,50,1013.23890398551,69
"sdP7","co",2,"e",28,22,358.474364285714,665.988945454545,53,35,740.511873584906,467.908848571429,647.170377272727,22,NA,0,652.329139393939,33,519.992369230769,26,977.7271875,25
"sdP7","solo",1,"e",67,28,416.062923880597,875.932432142857,67,68,830.094234328358,343.841777941176,644.569838095238,21,571.923872093023,43,671.278055882353,34,626.121738888889,36,833.267908653846,65
"sdP7","solo",2,"e",74,31,307.397640540541,743.635783870968,86,74,774.129175581396,328.548537837838,450.022746666667,45,568.601134782609,46,630.578283783784,37,612.01444375,32,1044.3200984589,73
"sdP7","co",1,"e",26,15,326.269107692308,791.048133333333,59,38,792.411077966102,455.375673684211,670.705110714286,28,NA,0,661.892197560976,41,582.37045,16,1147.486875,25
"sdP7","comp",1,"e",61,62,270.263659016393,1104.50978709677,82,100,658.387082926829,346.682107,678.777163636364,22,446.048821739131,46,531.438936363636,33,416.309421428571,42,800.944216008772,57
"sdP7","comp",2,"e",54,51,272.078407407407,883.598209803921,81,93,820.573101234568,342.439298924731,650.395416666667,24,547.085232558139,43,665.011237142857,35,568.154754545454,33,876.74796875,50
"sdP8","comp",2,"c",58,78,309.523786206896,1194.6642051282,81,98,611.201314814815,448.607897959184,629.956018181818,22,450.80634,45,509.964647368421,38,409.873876470588,34,1056.40755208333,54
"sdP8","solo",1,"c",80,49,375.8950025,842.272006122449,75,74,780.595667999999,381.424474324324,475.428244444445,18,601.569489583333,48,573.470332608696,46,576.82781627907,43,1006.06693412162,74
"sdP8","solo",2,"c",76,40,410.503386842105,840.43124,75,61,783.911102666667,421.031108196721,618.011392307692,26,599.029677777778,27,615.373635593221,59,549.806361538461,39,1163.76946721311,61
"sdP8","co",1,"c",33,26,271.023942424242,676.850403846154,53,34,678.538111320755,539.232226470588,683.22391875,16,NA,0,459.562807692308,52,559.858961111111,18,1811.38136574074,27
"sdP8","co",2,"c",24,28,317.107475,639.252596428571,54,36,657.959355555556,517.697477777778,701.631930769231,26,NA,0,470.6367625,40,506.040325,12,1633.2840625,25
"sdP8","comp",1,"c",55,77,334.741790909091,960.554274025974,83,98,551.178086746988,337.11487244898,578.586515,20,579.598182051282,39,364.650266666667,45,399.213479411765,34,994.741887019231,52
"sdP9","comp",2,"e",47,59,289.476327659575,1047.65275762712,93,112,639.852095698925,347.303183035714,717.089732,25,446.10142,35,577.945129411765,34,433.058802173913,46,844.492598684211,57
"sdP9","solo",1,"e",66,42,321.04263030303,937.456776190476,66,58,670.286651515152,395.991210344828,469.871895,20,494.713253703704,54,516.285116216216,37,486.344271428571,21,1007.09105603448,58
"sdP9","solo",2,"e",63,45,335.786766666667,777.491842222222,71,63,740.492836619718,368.535203174603,506.969766666667,24,456.901206666667,30,651.338923255814,43,536.423605405406,37,1013.07663690476,63
"sdP9","co",1,"e",25,20,219.890692,601.483165,54,33,732.868714814815,422.320739393939,676.084980769231,26,NA,0,561.483575757576,33,448.25052,20,1175.1457201087,23
"sdP9","co",2,"e",27,14,318.636859259259,512.219092857143,49,36,745.690232653061,377.134091666667,753.917347619048,21,NA,0,578.750154285714,35,452.674845,20,904.296875,24
"sdP9","comp",1,"e",46,70,345.64655,1021.54769142857,76,95,713.145618421053,392.667404210526,584.080528571429,21,492.764690625,32,603.155208108108,37,617.1220125,32,924.16173537234,47
