"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount","grab2PlaceTime","grab2PlaceCount"
"nuP13","co",2,"e",39,20,478.017053846154,336.669855,47,34,979.570178723404,859.703447058823,955.949817857143,28,NA,0,672.432023529412,34,627.215825,24,1372.97991071429,28
"nuP13","comp",1,"e",46,62,280.994276086957,641.083312903226,82,80,704.432143902439,475.6426675,624.956136363636,22,544.025115384615,39,480.532246666667,30,575.870016216216,37,961.784375,45
"nuP14","comp",2,"e",47,56,343.996595744681,663.693292857143,69,93,685.65425942029,395.528568817204,627.925266666667,12,485.237453658537,41,679.898390909091,33,453.716606666667,30,717.488731971154,52
"nuP14","solo",1,"e",88,45,346.344323863636,824.695928888889,92,79,718.697060869565,317.515267088608,590.66476,25,605.657009433962,53,489.03063,50,486.162655769231,52,840.664824695122,82
"nuP14","solo",2,"e",88,48,301.737385227273,741.76220625,93,76,684.971176344086,261.171207894737,375.962986206897,29,545.337961111111,36,491.039231818182,66,546.230536,50,754.512952302632,76
"nuP14","co",1,"e",54,23,894.270009259259,905.369069565217,63,40,877.058609523809,502.7912575,1111.61443392857,56,NA,0,684.375212195122,41,661.774045,20,975.001674107143,28
"nuP14","co",2,"e",51,25,719.085501960784,466.965576,59,35,953.116811864407,549.856337142857,1267.84576,45,NA,0,533.133973170732,41,583.154183333333,24,955.881655092593,27
"nuP14","comp",1,"e",53,68,232.026150943396,974.534776470588,85,110,660.458517647059,373.805087272727,603.981677272727,22,499.546120930233,43,439.312417142857,35,481.377507894737,38,790.257300204918,61
"nuP15","comp",2,"c",59,55,286.332813559322,885.225732727273,91,98,619.80993956044,447.260425510204,677.85404,25,416.476584090909,44,538.070675609756,41,399.1030525,40,887.162806919643,56
"nuP15","solo",1,"c",89,49,332.894265168539,1019.13134285714,91,77,715.888906593406,364.811933766234,483.8948,21,524.881978181818,55,537.399105357143,56,534.3506375,48,998.721793831169,77
"nuP15","solo",2,"c",73,49,292.112934246575,802.92371632653,82,77,705.720236585366,318.206461038961,417.46361875,32,542.237851351351,37,548.7449,46,513.2350475,40,844.174444901316,76
"nuP15","co",1,"c",42,28,730.890311904762,524.137285714286,52,39,919.302676923077,612.145984615385,1072.69631666667,36,NA,0,705.240821621622,37,656.674023809524,21,1609.73130580357,28
"nuP15","co",2,"c",52,17,691.381686538461,543.632635294118,56,44,808.385923214286,601.542197727273,1094.26803684211,38,NA,0,526.707606818182,44,633.236126923077,26,1289.82841435185,27
"nuP15","comp",1,"c",61,56,271.410326229508,808.025494642857,92,95,555.304581521739,422.646047368421,467.1522,21,422.872716,50,377.721666666667,39,510.676148837209,43,861.682930424528,53
"nuP17","comp",2,"c",45,69,267.219157777778,779.050624637681,65,81,601.624544615385,516.260824691358,442.96282,15,431.357040625,32,519.739965625,32,453.255193548387,31,1107.15451388889,45
"nuP17","solo",1,"c",58,40,426.04155,415.0314675,53,52,945.293486792453,297.391898076923,490.28036,10,788.567992857143,28,664.219981632653,49,636.728258333333,24,1112.06140625,50
"nuP17","solo",2,"c",58,41,356.798612068965,530.263819512195,64,51,656.06009375,344.218219607843,485.96049,20,550.081448275862,29,644.396029032258,31,405.578971428571,42,1462.65683962264,53
"nuP17","co",2,"c",36,24,675.930313888889,890.159204166667,46,26,751.218763043478,759.1274,1009.4869375,32,NA,0,535.268942424242,33,524.829252941176,17,1672.85546875,20
"nuP17","comp",1,"c",37,51,332.807791891892,751.005347058824,57,63,622.225712280701,505.21806984127,557.878005882353,17,563.459323333333,30,458.7125,19,452.768235714286,28,1515.73794642857,35
"nuP18","comp",2,"c",42,36,384.450354761905,794.109319444445,59,71,610.296194915254,450.43846056338,567.875788235294,17,588.664806666667,30,446.93268,30,476.357391666667,24,974.71493902439,41
"nuP18","solo",1,"c",62,37,406.399816129032,917.14792972973,58,52,805.693134482758,418.367030769231,590.330057142857,14,531.897106666667,45,627.0661125,40,697.350252380952,21,1289.98012609649,57
"nuP18","solo",2,"c",72,42,421.330829166667,932.991571428571,71,70,879.6219,402.844107142857,517.831246428571,28,716.061825925926,27,729.186934782609,46,605.0817,42,857.247735507246,69
"nuP18","co",1,"c",37,16,974.830386486486,623.2513,45,28,784.126084444445,682.776,1081.74544090909,44,NA,0,679.427780769231,26,507.706366666667,12,1032.38856907895,19
"nuP18","co",2,"c",42,19,610.045085714286,610.658747368421,51,37,920.079994117647,510.230645945946,1026.10759210526,38,NA,0,653.912666666667,39,503.205675,16,1087.91826923077,26
"sdP18","comp",1,"c",52,45,372.508309615385,910.814502222222,73,81,613.450238356164,418.543438271605,832.390205555556,18,519.139673076923,26,454.336594117647,34,430.302129787234,47,927.139811197917,48
"nuP19","solo",1,"c",54,29,281.945709259259,930.012934482759,66,66,943.028898484849,396.34688030303,518.257072222222,18,559.27251,30,752.239726470588,34,678.474271052631,38,892.529967350746,67
"nuP18","solo",2,"c",54,44,322.422051851852,929.883431818182,75,73,734.55214,358.74388630137,556.59532962963,27,567.706927586207,29,577.932817142857,35,546.920471052632,38,966.195870535714,70
"nuP19","co",1,"c",28,14,827.471567857143,663.892942857143,45,28,877.866471111111,517.1634,1102.4161925,40,NA,0,524.513745833333,24,665.3575,9,828.887746710526,19
"nuP19","co",2,"c",48,16,709.535339583333,559.764075,60,34,823.563168333333,636.303673529412,1013.22879574468,47,NA,0,621.796191891892,37,535.1364125,24,1166.63811383929,28
"nuP19","comp",1,"c",45,63,284.215993333333,808.601801587302,77,88,575.338720779221,504.25815,710.895216666667,24,421.482988235294,34,447.689251515151,33,352.424164516129,31,961.936702806122,49
"nuP20","comp",2,"c",50,56,368.860606,996.711807142857,93,92,562.119879569893,450.789922826087,657.009935714286,28,439.712897368421,38,483.553925,40,439.801454054054,37,849.560396634615,52
"nuP20","solo",1,"c",86,64,304.413998837209,1072.819325,87,83,703.649074712643,259.110202409639,446.816202777778,36,530.104752542373,59,508.137206666667,45,520.282890909091,33,747.338051470588,85
"nuP10","solo",2,"c",70,65,227.235748571429,1026.91217230769,87,79,668.497126436781,205.487878481013,455.904142857143,28,444.0978,35,482.846003773585,53,491.857931707317,41,672.861019736842,76
"nuP20","co",1,"c",56,24,833.009164285714,623.867816666667,67,37,826.494574626866,520.557894594594,1171.78192037037,54,NA,0,497.049013636364,44,675.090776,25,927.710129310345,29
"nuP20","co",2,"c",58,12,877.189586206897,385.954775,68,36,869.355651470588,499.162069444445,1176.55595535714,56,NA,0,751.975395238095,42,447.252864285714,28,929.095424107143,28
"nuP20","comp",1,"c",50,75,256.337242,1028.06696266667,84,104,660.545192857143,369.941939423077,750.03608,20,488.363175555556,45,449.568184848485,33,458.051213888889,36,779.709943181818,55
"P3","solo",1,NA,0,0,NA,NA,68,61,854.901919117647,518.90441147541,903.169675,4,818.452828571429,21,879.041232,25,853.172866666667,18,1423.01653645833,60
"P4","comp",2,"e",0,0,NA,NA,78,69,732.687543589743,544.299176811594,725.892270588235,17,663.640815,20,922.448505,20,623.222542857143,21,1032.95973557692,52
"P4","solo",1,"e",0,0,NA,NA,63,66,929.418011111111,489.94431969697,700.17403,10,988.143923529412,17,1072.37632352941,17,869.618431578947,19,1075.48327636719,64
"P4","solo",2,"e",0,0,NA,NA,58,60,887.043072413793,403.221041666667,688.1656625,16,777.770566666667,12,999.4032125,16,1079.5821,14,990.602356991525,59
"P4","co",1,"e",0,0,NA,NA,32,24,1039.686440625,532.439875,982.694217647059,17,NA,0,1186.76261818182,11,877.4439,4,1318.37890625,20
"P4","co",2,"e",14,0,1336.504,NA,39,28,837.329715384615,518.013460714286,1073.81868787879,33,NA,0,899.634435714286,14,556.002683333333,6,1642.18203125,20
"P4","comp",1,"e",0,0,NA,NA,112,52,778.32965625,503.944075,800.96795,24,869.883732352941,34,684.652955172414,29,740.748324,25,1003.14124177632,38
"P5","comp",1,"e",53,49,312.800143396226,707.219965306122,70,63,870.668861428571,503.863866666667,798.189589473684,19,650.939269230769,39,678.895217142857,35,440.38872,30,1105.07212936047,43
"P5","solo",2,"e",27,21,349.823540740741,674.633,27,28,949.155288888889,274.402021428571,678.534165,20,639.824447058824,17,624.984088235294,17,NA,0,797.038483796296,27
"P5","co",1,"e",25,15,451.000472,869.089533333333,31,26,802.160783870968,655.589846153846,712.7338,15,NA,0,591.535192857143,28,683.692592307692,13,1750.90501644737,19
"P5","co",2,"e",33,18,603.011712121212,835.8419,38,23,871.896486842105,737.77667826087,912.256335483871,31,NA,0,599.067822727273,22,642.889694444444,18,2175.12952302632,19
"P6","comp",2,"e",59,36,304.215869491525,976.543588888889,85,73,733.752827058824,630.839524657534,782.061944,25,523.476587804878,41,527.803158536585,41,477.397524324324,37,892.564592633929,56
"P6","solo",1,"e",47,22,342.263380851064,552.633345454545,50,48,747.75661,326.565939583333,497.171905,20,547.62945,28,585.861262962963,27,562.676936363637,22,1018.17366536458,48
"P6","solo",2,"e",71,33,309.888222535211,627.508366666667,71,70,832.633395774648,299.910291428571,419.530475862069,29,628.647416129032,31,618.439594736842,38,590.088104545454,44,849.886310634328,67
"P6","co",1,"e",17,6,759.235017647059,519.8483,23,13,875.104721739131,632.572407692308,1076.19382105263,19,NA,0,610.762969230769,13,580.8503375,8,1480.76128472222,9
